,team,data,match,opponent,map_map,result,w_l
0,Mindfreak,10/04/24,ESL Challenger League Season 47 Oceania,DXA,Ancient,13 - 11,W
1,Mindfreak,03/04/24,ESL Challenger League Season 47 Oceania,Canon Event,Overpass,13 - 6,W
2,Mindfreak,27/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Overpass,13 - 9,W
3,Mindfreak,06/03/24,ESL Challenger League Season 47 Oceania,Rooster,Mirage,7 - 13,L
4,Mindfreak,21/02/24,ESL Challenger League Season 47 Oceania,KZG,Nuke,13 - 8,W
5,Mindfreak,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,Vantage,Mirage,11 - 13,L
6,Mindfreak,19/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,Grayhound,Ancient,1 - 13,L
7,Mindfreak,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,gfg123321,Mirage,13 - 5,W
8,Mindfreak,13/02/24,ESL Challenger Melbourne 2024 Oceania Open Qualifier,DEMESIS,Anubis,13 - 9,W
9,Mindfreak,24/01/24,ESL Pro League Season 19 Oceania Open Qualifier,DXA,Nuke,13 - 4,W
10,Mindfreak,23/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Overpass,13 - 10,W
11,Mindfreak,22/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Overpass,13 - 7,W
12,Mindfreak,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,DXA,Nuke,13 - 11,W
13,Mindfreak,19/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Vantage,Anubis,16 - 13,W
14,Mindfreak,18/01/24,IEM Chengdu 2024 Oceania Open Qualifier 2,Vantage,Anubis,13 - 7,W
15,Mindfreak,16/01/24,IEM Chengdu 2024 Oceania Open Qualifier 1,Grayhound,Mirage,7 - 13,L
16,Mindfreak,13/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Open Qualifier,RKON,Inferno,13 - 6,W
17,Mindfreak,13/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Open Qualifier,500x,Anubis,13 - 4,W
18,Mindfreak,10/04/24,ESL Challenger League Season 47 Oceania,DXA,Ancient,13 - 11,W
19,Mindfreak,03/04/24,ESL Challenger League Season 47 Oceania,Canon Event,Overpass,13 - 6,W
20,Mindfreak,27/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Overpass,13 - 9,W
21,Mindfreak,06/03/24,ESL Challenger League Season 47 Oceania,Rooster,Mirage,7 - 13,L
22,Mindfreak,21/02/24,ESL Challenger League Season 47 Oceania,KZG,Nuke,13 - 8,W
23,Mindfreak,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,Vantage,Mirage,11 - 13,L
24,Mindfreak,19/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,Grayhound,Ancient,1 - 13,L
25,Mindfreak,19/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,Grayhound,Mirage,2 - 13,L
26,Mindfreak,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,gfg123321,Mirage,13 - 5,W
27,Mindfreak,13/02/24,ESL Challenger Melbourne 2024 Oceania Open Qualifier,DEMESIS,Anubis,13 - 9,W
28,Mindfreak,24/01/24,ESL Pro League Season 19 Oceania Open Qualifier,DXA,Nuke,13 - 4,W
29,Mindfreak,23/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Overpass,13 - 10,W
30,Mindfreak,23/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Mirage,16 - 14,W
31,Mindfreak,23/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Anubis,10 - 13,L
32,Mindfreak,22/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Overpass,13 - 7,W
33,Mindfreak,22/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Inferno,10 - 13,L
34,Mindfreak,22/01/24,IEM Chengdu 2024 Oceania Closed Qualifier,Rooster,Anubis,13 - 10,W
35,Mindfreak,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,DXA,Nuke,13 - 11,W
