,team,data,match,opponent,map_map,result,w_l
0,Monte,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Mirage,11 - 13,L
1,Monte,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,GamerLegion,Vertigo,13 - 10,W
2,Monte,31/03/24,ESL Challenger League Season 47 Europe,RUSH B,Mirage,3 - 13,L
3,Monte,26/03/24,ESL Challenger League Season 47 Europe,System5,Mirage,13 - 9,W
4,Monte,09/03/24,BLAST Premier Spring Showdown 2024,Metizport,Mirage,5 - 13,L
5,Monte,05/03/24,ESL Challenger League Season 47 Europe,SAW,Vertigo,4 - 13,L
6,Monte,02/03/24,RES Regional Series 1 Europe,3DMAX,Vertigo,7 - 13,L
7,Monte,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Overpass,8 - 13,L
8,Monte,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Nexus,Mirage,13 - 9,W
9,Monte,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Ancient,13 - 9,W
10,Monte,17/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Mirage,13 - 6,W
11,Monte,06/02/24,IEM Katowice 2024,G2,Anubis,6 - 13,L
12,Monte,04/02/24,IEM Katowice 2024,GamerLegion,Ancient,5 - 13,L
13,Monte,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Mirage,11 - 13,L
14,Monte,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Anubis,12 - 16,L
15,Monte,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Metizport,Vertigo,13 - 7,W
16,Monte,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,GamerLegion,Vertigo,13 - 10,W
17,Monte,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,GamerLegion,Overpass,13 - 11,W
18,Monte,02/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,GamerLegion,Mirage,12 - 16,L
19,Monte,31/03/24,ESL Challenger League Season 47 Europe,RUSH B,Mirage,3 - 13,L
20,Monte,31/03/24,ESL Challenger League Season 47 Europe,RUSH B,Nuke,8 - 13,L
21,Monte,26/03/24,ESL Challenger League Season 47 Europe,System5,Mirage,13 - 9,W
22,Monte,26/03/24,ESL Challenger League Season 47 Europe,System5,Vertigo,13 - 3,W
23,Monte,09/03/24,BLAST Premier Spring Showdown 2024,Metizport,Mirage,5 - 13,L
24,Monte,09/03/24,BLAST Premier Spring Showdown 2024,Metizport,Vertigo,7 - 13,L
25,Monte,05/03/24,ESL Challenger League Season 47 Europe,SAW,Vertigo,4 - 13,L
26,Monte,05/03/24,ESL Challenger League Season 47 Europe,SAW,Nuke,9 - 13,L
27,Monte,02/03/24,RES Regional Series 1 Europe,3DMAX,Vertigo,7 - 13,L
28,Monte,02/03/24,RES Regional Series 1 Europe,3DMAX,Nuke,4 - 13,L
29,Monte,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Overpass,8 - 13,L
30,Monte,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Vertigo,13 - 4,W
31,Monte,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Ancient,8 - 13,L
32,Monte,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Nexus,Mirage,13 - 9,W
33,Monte,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Ancient,13 - 9,W
34,Monte,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Nuke,6 - 13,L
35,Monte,18/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Mirage,13 - 10,W
36,Monte,17/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,Aurora,Mirage,13 - 6,W
37,Monte,06/02/24,IEM Katowice 2024,G2,Anubis,6 - 13,L
38,Monte,06/02/24,IEM Katowice 2024,G2,Vertigo,13 - 8,W
39,Monte,06/02/24,IEM Katowice 2024,G2,Nuke,4 - 13,L
40,Monte,04/02/24,IEM Katowice 2024,GamerLegion,Ancient,5 - 13,L
41,Monte,04/02/24,IEM Katowice 2024,GamerLegion,Overpass,8 - 13,L
42,Monte,03/04/24,ESL Challenger Jönköping 2024 Europe Closed Qualifier,Apeks,Mirage,13 - 4,W
