,team,data,match,opponent,map_map,result,w_l
0,MOUZ,02/12/21,IEM Winter 2021,Astralis,Nuke,10 - 16,L
1,MOUZ,12/11/21,DreamHack Open November 2021,MAD Lions,Nuke,8 - 16,L
2,MOUZ,10/11/21,DreamHack Open November 2021,MAD Lions,Mirage,8 - 16,L
3,MOUZ,31/10/21,PGL Major Stockholm 2021,ENCE,Vertigo,16 - 10,W
4,MOUZ,30/10/21,PGL Major Stockholm 2021,Ninjas in Pyjamas,Inferno,12 - 16,L
5,MOUZ,28/10/21,PGL Major Stockholm 2021 Challengers Stage,Renegades,Vertigo,16 - 6,W
6,MOUZ,26/10/21,PGL Major Stockholm 2021 Challengers Stage,HEROIC,Nuke,11 - 16,L
7,MOUZ,18/10/21,IEM Winter 2021 Europe Closed Qualifier,K23,Nuke,16 - 8,W
8,MOUZ,03/10/21,IEM Fall 2021 Europe,G2,Mirage,10 - 16,L
9,MOUZ,01/10/21,IEM Fall 2021 Europe,AURA,Mirage,16 - 10,W
10,MOUZ,29/09/21,IEM Fall 2021 Europe,BIG,Mirage,16 - 10,W
11,MOUZ,31/08/21,ESL Pro League Season 14,BIG,Mirage,16 - 12,W
12,MOUZ,29/08/21,ESL Pro League Season 14,Evil Geniuses,Nuke,16 - 11,W
13,MOUZ,27/08/21,ESL Pro League Season 14,FaZe,Inferno,8 - 16,L
14,MOUZ,08/07/21,IEM Cologne 2021,Gambit,Mirage,12 - 16,L
15,MOUZ,06/07/21,IEM Cologne 2021 Play-in,Ninjas in Pyjamas,Ancient,11 - 16,L
16,MOUZ,26/06/21,Gamers Without Borders 2021,BIG,Vertigo,12 - 16,L
17,MOUZ,23/06/21,Gamers Without Borders 2021,MIBR,Ancient,19 - 16,W
18,MOUZ,30/05/21,Flashpoint 3,Ninjas in Pyjamas,Inferno,16 - 9,W
19,MOUZ,23/05/21,Flashpoint 3,Astralis,Overpass,16 - 12,W
20,MOUZ,11/05/21,Flashpoint 3,fnatic,Overpass,16 - 4,W
21,MOUZ,30/04/21,DreamHack Masters Spring 2021,G2,Mirage,12 - 16,L
22,MOUZ,29/04/21,DreamHack Masters Spring 2021,FaZe,Overpass,19 - 17,W
23,MOUZ,28/04/21,Flashpoint 3 Closed Qualifier,Complexity,Nuke,13 - 16,L
24,MOUZ,28/04/21,Flashpoint 3 Closed Qualifier,HAVU,Train,16 - 11,W
25,MOUZ,27/04/21,Flashpoint 3 Closed Qualifier,Movistar Riders,Inferno,16 - 12,W
