,team,data,match,opponent,map_map,result,w_l
0,MOUZ NXT,08/12/21,Malta Vibes Knockout Series 4,ECSTATIC,Inferno,12 - 16,L
1,MOUZ NXT,05/12/21,Malta Vibes Knockout Series 4,HAVU,Inferno,16 - 12,W
2,MOUZ NXT,02/12/21,Malta Vibes Knockout Series 4,Feenix,Inferno,16 - 9,W
3,MOUZ NXT,29/11/21,Pinnacle Fall Series 3,Dignitas,Nuke,16 - 5,W
4,MOUZ NXT,23/11/21,Pinnacle Fall Series 3,HAVU,Mirage,16 - 4,W
5,MOUZ NXT,14/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Vertigo,16 - 11,W
6,MOUZ NXT,12/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Mirage,16 - 8,W
7,MOUZ NXT,08/11/21,Pinnacle Fall Series 2,Dignitas,Mirage,16 - 10,W
8,MOUZ NXT,19/10/21,Malta Vibes Knockout Series 3,Young Ninjas,Vertigo,16 - 2,W
9,MOUZ NXT,17/10/21,Malta Vibes Knockout Series 3,ONYX,Nuke,16 - 10,W
10,MOUZ NXT,12/10/21,Pinnacle Fall Series 2,AaB,Ancient,16 - 7,W
11,MOUZ NXT,05/10/21,WePlay Academy League Season 2,fnatic Rising,Nuke,16 - 14,W
12,MOUZ NXT,29/09/21,WePlay Academy League Season 2,FURIA Academy,Inferno,16 - 7,W
13,MOUZ NXT,17/09/21,Malta Vibes Knockout Series 2,GORILLAZ,Nuke,16 - 0,W
14,MOUZ NXT,29/08/21,WePlay Academy League Season 1 Finals,Young Ninjas,Inferno,16 - 9,W
15,MOUZ NXT,28/08/21,WePlay Academy League Season 1 Finals,Young Ninjas,Mirage,5 - 16,L
16,MOUZ NXT,01/08/21,WePlay Academy League Season 1,VP.Prodigy,Dust2,19 - 17,W
17,MOUZ NXT,30/07/21,WePlay Academy League Season 1,NAVI Junior,Dust2,16 - 14,W
18,MOUZ NXT,28/07/21,WePlay Academy League Season 1,BIG Academy,Mirage,16 - 5,W
19,MOUZ NXT,26/07/21,WePlay Academy League Season 1,fnatic Rising,Dust2,16 - 10,W
20,MOUZ NXT,24/07/21,WePlay Academy League Season 1,Astralis Talent,Inferno,19 - 16,W
21,MOUZ NXT,22/07/21,WePlay Academy League Season 1,Young Ninjas,Nuke,16 - 11,W
22,MOUZ NXT,20/07/21,WePlay Academy League Season 1,FURIA Academy,Inferno,12 - 16,L
23,MOUZ NXT,14/07/21,Pinnacle Cup II,Copenhagen Flames,Ancient,10 - 16,L
24,MOUZ NXT,08/07/21,Pinnacle Cup II,Lyngby Vikings,Mirage,16 - 8,W
25,MOUZ NXT,02/07/21,Pinnacle Cup II,Entropiq,Ancient,16 - 9,W
26,MOUZ NXT,28/06/21,Pinnacle Cup II,GamerLegion,Mirage,16 - 8,W
27,MOUZ NXT,08/12/21,Malta Vibes Knockout Series 4,ECSTATIC,Inferno,12 - 16,L
28,MOUZ NXT,08/12/21,Malta Vibes Knockout Series 4,ECSTATIC,Dust2,4 - 16,L
29,MOUZ NXT,08/12/21,Malta Vibes Knockout Series 4,ECSTATIC,Vertigo,16 - 1,W
30,MOUZ NXT,05/12/21,Malta Vibes Knockout Series 4,HAVU,Inferno,16 - 12,W
31,MOUZ NXT,05/12/21,Malta Vibes Knockout Series 4,HAVU,Nuke,20 - 22,L
32,MOUZ NXT,05/12/21,Malta Vibes Knockout Series 4,HAVU,Mirage,16 - 7,W
33,MOUZ NXT,02/12/21,Malta Vibes Knockout Series 4,Feenix,Inferno,16 - 9,W
34,MOUZ NXT,02/12/21,Malta Vibes Knockout Series 4,Feenix,Nuke,16 - 10,W
35,MOUZ NXT,02/12/21,Malta Vibes Knockout Series 4,Feenix,Ancient,11 - 16,L
36,MOUZ NXT,29/11/21,Pinnacle Fall Series 3,Dignitas,Nuke,16 - 5,W
37,MOUZ NXT,29/11/21,Pinnacle Fall Series 3,Dignitas,Mirage,16 - 13,W
38,MOUZ NXT,23/11/21,Pinnacle Fall Series 3,HAVU,Mirage,16 - 4,W
39,MOUZ NXT,23/11/21,Pinnacle Fall Series 3,HAVU,Nuke,19 - 16,W
40,MOUZ NXT,14/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Vertigo,16 - 11,W
41,MOUZ NXT,14/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Dust2,16 - 11,W
42,MOUZ NXT,12/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Mirage,16 - 8,W
43,MOUZ NXT,12/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Inferno,13 - 16,L
44,MOUZ NXT,12/11/21, WePlay Academy League Season 2 Finals,NAVI Junior,Ancient,16 - 3,W
45,MOUZ NXT,08/11/21,Pinnacle Fall Series 2,Dignitas,Mirage,16 - 10,W
46,MOUZ NXT,08/11/21,Pinnacle Fall Series 2,Dignitas,Vertigo,16 - 5,W
47,MOUZ NXT,19/10/21,Malta Vibes Knockout Series 3,Young Ninjas,Vertigo,16 - 2,W
48,MOUZ NXT,19/10/21,Malta Vibes Knockout Series 3,Young Ninjas,Nuke,16 - 7,W
49,MOUZ NXT,17/10/21,Malta Vibes Knockout Series 3,ONYX,Nuke,16 - 10,W
50,MOUZ NXT,17/10/21,Malta Vibes Knockout Series 3,ONYX,Inferno,16 - 2,W
51,MOUZ NXT,12/10/21,Pinnacle Fall Series 2,AaB,Ancient,16 - 7,W
52,MOUZ NXT,12/10/21,Pinnacle Fall Series 2,AaB,Nuke,16 - 12,W
53,MOUZ NXT,05/10/21,WePlay Academy League Season 2,fnatic Rising,Nuke,16 - 14,W
