,team,data,match,opponent,map_map,result,w_l
0,Natus Vincere,19/12/21,BLAST Premier World Final 2021,Gambit,Inferno,16 - 6,W
1,Natus Vincere,18/12/21,BLAST Premier World Final 2021,Liquid,Inferno,16 - 11,W
2,Natus Vincere,15/12/21,BLAST Premier World Final 2021,HEROIC,Nuke,19 - 15,W
3,Natus Vincere,28/11/21,BLAST Premier Fall Final 2021,Vitality,Inferno,16 - 7,W
4,Natus Vincere,25/11/21,BLAST Premier Fall Final 2021,HEROIC,Overpass,16 - 12,W
5,Natus Vincere,07/11/21,PGL Major Stockholm 2021,G2,Nuke,22 - 19,W
6,Natus Vincere,05/11/21,PGL Major Stockholm 2021,Vitality,Nuke,16 - 13,W
7,Natus Vincere,30/10/21,PGL Major Stockholm 2021,Virtus.pro,Overpass,16 - 4,W
8,Natus Vincere,03/10/21,IEM Fall 2021 CIS,Gambit,Mirage,11 - 16,L
9,Natus Vincere,01/10/21,IEM Fall 2021 CIS,Spirit,Mirage,16 - 10,W
10,Natus Vincere,30/09/21,IEM Fall 2021 CIS,Entropiq,Nuke,16 - 14,W
11,Natus Vincere,29/09/21,IEM Fall 2021 CIS,AVE,Ancient,16 - 12,W
12,Natus Vincere,25/09/21,BLAST Premier Fall Groups 2021,Complexity,Nuke,16 - 9,W
13,Natus Vincere,12/09/21,ESL Pro League Season 14,Vitality,Mirage,16 - 14,W
14,Natus Vincere,10/09/21,ESL Pro League Season 14,ENCE,Nuke,16 - 5,W
15,Natus Vincere,30/08/21,ESL Pro League Season 14,Evil Geniuses,Nuke,16 - 7,W
16,Natus Vincere,28/08/21,ESL Pro League Season 14,MOUZ,Mirage,16 - 9,W
17,Natus Vincere,18/07/21,IEM Cologne 2021,G2,Nuke,16 - 13,W
18,Natus Vincere,11/07/21,IEM Cologne 2021,Astralis,Inferno,16 - 5,W
19,Natus Vincere,08/07/21,IEM Cologne 2021,Renegades,Nuke,16 - 4,W
20,Natus Vincere,04/07/21,StarLadder CIS RMR 2021,Spirit,Inferno,16 - 9,W
21,Natus Vincere,02/07/21,StarLadder CIS RMR 2021,Spirit,Nuke,16 - 3,W
22,Natus Vincere,30/06/21,StarLadder CIS RMR 2021,FORZE,Dust2,16 - 14,W
23,Natus Vincere,28/06/21,StarLadder CIS RMR 2021,Nemiga,Mirage,16 - 12,W
24,Natus Vincere,20/06/21,BLAST Premier Spring Final 2021,G2,Nuke,16 - 13,W
25,Natus Vincere,17/06/21,BLAST Premier Spring Final 2021,BIG,Inferno,16 - 14,W
26,Natus Vincere,01/06/21,EPIC League CIS 2021,Entropiq,Train,16 - 13,W
27,Natus Vincere,26/05/21,EPIC League CIS 2021,FORZE,Mirage,16 - 4,W
28,Natus Vincere,21/05/21,EPIC League CIS 2021,Gambit,Train,16 - 10,W
29,Natus Vincere,16/05/21,EPIC League CIS 2021,Entropiq,Overpass,17 - 19,L
30,Natus Vincere,09/05/21,DreamHack Masters Spring 2021,Gambit,Train,16 - 12,W
31,Natus Vincere,07/05/21,DreamHack Masters Spring 2021,FURIA,Mirage,16 - 6,W
32,Natus Vincere,29/04/21,DreamHack Masters Spring 2021,Virtus.pro,Inferno,16 - 7,W
33,Natus Vincere,03/04/21,ESL Pro League Season 13,Complexity,Mirage,11 - 16,L
34,Natus Vincere,22/03/21,ESL Pro League Season 13,MIBR,Dust2,16 - 8,W
35,Natus Vincere,20/03/21,ESL Pro League Season 13,FURIA,Nuke,14 - 16,L
36,Natus Vincere,26/02/21,IEM Katowice 2021,Gambit,Train,6 - 16,L
37,Natus Vincere,20/02/21,IEM Katowice 2021,FURIA,Nuke,16 - 8,W
38,Natus Vincere,14/02/21,BLAST Premier Spring Groups 2021,FaZe,Nuke,16 - 11,W
39,Natus Vincere,12/02/21,BLAST Premier Spring Groups 2021,MIBR,Dust2,16 - 6,W
40,Natus Vincere,24/01/21,BLAST Premier Global Final 2020,Vitality,Dust2,16 - 10,W
41,Natus Vincere,22/01/21,BLAST Premier Global Final 2020,G2,Mirage,16 - 8,W
42,Natus Vincere,20/01/21,BLAST Premier Global Final 2020,Liquid,Nuke,14 - 16,L
43,Natus Vincere,19/12/21,BLAST Premier World Final 2021,Gambit,Inferno,16 - 6,W
44,Natus Vincere,19/12/21,BLAST Premier World Final 2021,Gambit,Ancient,16 - 11,W
45,Natus Vincere,19/12/21,BLAST Premier World Final 2021,Gambit,Mirage,11 - 16,L
46,Natus Vincere,18/12/21,BLAST Premier World Final 2021,Liquid,Inferno,16 - 11,W
47,Natus Vincere,18/12/21,BLAST Premier World Final 2021,Liquid,Dust2,16 - 10,W
48,Natus Vincere,15/12/21,BLAST Premier World Final 2021,HEROIC,Nuke,19 - 15,W
49,Natus Vincere,15/12/21,BLAST Premier World Final 2021,HEROIC,Mirage,16 - 6,W
50,Natus Vincere,28/11/21,BLAST Premier Fall Final 2021,Vitality,Inferno,16 - 7,W
51,Natus Vincere,28/11/21,BLAST Premier Fall Final 2021,Vitality,Nuke,6 - 16,L
52,Natus Vincere,28/11/21,BLAST Premier Fall Final 2021,Vitality,Mirage,16 - 12,W
53,Natus Vincere,25/11/21,BLAST Premier Fall Final 2021,HEROIC,Overpass,16 - 12,W
54,Natus Vincere,25/11/21,BLAST Premier Fall Final 2021,HEROIC,Mirage,14 - 16,L
55,Natus Vincere,25/11/21,BLAST Premier Fall Final 2021,HEROIC,Inferno,16 - 11,W
56,Natus Vincere,07/11/21,PGL Major Stockholm 2021,G2,Nuke,22 - 19,W
57,Natus Vincere,07/11/21,PGL Major Stockholm 2021,G2,Ancient,16 - 11,W
58,Natus Vincere,05/11/21,PGL Major Stockholm 2021,Vitality,Nuke,16 - 13,W
59,Natus Vincere,05/11/21,PGL Major Stockholm 2021,Vitality,Dust2,16 - 11,W
60,Natus Vincere,30/10/21,PGL Major Stockholm 2021,Virtus.pro,Overpass,16 - 4,W
61,Natus Vincere,03/10/21,IEM Fall 2021 CIS,Gambit,Mirage,11 - 16,L
