,team,data,match,opponent,map_map,result,w_l
0,Nexus,30/12/22,European Pro League Winter Holidays Cup 2022,los kogutos,Nuke,5 - 16,L
1,Nexus,11/12/22,Thunderpick Bitcoin Series 2,EYEBALLERS,Inferno,19 - 16,W
2,Nexus,06/12/22,Thunderpick Bitcoin Series 2,Monte,Mirage,16 - 13,W
3,Nexus,03/12/22,Thunderpick Bitcoin Series 2,MASONIC,Nuke,10 - 16,L
4,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Dust2,16 - 13,W
5,Nexus,26/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Dust2,16 - 14,W
6,Nexus,29/10/22,Esport Tour 2022 Series 3,los kogutos,Nuke,9 - 16,L
7,Nexus,14/10/22,Jaxi League Balkan Series 2022,OneTap,Dust2,14 - 16,L
8,Nexus,23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,SINNERS,Mirage,10 - 16,L
9,Nexus,22/09/22,ESEA Advanced Season 42 Europe,HOTU,Dust2,3 - 16,L
10,Nexus,20/09/22,ESEA Advanced Season 42 Europe,TAG,Mirage,10 - 16,L
11,Nexus,17/09/22, CCT Central Europe Series 2,BLUEJAYS,Inferno,10 - 16,L
12,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,TITANS,Mirage,22 - 20,W
13,Nexus,11/09/22,ROPL Stars Fall 2022,allStars,Nuke,16 - 11,W
14,Nexus,14/08/22,CCT Central Europe Series 1 Closed Qualifier,Monte,Nuke,14 - 16,L
15,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ONYX,Nuke,16 - 12,W
16,Nexus,29/06/22,Superbattles 2022 Finals,KTRL,Nuke,16 - 19,L
17,Nexus,28/06/22,Superbattles 2022 Finals,KTRL,Inferno,18 - 22,L
18,Nexus,24/06/22,Esport Tour 2022 Series 2,Anonymo,Nuke,12 - 16,L
19,Nexus,17/06/22,ESEA Advanced Season 41 Europe,BIG Academy,Dust2,9 - 16,L
20,Nexus,20/04/22,Esport Tour 2022 Series 1,UNGENTIUM,Inferno,16 - 7,W
21,Nexus,14/04/22,IEM Dallas 2022 Europe Open Qualifier 2,Endpoint,Dust2,8 - 16,L
22,Nexus,26/03/22,ESEA Advanced Season 40 Europe,FORZE,Dust2,11 - 16,L
23,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,Bad News Eagles,Mirage,14 - 16,L
24,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,BLUEJAYS,Mirage,16 - 11,W
25,Nexus,01/03/22,Pinnacle Winter Series 3 Regionals,HONORIS,Inferno,8 - 16,L
26,Nexus,27/02/22,ROPL Stars 2022,OneTap,Inferno,16 - 13,W
27,Nexus,13/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Mirage,16 - 7,W
28,Nexus,11/02/22,Jaxi League Elite Series 2022 Finals,VAMOSTARS,Ancient,16 - 11,W
29,Nexus,23/01/22,Malta Vibes Knockout Series 5,ECSTATIC,Vertigo,7 - 16,L
30,Nexus,19/01/22,Malta Vibes Knockout Series 5,Ambush,Nuke,16 - 7,W
31,Nexus,30/12/22,European Pro League Winter Holidays Cup 2022,los kogutos,Nuke,5 - 16,L
32,Nexus,30/12/22,European Pro League Winter Holidays Cup 2022,los kogutos,Mirage,11 - 16,L
33,Nexus,11/12/22,Thunderpick Bitcoin Series 2,EYEBALLERS,Inferno,19 - 16,W
34,Nexus,11/12/22,Thunderpick Bitcoin Series 2,EYEBALLERS,Mirage,22 - 18,W
35,Nexus,06/12/22,Thunderpick Bitcoin Series 2,Monte,Mirage,16 - 13,W
36,Nexus,03/12/22,Thunderpick Bitcoin Series 2,MASONIC,Nuke,10 - 16,L
37,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Dust2,16 - 13,W
38,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Mirage,16 - 3,W
39,Nexus,26/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Dust2,16 - 14,W
40,Nexus,26/11/22,CCT Central Europe Series 4 Closed Qualifier,los kogutos,Mirage,19 - 17,W
41,Nexus,29/10/22,Esport Tour 2022 Series 3,los kogutos,Nuke,9 - 16,L
42,Nexus,29/10/22,Esport Tour 2022 Series 3,los kogutos,Dust2,16 - 13,W
43,Nexus,29/10/22,Esport Tour 2022 Series 3,los kogutos,Mirage,10 - 16,L
44,Nexus,14/10/22,Jaxi League Balkan Series 2022,OneTap,Dust2,14 - 16,L
45,Nexus,14/10/22,Jaxi League Balkan Series 2022,OneTap,Nuke,13 - 16,L
46,Nexus,14/10/22,Jaxi League Balkan Series 2022,OneTap,Mirage,16 - 8,W
47,Nexus,23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,SINNERS,Mirage,10 - 16,L
48,Nexus,22/09/22,ESEA Advanced Season 42 Europe,HOTU,Dust2,3 - 16,L
49,Nexus,22/09/22,ESEA Advanced Season 42 Europe,HOTU,Ancient,6 - 16,L
50,Nexus,22/09/22,ESEA Advanced Season 42 Europe,HOTU,Nuke,28 - 25,W
51,Nexus,20/09/22,ESEA Advanced Season 42 Europe,TAG,Mirage,10 - 16,L
52,Nexus,20/09/22,ESEA Advanced Season 42 Europe,TAG,Ancient,16 - 12,W
53,Nexus,20/09/22,ESEA Advanced Season 42 Europe,TAG,Nuke,15 - 19,L
54,Nexus,17/09/22, CCT Central Europe Series 2,BLUEJAYS,Inferno,10 - 16,L
55,Nexus,17/09/22, CCT Central Europe Series 2,BLUEJAYS,Dust2,8 - 16,L
56,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,TITANS,Mirage,22 - 20,W
57,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,TITANS,Inferno,10 - 16,L
58,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,TITANS,Dust2,16 - 12,W
59,Nexus,11/09/22,ROPL Stars Fall 2022,allStars,Nuke,16 - 11,W
60,Nexus,11/09/22,ROPL Stars Fall 2022,allStars,Dust2,16 - 6,W
61,Nexus,14/08/22,CCT Central Europe Series 1 Closed Qualifier,Monte,Nuke,14 - 16,L
62,Nexus,14/08/22,CCT Central Europe Series 1 Closed Qualifier,Monte,Mirage,14 - 16,L
63,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ONYX,Nuke,16 - 12,W
64,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ONYX,Mirage,16 - 10,W
65,Nexus,29/06/22,Superbattles 2022 Finals,KTRL,Nuke,16 - 19,L
66,Nexus,29/06/22,Superbattles 2022 Finals,KTRL,Ancient,16 - 13,W
67,Nexus,29/06/22,Superbattles 2022 Finals,KTRL,Inferno,14 - 16,L
68,Nexus,28/06/22,Superbattles 2022 Finals,KTRL,Inferno,18 - 22,L
69,Nexus,28/06/22,Superbattles 2022 Finals,KTRL,Mirage,18 - 22,L
70,Nexus,24/06/22,Esport Tour 2022 Series 2,Anonymo,Nuke,12 - 16,L
71,Nexus,24/06/22,Esport Tour 2022 Series 2,Anonymo,Ancient,16 - 5,W
72,Nexus,24/06/22,Esport Tour 2022 Series 2,Anonymo,Vertigo,14 - 16,L
73,Nexus,17/06/22,ESEA Advanced Season 41 Europe,BIG Academy,Dust2,9 - 16,L
74,Nexus,17/06/22,ESEA Advanced Season 41 Europe,BIG Academy,Vertigo,16 - 19,L
75,Nexus,20/04/22,Esport Tour 2022 Series 1,UNGENTIUM,Inferno,16 - 7,W
76,Nexus,20/04/22,Esport Tour 2022 Series 1,UNGENTIUM,Mirage,19 - 16,W
77,Nexus,14/04/22,IEM Dallas 2022 Europe Open Qualifier 2,Endpoint,Dust2,8 - 16,L
78,Nexus,26/03/22,ESEA Advanced Season 40 Europe,FORZE,Dust2,11 - 16,L
79,Nexus,26/03/22,ESEA Advanced Season 40 Europe,FORZE,Inferno,14 - 16,L
80,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,Bad News Eagles,Mirage,14 - 16,L
81,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,BLUEJAYS,Mirage,16 - 11,W
82,Nexus,01/03/22,Pinnacle Winter Series 3 Regionals,HONORIS,Inferno,8 - 16,L
83,Nexus,01/03/22,Pinnacle Winter Series 3 Regionals,HONORIS,Mirage,14 - 16,L
84,Nexus,27/02/22,ROPL Stars 2022,OneTap,Inferno,16 - 13,W
85,Nexus,27/02/22,ROPL Stars 2022,OneTap,Mirage,16 - 1,W
86,Nexus,13/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Mirage,16 - 7,W
87,Nexus,13/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Dust2,16 - 12,W
88,Nexus,11/02/22,Jaxi League Elite Series 2022 Finals,VAMOSTARS,Ancient,16 - 11,W
89,Nexus,11/02/22,Jaxi League Elite Series 2022 Finals,VAMOSTARS,Dust2,4 - 16,L
90,Nexus,11/02/22,Jaxi League Elite Series 2022 Finals,VAMOSTARS,Inferno,16 - 6,W
91,Nexus,23/01/22,Malta Vibes Knockout Series 5,ECSTATIC,Vertigo,7 - 16,L
92,Nexus,23/01/22,Malta Vibes Knockout Series 5,ECSTATIC,Dust2,11 - 16,L
93,Nexus,19/01/22,Malta Vibes Knockout Series 5,Ambush,Nuke,16 - 7,W
94,Nexus,19/01/22,Malta Vibes Knockout Series 5,Ambush,Inferno,19 - 22,L
95,Nexus,19/01/22,Malta Vibes Knockout Series 5,Ambush,Dust2,16 - 9,W
96,Nexus,29/12/22,European Pro League Winter Holidays Cup 2022,iNation,Inferno,14 - 16,L
97,Nexus,08/12/22,Thunderpick Bitcoin Series 2,Invictus International,Nuke,19 - 22,L
98,Nexus,05/12/22,Thunderpick Bitcoin Series 2,Endpoint,Ancient,16 - 8,W
99,Nexus,30/11/22,CCT Central Europe Series 4 Closed Qualifier,Apeks,Dust2,4 - 16,L
100,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,ESTOWNIA,Ancient,14 - 16,L
101,Nexus,30/10/22,Esport Tour 2022 Series 3,EC Brugge,Nuke,16 - 7,W
102,Nexus,28/10/22,Esport Tour 2022 Series 3,UNGENTIUM,Dust2,16 - 11,W
103,Nexus,23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,ONYX,Nuke,16 - 19,L
104,Nexus,23/09/22, CCT Central Europe Series 2,ex-SKADE,Nuke,10 - 16,L
105,Nexus,21/09/22, CCT Central Europe Series 2,los kogutos,Mirage,8 - 16,L
106,Nexus,19/09/22, CCT Central Europe Series 2,EYEBALLERS,Ancient,16 - 14,W
107,Nexus,15/09/22,CCT Central Europe Series 2 Closed Qualifier,SC,Mirage,16 - 12,W
108,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,los kogutos,Dust2,16 - 10,W
109,Nexus,11/09/22,ROPL Stars Fall 2022,OneTap,Dust2,16 - 8,W
110,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ROYALS,Nuke,16 - 12,W
111,Nexus,12/08/22,CCT Central Europe Series 1 Closed Qualifier,Budapest Five,Inferno,13 - 16,L
112,Nexus,28/06/22,Superbattles 2022 Finals,allStars,Nuke,16 - 12,W
113,Nexus,25/06/22,Esport Tour 2022 Series 2,B8,Vertigo,6 - 16,L
114,Nexus,20/06/22,ESEA Advanced Season 41 Europe,Iron Branch,Dust2,9 - 16,L
115,Nexus,28/04/22,Esport Tour 2022 Series 1,PACT,Nuke,10 - 16,L
116,Nexus,20/04/22,Esport Tour 2022 Series 1,Case,Mirage,16 - 9,W
117,Nexus,13/04/22,IEM Dallas 2022 Europe Open Qualifier 2,CloudRunners,Inferno,16 - 12,W
118,Nexus,22/03/22,ESEA Advanced Season 40 Europe,INDE IRAE,Nuke,11 - 16,L
119,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,SKADE,Dust2,13 - 16,L
120,Nexus,02/03/22,Pinnacle Winter Series 3 Regionals,KOVA,Nuke,13 - 16,L
121,Nexus,28/02/22,Pinnacle Winter Series 3 Regionals,ECLOT,Inferno,4 - 16,L
122,Nexus,27/02/22,ROPL Stars 2022,CYBER,Nuke,16 - 4,W
123,Nexus,12/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Mirage,16 - 9,W
124,Nexus,10/02/22,Malta Vibes Knockout Series 6,HONORIS,Inferno,7 - 16,L
125,Nexus,21/01/22,Malta Vibes Knockout Series 5,Into the Breach,Ancient,16 - 10,W
126,Nexus,29/12/22,European Pro League Winter Holidays Cup 2022,iNation,Inferno,14 - 16,L
127,Nexus,29/12/22,European Pro League Winter Holidays Cup 2022,iNation,Nuke,8 - 16,L
128,Nexus,08/12/22,Thunderpick Bitcoin Series 2,Invictus International,Nuke,19 - 22,L
129,Nexus,08/12/22,Thunderpick Bitcoin Series 2,Invictus International,Mirage,9 - 16,L
130,Nexus,05/12/22,Thunderpick Bitcoin Series 2,Endpoint,Ancient,16 - 8,W
131,Nexus,30/11/22,CCT Central Europe Series 4 Closed Qualifier,Apeks,Dust2,4 - 16,L
132,Nexus,30/11/22,CCT Central Europe Series 4 Closed Qualifier,Apeks,Inferno,6 - 16,L
133,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,ESTOWNIA,Ancient,14 - 16,L
134,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,ESTOWNIA,Vertigo,11 - 16,L
135,Nexus,27/11/22,CCT Central Europe Series 4 Closed Qualifier,ESTOWNIA,Dust2,16 - 10,W
136,Nexus,30/10/22,Esport Tour 2022 Series 3,EC Brugge,Nuke,16 - 7,W
137,Nexus,30/10/22,Esport Tour 2022 Series 3,EC Brugge,Ancient,22 - 19,W
138,Nexus,28/10/22,Esport Tour 2022 Series 3,UNGENTIUM,Dust2,16 - 11,W
139,Nexus,28/10/22,Esport Tour 2022 Series 3,UNGENTIUM,Ancient,16 - 8,W
140,Nexus,23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,ONYX,Nuke,16 - 19,L
141,Nexus,23/09/22, CCT Central Europe Series 2,ex-SKADE,Nuke,10 - 16,L
142,Nexus,23/09/22, CCT Central Europe Series 2,ex-SKADE,Inferno,13 - 16,L
143,Nexus,21/09/22, CCT Central Europe Series 2,los kogutos,Mirage,8 - 16,L
144,Nexus,21/09/22, CCT Central Europe Series 2,los kogutos,Dust2,12 - 16,L
145,Nexus,19/09/22, CCT Central Europe Series 2,EYEBALLERS,Ancient,16 - 14,W
146,Nexus,19/09/22, CCT Central Europe Series 2,EYEBALLERS,Inferno,19 - 16,W
147,Nexus,19/09/22, CCT Central Europe Series 2,EYEBALLERS,Dust2,3 - 16,L
148,Nexus,15/09/22,CCT Central Europe Series 2 Closed Qualifier,SC,Mirage,16 - 12,W
149,Nexus,15/09/22,CCT Central Europe Series 2 Closed Qualifier,SC,Dust2,16 - 12,W
150,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,los kogutos,Dust2,16 - 10,W
151,Nexus,13/09/22,CCT Central Europe Series 2 Closed Qualifier,los kogutos,Mirage,16 - 7,W
152,Nexus,11/09/22,ROPL Stars Fall 2022,OneTap,Dust2,16 - 8,W
153,Nexus,11/09/22,ROPL Stars Fall 2022,OneTap,Nuke,16 - 13,W
154,Nexus,11/09/22,ROPL Stars Fall 2022,OneTap,Mirage,11 - 16,L
155,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ROYALS,Nuke,16 - 12,W
156,Nexus,13/08/22,CCT Central Europe Series 1 Closed Qualifier,ROYALS,Dust2,16 - 9,W
157,Nexus,12/08/22,CCT Central Europe Series 1 Closed Qualifier,Budapest Five,Inferno,13 - 16,L
158,Nexus,12/08/22,CCT Central Europe Series 1 Closed Qualifier,Budapest Five,Vertigo,8 - 16,L
159,Nexus,28/06/22,Superbattles 2022 Finals,allStars,Nuke,16 - 12,W
160,Nexus,25/06/22,Esport Tour 2022 Series 2,B8,Vertigo,6 - 16,L
161,Nexus,25/06/22,Esport Tour 2022 Series 2,B8,Nuke,8 - 16,L
162,Nexus,25/06/22,Esport Tour 2022 Series 2,B8,Inferno,16 - 11,W
163,Nexus,20/06/22,ESEA Advanced Season 41 Europe,Iron Branch,Dust2,9 - 16,L
164,Nexus,20/06/22,ESEA Advanced Season 41 Europe,Iron Branch,Vertigo,14 - 16,L
165,Nexus,28/04/22,Esport Tour 2022 Series 1,PACT,Nuke,10 - 16,L
166,Nexus,28/04/22,Esport Tour 2022 Series 1,PACT,Dust2,18 - 22,L
167,Nexus,28/04/22,Esport Tour 2022 Series 1,PACT,Vertigo,16 - 9,W
168,Nexus,20/04/22,Esport Tour 2022 Series 1,Case,Mirage,16 - 9,W
169,Nexus,20/04/22,Esport Tour 2022 Series 1,Case,Inferno,16 - 13,W
170,Nexus,13/04/22,IEM Dallas 2022 Europe Open Qualifier 2,CloudRunners,Inferno,16 - 12,W
171,Nexus,22/03/22,ESEA Advanced Season 40 Europe,INDE IRAE,Nuke,11 - 16,L
172,Nexus,22/03/22,ESEA Advanced Season 40 Europe,INDE IRAE,Mirage,16 - 8,W
173,Nexus,22/03/22,ESEA Advanced Season 40 Europe,INDE IRAE,Overpass,11 - 16,L
174,Nexus,19/03/22,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,SKADE,Dust2,13 - 16,L
175,Nexus,02/03/22,Pinnacle Winter Series 3 Regionals,KOVA,Nuke,13 - 16,L
176,Nexus,02/03/22,Pinnacle Winter Series 3 Regionals,KOVA,Mirage,11 - 16,L
177,Nexus,28/02/22,Pinnacle Winter Series 3 Regionals,ECLOT,Inferno,4 - 16,L
178,Nexus,28/02/22,Pinnacle Winter Series 3 Regionals,ECLOT,Dust2,16 - 9,W
179,Nexus,28/02/22,Pinnacle Winter Series 3 Regionals,ECLOT,Mirage,12 - 16,L
180,Nexus,27/02/22,ROPL Stars 2022,CYBER,Nuke,16 - 4,W
181,Nexus,27/02/22,ROPL Stars 2022,CYBER,Ancient,16 - 10,W
182,Nexus,12/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Mirage,16 - 9,W
183,Nexus,12/02/22,Jaxi League Elite Series 2022 Finals,KTRL,Ancient,16 - 11,W
184,Nexus,10/02/22,Malta Vibes Knockout Series 6,HONORIS,Inferno,7 - 16,L
185,Nexus,10/02/22,Malta Vibes Knockout Series 6,HONORIS,Vertigo,16 - 10,W
186,Nexus,10/02/22,Malta Vibes Knockout Series 6,HONORIS,Dust2,14 - 16,L
187,Nexus,21/01/22,Malta Vibes Knockout Series 5,Into the Breach,Ancient,16 - 10,W
188,Nexus,21/01/22,Malta Vibes Knockout Series 5,Into the Breach,Dust2,16 - 12,W
