,team,data,match,opponent,map_map,result,w_l
0,Ninjas in Pyjamas,03/12/23,Svenska Cupen 2023,Alliance,Ancient,13 - 6,W
1,Ninjas in Pyjamas,23/11/23,BLAST Premier Fall Final 2023,Natus Vincere,Mirage,6 - 13,L
2,Ninjas in Pyjamas,11/11/23,CS Asia Championships 2023,ENCE,Ancient,6 - 13,L
3,Ninjas in Pyjamas,09/11/23,CS Asia Championships 2023,FaZe,Ancient,25 - 28,L
4,Ninjas in Pyjamas,28/10/23,Roobet Cup 2023,Monte,Mirage,14 - 16,L
5,Ninjas in Pyjamas,27/10/23,Thunderpick World Championship 2023,Virtus.pro,Inferno,10 - 13,L
6,Ninjas in Pyjamas,02/09/23,ESL Pro League Season 18,GamerLegion,Inferno,10 - 16,L
7,Ninjas in Pyjamas,31/08/23,ESL Pro League Season 18,Vitality,Nuke,9 - 16,L
8,Ninjas in Pyjamas,24/08/23,IEM Sydney 2023 Europe Closed Qualifier,BetBoom,Ancient,10 - 16,L
9,Ninjas in Pyjamas,23/08/23,IEM Sydney 2023 Europe Closed Qualifier,9INE,Vertigo,14 - 16,L
10,Ninjas in Pyjamas,31/07/23,IEM Cologne 2023,Astralis,Ancient,6 - 16,L
11,Ninjas in Pyjamas,28/07/23,IEM Cologne 2023 Play-in,Imperial,Nuke,19 - 15,W
12,Ninjas in Pyjamas,26/07/23,IEM Cologne 2023 Play-in,Into the Breach,Ancient,16 - 5,W
13,Ninjas in Pyjamas,18/07/23,BLAST Premier Fall Groups 2023,Complexity,Nuke,22 - 20,W
14,Ninjas in Pyjamas,13/07/23,BLAST Premier Fall Groups 2023,Complexity,Overpass,13 - 16,L
15,Ninjas in Pyjamas,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Eternal Fire,Nuke,16 - 5,W
16,Ninjas in Pyjamas,27/05/23,CCT 2023 Online Finals 1,9INE,Mirage,15 - 19,L
17,Ninjas in Pyjamas,23/05/23,CCT 2023 Online Finals 1,Meta,Inferno,16 - 4,W
18,Ninjas in Pyjamas,21/05/23,ESL Challenger Katowice 2023 Europe Closed Qualifier,HOTU,Mirage,16 - 8,W
19,Ninjas in Pyjamas,20/05/23,ESL Challenger Katowice 2023 Europe Closed Qualifier,DomiNation,Ancient,11 - 16,L
20,Ninjas in Pyjamas,15/05/23,BLAST.tv Paris Major 2023,ENCE,Ancient,16 - 10,W
21,Ninjas in Pyjamas,13/05/23,BLAST.tv Paris Major 2023,FURIA,Nuke,16 - 8,W
22,Ninjas in Pyjamas,10/05/23,BLAST.tv Paris Major 2023 Challengers Stage,Grayhound,Inferno,16 - 12,W
23,Ninjas in Pyjamas,08/05/23,BLAST.tv Paris Major 2023 Challengers Stage,ENCE,Vertigo,9 - 16,L
