,team,data,match,opponent,map_map,result,w_l
0,Nouns,18/12/23,ESEA Autumn 2023 Cash Cup 7 North America,FPL Friends,Nuke,11 - 13,L
1,Nouns,17/12/23,ESEA Autumn 2023 Cash Cup 7 North America,DNA,Mirage,13 - 8,W
2,Nouns,13/12/23,Mythic Cup Winter 2023,NRG,Mirage,13 - 8,W
3,Nouns,09/12/23,ESL Challenger League Season 46 North America,Party Astronauts,Inferno,2 - 13,L
4,Nouns,07/12/23,ESL Challenger League Season 46 North America,BOSS,Ancient,13 - 16,L
5,Nouns,25/11/23,ESL Challenger Jönköping 2023,Eternal Fire,Nuke,9 - 13,L
6,Nouns,24/11/23,ESL Challenger Jönköping 2023,Eternal Fire,Vertigo,13 - 11,W
7,Nouns,16/11/23,LEON TEAMPLAY Season 2,paiN,Mirage,11 - 13,L
8,Nouns,09/11/23,ESL Challenger League Season 46 North America,Rocket,Mirage,9 - 13,L
9,Nouns,30/10/23,Thunderpick World Championship 2023,HEROIC,Vertigo,4 - 13,L
10,Nouns,24/10/23,ESL Challenger League Season 46 North America,Reason,Mirage,13 - 10,W
11,Nouns,22/10/23,ESL Challenger League Season 46 North America,Unjustified,Ancient,13 - 6,W
12,Nouns,19/10/23,ESL Challenger League Season 46 North America,FLUFFY AIMERS,Mirage,13 - 7,W
13,Nouns,18/10/23,ESL Challenger League Season 46 North America,Evil Geniuses,Nuke,13 - 4,W
14,Nouns,12/10/23,ESL Challenger Jönköping 2023 North America Closed Qualifier,Evil Geniuses,Mirage,13 - 6,W
15,Nouns,10/10/23,ESL Challenger Jönköping 2023 North America Closed Qualifier,Evil Geniuses,Mirage,13 - 8,W
16,Nouns,17/09/23,ESEA Summer 2023 Cash Cup 1 North America,Party Astronauts,Mirage,16 - 14,W
17,Nouns,10/09/23,Ace North American Masters Fall 2023 - BLAST Premier Qualifier,Forsaken,Inferno,12 - 16,L
18,Nouns,08/09/23,Ace North American Masters Fall 2023 - BLAST Premier Qualifier,Party Astronauts,Ancient,7 - 16,L
19,Nouns,30/08/23,Thunderpick World Championship 2023 North America Series 2,Complexity,Nuke,7 - 16,L
20,Nouns,26/08/23,Thunderpick World Championship 2023 North America Series 2,Badass,Mirage,16 - 9,W
21,Nouns,24/08/23,IEM Sydney 2023 North America Closed Qualifier,M80,Mirage,13 - 16,L
22,Nouns,04/08/23,CCT 2023 Online Finals 2,Sojoga,Overpass,16 - 9,W
23,Nouns,18/07/23,Thunderpick World Championship 2023 North America Series 1,Wildcard,Inferno,11 - 16,L
24,Nouns,09/06/23,ESEA Cash Cup Circuit Season 1 Finals,ATK,Overpass,16 - 10,W
25,Nouns,07/06/23,ESEA Cash Cup Circuit Season 1 Finals,FLUFFY AIMERS,Ancient,16 - 7,W
26,Nouns,01/06/23,ESEA Cash Cup Circuit Season 1 Cup 8 North America,9z,Overpass,2 - 16,L
27,Nouns,29/05/23,IEM Dallas 2023,FURIA,Anubis,3 - 16,L
28,Nouns,24/05/23,ESL Challenger League Season 45 North America,ATK,Inferno,15 - 19,L
29,Nouns,22/05/23,ESL Challenger League Season 45 North America,Party Astronauts,Inferno,16 - 13,W
30,Nouns,20/05/23,ESEA Cash Cup Circuit Season 1 Cup 7 North America,ATK,Inferno,16 - 10,W
31,Nouns,20/05/23,ESEA Cash Cup Circuit Season 1 Cup 7 North America,Xmplfy,Inferno,16 - 9,W
32,Nouns,17/05/23,Gamers8 2023 North America Open Qualifier,MIBR,Nuke,9 - 16,L
33,Nouns,17/05/23,Gamers8 2023 North America Open Qualifier,Evil Geniuses,Mirage,16 - 8,W
34,Nouns,10/05/23,ESL Challenger League Season 45 North America,timbermen,Overpass,16 - 12,W
35,Nouns,06/05/23,ESEA Cash Cup Circuit Season 1 Cup 6 North America,MagicLight,Inferno,16 - 11,W
36,Nouns,30/04/23,ESEA Cash Cup Circuit Season 1 Cup 5 North America,timbermen,Overpass,16 - 11,W
37,Nouns,20/04/23,ESL Challenger League Season 45 North America,Mythic,Inferno,16 - 9,W
38,Nouns,15/04/23,ESL Challenger Katowice 2023 North America Closed Qualifier,Party Astronauts,Nuke,16 - 19,L
39,Nouns,13/04/23,ESL Challenger Katowice 2023 North America Closed Qualifier,Detonate,Overpass,16 - 11,W
40,Nouns,12/04/23,ESL Challenger Katowice 2023 North America Open Qualifier,Party Astronauts,Overpass,22 - 20,W
41,Nouns,12/04/23,ESL Challenger Katowice 2023 North America Open Qualifier,DNA,Nuke,16 - 4,W
42,Nouns,08/04/23,BLAST.tv Paris Major 2023 Americas RMR,Flamengo,Mirage,16 - 6,W
43,Nouns,06/04/23,BLAST.tv Paris Major 2023 Americas RMR,BESTIA,Overpass,13 - 16,L
44,Nouns,26/03/23,CCT North America Series 4,MIBR,Inferno,11 - 16,L
45,Nouns,23/03/23,ESL Challenger League Season 44 North America,MIBR,Anubis,10 - 16,L
46,Nouns,22/03/23,ESL Challenger League Season 44 North America,TeamOne,Ancient,16 - 12,W
47,Nouns,16/03/23,ESL Challenger League Season 44 North America,Strife,Mirage,16 - 14,W
48,Nouns,11/03/23,Ace North American Masters Spring 2023 - BLAST Premier Qualifier,yur,Overpass,16 - 5,W
49,Nouns,10/03/23,Ace North American Masters Spring 2023 - BLAST Premier Qualifier,timbermen,Mirage,9 - 16,L
50,Nouns,08/03/23,ESL Challenger League Season 44 North America,Vendetta,Mirage,16 - 12,W
51,Nouns,06/03/23,IEM Dallas 2023 North America Closed Qualifier,TeamOne,Inferno,16 - 12,W
52,Nouns,04/03/23,IEM Dallas 2023 North America Closed Qualifier,Vendetta,Overpass,16 - 12,W
