,team,data,match,opponent,map_map,result,w_l
0,NRG,10/04/24,ESL Challenger League Season 47 North America,Carpe Diem,Nuke,13 - 6,W
1,NRG,28/03/24,ESL Challenger League Season 47 North America,Nouns,Mirage,19 - 16,W
2,NRG,27/03/24,ESL Challenger League Season 47 North America,MIGHT,Overpass,13 - 1,W
3,NRG,16/03/24,ESL Challenger League Season 47 North America,FLUFFY AIMERS,Ancient,13 - 4,W
4,NRG,15/03/24,ESL Challenger League Season 47 North America,Limitless,Nuke,13 - 7,W
5,NRG,13/03/24,ESL Challenger Jönköping 2024 North America Open Qualifier,Carpe Diem,Vertigo,6 - 13,L
6,NRG,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Imperial,Overpass,2 - 13,L
7,NRG,25/02/24,IEM Dallas 2024 North America Open Qualifier 2,Limitless,Inferno,13 - 2,W
8,NRG,23/02/24,IEM Dallas 2024 North America Open Qualifier 1,Party Astronauts,Vertigo,10 - 13,L
9,NRG,21/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Party Astronauts,Anubis,12 - 16,L
10,NRG,19/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Mythic,Mirage,16 - 13,W
11,NRG,03/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,Party Astronauts,Inferno,13 - 6,W
12,NRG,02/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,Party Astronauts,Inferno,13 - 10,W
13,NRG,18/01/24,IEM Chengdu 2024 North America Open Qualifier 2,Badass,Overpass,13 - 6,W
14,NRG,17/01/24,IEM Chengdu 2024 North America Open Qualifier 1,Badass,Ancient,9 - 13,L
15,NRG,16/01/24,IEM Chengdu 2024 North America Open Qualifier 1,Shimmer,Ancient,13 - 0,W
16,NRG,14/01/24,PGL CS2 Major Copenhagen 2024 NA RMR Closed Qualifier,LOS,Mirage,13 - 6,W
17,NRG,13/01/24,PGL CS2 Major Copenhagen 2024 NA RMR Closed Qualifier,Complexity,Ancient,21 - 25,L
18,NRG,10/01/24,PGL CS2 Major Copenhagen 2024 NA RMR Open Qualifier 1,Liquid,Anubis,3 - 13,L
19,NRG,10/01/24,PGL CS2 Major Copenhagen 2024 NA RMR Open Qualifier 1,MagicLight,Inferno,13 - 9,W
20,NRG,10/04/24,ESL Challenger League Season 47 North America,Carpe Diem,Ancient,13 - 3,W
21,NRG,28/03/24,ESL Challenger League Season 47 North America,Nouns,Nuke,9 - 13,L
22,NRG,27/03/24,ESL Challenger League Season 47 North America,MIGHT,Mirage,13 - 5,W
23,NRG,16/03/24,ESL Challenger League Season 47 North America,FLUFFY AIMERS,Mirage,10 - 13,L
24,NRG,15/03/24,ESL Challenger League Season 47 North America,Limitless,Ancient,13 - 4,W
25,NRG,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,MIBR,Anubis,13 - 16,L
26,NRG,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,MIBR,Inferno,2 - 13,L
27,NRG,25/02/24,IEM Dallas 2024 North America Open Qualifier 2,Wildcard,Inferno,10 - 13,L
28,NRG,25/02/24,IEM Dallas 2024 North America Open Qualifier 2,Wildcard,Mirage,6 - 13,L
29,NRG,24/02/24,IEM Dallas 2024 North America Open Qualifier 2,Mythic,Overpass,13 - 8,W
30,NRG,22/02/24,IEM Dallas 2024 North America Open Qualifier 1,Wildcard,Inferno,13 - 8,W
31,NRG,20/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Party Astronauts,Vertigo,16 - 13,W
32,NRG,20/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Party Astronauts,Anubis,8 - 13,L
33,NRG,20/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Party Astronauts,Inferno,13 - 8,W
34,NRG,03/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,timbermen,Vertigo,6 - 13,L
35,NRG,03/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,timbermen,Mirage,14 - 16,L
36,NRG,03/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,timbermen,Inferno,13 - 7,W
37,NRG,02/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,Wildcard,Overpass,8 - 13,L
38,NRG,19/01/24,IEM Chengdu 2024 North America Open Qualifier 2,Wildcard,Anubis,4 - 13,L
