,team,data,match,opponent,map_map,result,w_l
0,ODDIK,09/04/24,ESL Challenger League Season 47 South America,Fluxo,Vertigo,11 - 13,L
1,ODDIK,08/04/24,RES Regional Series 3 LATAM,Fluxo,Ancient,8 - 13,L
2,ODDIK,06/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Anubis,13 - 11,W
3,ODDIK,04/04/24,ESL Challenger League Season 47 South America,Imperial,Inferno,8 - 13,L
4,ODDIK,03/04/24,ESL Challenger League Season 47 South America,RED Canids,Vertigo,10 - 13,L
5,ODDIK,27/03/24,ESL Challenger League Season 47 South America,MIBR,Vertigo,3 - 13,L
6,ODDIK,18/03/24,EPL World Series Americas Season 7,RED Canids,Overpass,8 - 13,L
7,ODDIK,16/03/24,EPL World Series Americas Season 7,RED Canids,Anubis,13 - 16,L
8,ODDIK,15/03/24,ESL Challenger League Season 47 South America,2GAME,Anubis,13 - 9,W
9,ODDIK,13/03/24,ESL Challenger Jönköping 2024 South America Open Qualifier,Sharks,Ancient,8 - 13,L
10,ODDIK,10/03/24,EPL World Series Americas Season 7,Solid,Inferno,13 - 6,W
11,ODDIK,08/03/24,RES Regional Series 2 LATAM,Galorys,Inferno,9 - 13,L
12,ODDIK,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,RED Canids,Anubis,13 - 4,W
13,ODDIK,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,M80,Ancient,10 - 13,L
14,ODDIK,02/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Ancient,13 - 16,L
15,ODDIK,21/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,RED Canids,Ancient,13 - 10,W
16,ODDIK,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Flamengo,Nuke,13 - 8,W
17,ODDIK,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,adalYamigos,Anubis,8 - 13,L
18,ODDIK,13/01/24,IEM Chengdu 2024 South America Open Qualifier 1,Solid,Ancient,13 - 11,W
19,ODDIK,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Flamengo,Nuke,11 - 13,L
20,ODDIK,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Hype,Nuke,13 - 7,W
21,ODDIK,09/04/24,ESL Challenger League Season 47 South America,Fluxo,Vertigo,11 - 13,L
22,ODDIK,08/04/24,RES Regional Series 3 LATAM,Fluxo,Ancient,8 - 13,L
23,ODDIK,08/04/24,RES Regional Series 3 LATAM,Fluxo,Vertigo,2 - 13,L
24,ODDIK,06/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Anubis,13 - 11,W
25,ODDIK,06/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Overpass,13 - 6,W
26,ODDIK,04/04/24,ESL Challenger League Season 47 South America,Imperial,Inferno,8 - 13,L
27,ODDIK,03/04/24,ESL Challenger League Season 47 South America,RED Canids,Vertigo,10 - 13,L
28,ODDIK,27/03/24,ESL Challenger League Season 47 South America,MIBR,Vertigo,3 - 13,L
29,ODDIK,18/03/24,EPL World Series Americas Season 7,RED Canids,Overpass,8 - 13,L
30,ODDIK,18/03/24,EPL World Series Americas Season 7,RED Canids,Nuke,14 - 16,L
31,ODDIK,16/03/24,EPL World Series Americas Season 7,RED Canids,Anubis,13 - 16,L
32,ODDIK,16/03/24,EPL World Series Americas Season 7,RED Canids,Overpass,5 - 13,L
33,ODDIK,15/03/24,ESL Challenger League Season 47 South America,2GAME,Anubis,13 - 9,W
34,ODDIK,13/03/24,ESL Challenger Jönköping 2024 South America Open Qualifier,Sharks,Ancient,8 - 13,L
35,ODDIK,10/03/24,EPL World Series Americas Season 7,Solid,Inferno,13 - 6,W
36,ODDIK,10/03/24,EPL World Series Americas Season 7,Solid,Anubis,13 - 8,W
37,ODDIK,08/03/24,RES Regional Series 2 LATAM,Galorys,Inferno,9 - 13,L
38,ODDIK,08/03/24,RES Regional Series 2 LATAM,Galorys,Nuke,7 - 13,L
39,ODDIK,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,RED Canids,Anubis,13 - 4,W
40,ODDIK,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,RED Canids,Overpass,6 - 13,L
41,ODDIK,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,RED Canids,Nuke,13 - 6,W
42,ODDIK,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,M80,Ancient,10 - 13,L
43,ODDIK,02/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Ancient,13 - 16,L
44,ODDIK,21/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,RED Canids,Ancient,13 - 10,W
45,ODDIK,21/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,RED Canids,Overpass,8 - 13,L
46,ODDIK,21/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,RED Canids,Nuke,13 - 11,W
47,ODDIK,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Flamengo,Nuke,13 - 8,W
48,ODDIK,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,adalYamigos,Anubis,8 - 13,L
49,ODDIK,13/01/24,IEM Chengdu 2024 South America Open Qualifier 1,Solid,Ancient,13 - 11,W
50,ODDIK,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Flamengo,Nuke,11 - 13,L
51,ODDIK,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Hype,Nuke,13 - 7,W
52,ODDIK,09/04/24,ESL Challenger League Season 47 South America,Fluxo,Inferno,10 - 13,L
53,ODDIK,06/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Sharks,Nuke,7 - 13,L
54,ODDIK,05/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,MIBR,Inferno,10 - 13,L
55,ODDIK,04/04/24,ESL Challenger League Season 47 South America,Imperial,Vertigo,4 - 13,L
56,ODDIK,03/04/24,ESL Challenger League Season 47 South America,RED Canids,Ancient,9 - 13,L
57,ODDIK,26/03/24,ESL Challenger League Season 47 South America,MIBR,Ancient,5 - 13,L
58,ODDIK,17/03/24,EPL World Series Americas Season 7,Case,Vertigo,13 - 9,W
59,ODDIK,16/03/24,ESL Challenger League Season 47 South America,2GAME,Ancient,13 - 8,W
