,team,data,match,opponent,map_map,result,w_l
0,OG,03/12/21,IEM Winter 2021,Ninjas in Pyjamas,Nuke,8 - 16,L
1,OG,02/12/21,IEM Winter 2021,Liquid,Mirage,12 - 16,L
2,OG,15/10/21,BLAST Premier Fall Showdown 2021,Complexity,Dust2,16 - 12,W
3,OG,06/10/21,IEM Fall 2021 Europe,HEROIC,Inferno,16 - 8,W
4,OG,03/10/21,IEM Fall 2021 Europe,MAD Lions,Nuke,9 - 16,L
5,OG,01/10/21,IEM Fall 2021 Europe,Vitality,Mirage,9 - 16,L
6,OG,29/09/21,IEM Fall 2021 Europe,Sprout,Dust2,16 - 7,W
7,OG,24/09/21,BLAST Premier Fall Groups 2021,Natus Vincere,Mirage,8 - 16,L
8,OG,09/09/21,ESL Pro League Season 14,Ninjas in Pyjamas,Dust2,16 - 4,W
9,OG,25/08/21,ESL Pro League Season 14,SINNERS,Mirage,16 - 7,W
10,OG,22/08/21,ESL Pro League Season 14,G2,Inferno,16 - 5,W
11,OG,07/07/21,IEM Cologne 2021 Play-in,Renegades,Inferno,15 - 19,L
12,OG,06/07/21,IEM Cologne 2021 Play-in,TeamOne,Inferno,16 - 6,W
13,OG,12/06/21,IEM Summer 2021,Vitality,Overpass,16 - 10,W
14,OG,04/06/21,IEM Summer 2021,Virtus.pro,Overpass,16 - 11,W
15,OG,02/06/21,Spring Sweet Spring 2,BIG,Mirage,16 - 9,W
16,OG,01/06/21,Spring Sweet Spring 2,1WIN,Dust2,16 - 9,W
17,OG,10/05/21,Flashpoint 3,Astralis,Nuke,11 - 16,L
18,OG,26/04/21,IEM Summer 2021 Closed Qualifier,FaZe,Mirage,16 - 8,W
19,OG,16/04/21,BLAST Premier Spring Showdown 2021,G2,Inferno,12 - 16,L
20,OG,12/03/21,ESL Pro League Season 13,FunPlus Phoenix,Inferno,14 - 16,L
21,OG,10/03/21,ESL Pro League Season 13,Renegades,Nuke,16 - 6,W
22,OG,08/03/21,ESL Pro League Season 13,BIG,Inferno,16 - 6,W
23,OG,06/03/21,DreamHack Masters Spring 2021 Europe Closed Qualifier,Complexity,Mirage,5 - 16,L
24,OG,20/02/21,IEM Katowice 2021,FaZe,Dust2,9 - 16,L
25,OG,17/02/21,IEM Katowice 2021 Play-in,Cloud9,Dust2,16 - 12,W
26,OG,16/02/21,IEM Katowice 2021 Play-in,fnatic,Overpass,16 - 9,W
27,OG,04/02/21,BLAST Premier Spring Groups 2021,BIG,Dust2,13 - 16,L
28,OG,02/02/21,SteelSeries Invitational 2021,FALKN,Cobblestone,16 - 8,W
29,OG,28/01/21,cs_summit 7,Dignitas,Dust2,19 - 16,W
30,OG,25/01/21,cs_summit 7,Dignitas,Dust2,16 - 14,W
31,OG,03/12/21,IEM Winter 2021,Ninjas in Pyjamas,Nuke,8 - 16,L
32,OG,03/12/21,IEM Winter 2021,Ninjas in Pyjamas,Ancient,16 - 13,W
33,OG,03/12/21,IEM Winter 2021,Ninjas in Pyjamas,Inferno,13 - 16,L
34,OG,02/12/21,IEM Winter 2021,Liquid,Mirage,12 - 16,L
35,OG,15/10/21,BLAST Premier Fall Showdown 2021,Complexity,Dust2,16 - 12,W
36,OG,15/10/21,BLAST Premier Fall Showdown 2021,Complexity,Mirage,16 - 0,W
