,team,data,match,opponent,map_map,result,w_l
0,paiN,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Mirage,13 - 11,W
1,paiN,09/04/24,ESL Challenger League Season 47 South America,Case,Nuke,13 - 11,W
2,paiN,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Sharks,Nuke,13 - 10,W
3,paiN,07/04/24,RES Regional Series 3 LATAM,Galorys,Vertigo,13 - 11,W
4,paiN,04/04/24,ESL Challenger League Season 47 South America,Sharks,Mirage,13 - 9,W
5,paiN,24/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,9 - 13,L
6,paiN,22/03/24,PGL CS2 Major Copenhagen 2024,TheMongolz,Inferno,22 - 19,W
7,paiN,21/03/24,PGL CS2 Major Copenhagen 2024,Complexity,Vertigo,9 - 13,L
8,paiN,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ENCE,Nuke,13 - 3,W
9,paiN,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Apeks,Vertigo,13 - 8,W
10,paiN,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Imperial,Nuke,4 - 13,L
11,paiN,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Legacy,Overpass,13 - 2,W
12,paiN,01/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,MIBR,Mirage,11 - 13,L
13,paiN,24/01/24,ESL Pro League Season 19 South America Open Qualifier,Sharks,Vertigo,13 - 16,L
14,paiN,23/01/24,ESL Pro League Season 19 South America Open Qualifier,inSanitY,Mirage,13 - 4,W
15,paiN,21/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Imperial,Anubis,13 - 16,L
16,paiN,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Legacy,Anubis,3 - 13,L
17,paiN,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,Case,Mirage,11 - 13,L
18,paiN,14/01/24,IEM Chengdu 2024 South America Open Qualifier 1,Sharks,Vertigo,10 - 13,L
19,paiN,14/01/24,IEM Chengdu 2024 South America Open Qualifier 1,ODDIK,Anubis,13 - 6,W
20,paiN,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Mirage,13 - 11,W
21,paiN,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Vertigo,13 - 11,W
22,paiN,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,RED Canids,Overpass,8 - 13,L
23,paiN,09/04/24,ESL Challenger League Season 47 South America,Case,Nuke,13 - 11,W
24,paiN,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Sharks,Nuke,13 - 10,W
25,paiN,08/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,Sharks,Vertigo,13 - 6,W
26,paiN,07/04/24,RES Regional Series 3 LATAM,Galorys,Vertigo,13 - 11,W
27,paiN,07/04/24,RES Regional Series 3 LATAM,Galorys,Inferno,13 - 7,W
28,paiN,04/04/24,ESL Challenger League Season 47 South America,Sharks,Mirage,13 - 9,W
29,paiN,24/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,9 - 13,L
30,paiN,24/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Nuke,10 - 13,L
31,paiN,22/03/24,PGL CS2 Major Copenhagen 2024,TheMongolz,Inferno,22 - 19,W
32,paiN,22/03/24,PGL CS2 Major Copenhagen 2024,TheMongolz,Nuke,13 - 10,W
33,paiN,22/03/24,PGL CS2 Major Copenhagen 2024,TheMongolz,Mirage,9 - 13,L
34,paiN,21/03/24,PGL CS2 Major Copenhagen 2024,Complexity,Vertigo,9 - 13,L
35,paiN,18/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,ENCE,Nuke,13 - 3,W
36,paiN,17/03/24,PGL CS2 Major Copenhagen 2024 Opening Stage,Apeks,Vertigo,13 - 8,W
37,paiN,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Imperial,Nuke,4 - 13,L
38,paiN,03/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Imperial,Mirage,5 - 13,L
39,paiN,01/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,Legacy,Overpass,13 - 2,W
40,paiN,01/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,MIBR,Mirage,11 - 13,L
41,paiN,24/01/24,ESL Pro League Season 19 South America Open Qualifier,Sharks,Vertigo,13 - 16,L
42,paiN,24/01/24,ESL Pro League Season 19 South America Open Qualifier,Sharks,Mirage,13 - 4,W
