,team,data,match,opponent,map_map,result,w_l
0,Party Astronauts,10/04/24,ESL Challenger League Season 47 North America,One More,Anubis,19 - 17,W
1,Party Astronauts,05/04/24,ESL Challenger League Season 47 North America,MIGHT,Ancient,13 - 5,W
2,Party Astronauts,04/04/24,ESL Challenger Jönköping 2024 North America Closed Qualifier,Nouns,Inferno,13 - 11,W
3,Party Astronauts,03/04/24,ESL Challenger Jönköping 2024 North America Closed Qualifier,Take Flyte,Ancient,13 - 5,W
4,Party Astronauts,28/03/24,ESL Challenger League Season 47 North America,Carpe Diem,Overpass,13 - 7,W
5,Party Astronauts,27/03/24,ESL Challenger League Season 47 North America,Nouns,Nuke,9 - 13,L
6,Party Astronauts,21/03/24,ESL Challenger League Season 47 North America,BOSS,Ancient,13 - 7,W
7,Party Astronauts,20/03/24,ESL Challenger League Season 47 North America,Take Flyte,Anubis,13 - 11,W
8,Party Astronauts,13/03/24,ESL Challenger Jönköping 2024 North America Open Qualifier,Carpe Diem,Ancient,13 - 4,W
9,Party Astronauts,25/02/24,IEM Dallas 2024 North America Open Qualifier 2,Wildcard,Anubis,9 - 13,L
10,Party Astronauts,23/02/24,IEM Dallas 2024 North America Open Qualifier 1,Liquid,Ancient,10 - 13,L
11,Party Astronauts,22/02/24,IEM Dallas 2024 North America Open Qualifier 1,One More,Overpass,13 - 6,W
12,Party Astronauts,20/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,Mythic,Ancient,13 - 6,W
13,Party Astronauts,19/02/24,ESL Challenger Melbourne 2024 North America Closed Qualifier,G3,Anubis,13 - 11,W
14,Party Astronauts,03/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,Carpe Diem,Ancient,13 - 6,W
15,Party Astronauts,18/01/24,IEM Chengdu 2024 North America Open Qualifier 2,MIGHT,Anubis,4 - 13,L
16,Party Astronauts,16/01/24,IEM Chengdu 2024 North America Open Qualifier 1,Zomblers,Nuke,13 - 6,W
