,team,data,match,opponent,map_map,result,w_l
0,Passion UA,10/04/24,European Pro League Season 15,Espionage,Mirage,13 - 7,W
1,Passion UA,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BLEED,Mirage,7 - 13,L
2,Passion UA,30/03/24,ROG Spring Cup 2024,Lazer Cats,Vertigo,13 - 8,W
3,Passion UA,28/03/24,United21 League Season 13,GL Academy,Anubis,11 - 13,L
4,Passion UA,16/03/24,European Pro League Season 14,Preasy,Inferno,8 - 13,L
5,Passion UA,12/03/24,European Pro League Season 14,Alliance,Anubis,13 - 7,W
6,Passion UA,10/03/24,United21 League Season 12,MOUZ NXT,Overpass,13 - 11,W
7,Passion UA,08/03/24,ESEA Advanced Season 48 Europe,Spirit Academy,Mirage,3 - 13,L
8,Passion UA,07/03/24,YaLLa Compass Spring 2024 Contenders,GODSENT,Vertigo,13 - 8,W
9,Passion UA,06/03/24,ESEA Advanced Season 48 Europe,K10,Ancient,13 - 9,W
10,Passion UA,04/03/24,European Pro League Season 14,ALTERNATE aTTaX,Overpass,13 - 11,W
11,Passion UA,29/01/24,YaLLa Compass Spring 2024 Contenders,Alliance,Anubis,16 - 13,W
12,Passion UA,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Zero Tenacity,Mirage,7 - 13,L
13,Passion UA,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,PIXEL,Anubis,13 - 6,W
14,Passion UA,10/04/24,European Pro League Season 15,Espionage,Mirage,13 - 7,W
15,Passion UA,10/04/24,European Pro League Season 15,Espionage,Anubis,8 - 13,L
16,Passion UA,10/04/24,European Pro League Season 15,Espionage,Vertigo,13 - 9,W
17,Passion UA,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BLEED,Mirage,7 - 13,L
18,Passion UA,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BLEED,Inferno,14 - 16,L
19,Passion UA,02/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,BLEED,Anubis,13 - 11,W
20,Passion UA,30/03/24,ROG Spring Cup 2024,Lazer Cats,Vertigo,13 - 8,W
21,Passion UA,30/03/24,ROG Spring Cup 2024,Lazer Cats,Anubis,13 - 1,W
22,Passion UA,28/03/24,United21 League Season 13,GL Academy,Anubis,11 - 13,L
