,team,data,match,opponent,map_map,result,w_l
0,PERA,03/04/24,ESL Challenger League Season 47 Europe,SAW,Overpass,11 - 13,L
1,PERA,15/03/24,ESL Challenger League Season 47 Europe,Betera,Vertigo,8 - 13,L
2,PERA,26/02/24,ESL Challenger League Season 47 Europe,System5,Mirage,11 - 13,L
3,PERA,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,GamerLegion,Nuke,6 - 13,L
4,PERA,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,SINNERS,Nuke,8 - 13,L
5,PERA,25/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,25 - 23,W
6,PERA,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,ALTERNATE aTTaX,Anubis,19 - 17,W
7,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,13 - 9,W
8,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Ancient,13 - 10,W
9,PERA,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,ECSTATIC,Nuke,11 - 13,L
10,PERA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Nuke,10 - 13,L
11,PERA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,EYEBALLERS,Mirage,13 - 7,W
12,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Ancient,8 - 13,L
13,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Anonymo,Ancient,13 - 5,W
14,PERA,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,FTW,Anubis,13 - 5,W
15,PERA,03/04/24,ESL Challenger League Season 47 Europe,SAW,Overpass,11 - 13,L
16,PERA,03/04/24,ESL Challenger League Season 47 Europe,SAW,Nuke,16 - 13,W
17,PERA,03/04/24,ESL Challenger League Season 47 Europe,SAW,Ancient,3 - 13,L
18,PERA,15/03/24,ESL Challenger League Season 47 Europe,Betera,Vertigo,8 - 13,L
19,PERA,15/03/24,ESL Challenger League Season 47 Europe,Betera,Ancient,7 - 13,L
20,PERA,15/03/24,ESL Challenger League Season 47 Europe,Betera,Overpass,13 - 2,W
21,PERA,26/02/24,ESL Challenger League Season 47 Europe,System5,Mirage,11 - 13,L
22,PERA,26/02/24,ESL Challenger League Season 47 Europe,System5,Vertigo,9 - 13,L
23,PERA,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,GamerLegion,Nuke,6 - 13,L
24,PERA,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,SINNERS,Nuke,8 - 13,L
25,PERA,25/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,25 - 23,W
26,PERA,25/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Mirage,13 - 11,W
27,PERA,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,ALTERNATE aTTaX,Anubis,19 - 17,W
28,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,13 - 9,W
29,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Ancient,13 - 10,W
30,PERA,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,ECSTATIC,Nuke,11 - 13,L
31,PERA,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,ECSTATIC,Ancient,3 - 13,L
32,PERA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Nuke,10 - 13,L
33,PERA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Vertigo,6 - 13,L
34,PERA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,EYEBALLERS,Mirage,13 - 7,W
35,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Ancient,8 - 13,L
36,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Anonymo,Ancient,13 - 5,W
37,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Anonymo,Nuke,10 - 13,L
38,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Anonymo,Mirage,13 - 6,W
39,PERA,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,FTW,Anubis,13 - 5,W
40,PERA,01/04/24,ESL Challenger League Season 47 Europe,RUSH B,Anubis,13 - 5,W
41,PERA,13/03/24,ESL Challenger League Season 47 Europe,Monte,Nuke,9 - 13,L
42,PERA,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Preasy,Nuke,1 - 13,L
43,PERA,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Cloud9,Anubis,3 - 13,L
44,PERA,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,B8,Anubis,11 - 13,L
45,PERA,24/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Ancient,13 - 6,W
46,PERA,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,Rebels,Anubis,13 - 8,W
47,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Sampi,Anubis,8 - 13,L
48,PERA,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,sYnck,Mirage,13 - 6,W
49,PERA,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,KOI,Nuke,7 - 13,L
50,PERA,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,IKLA,Anubis,13 - 4,W
51,PERA,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Nuke,4 - 13,L
52,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,SINNERS,Nuke,10 - 13,L
53,PERA,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Permitta,Nuke,13 - 11,W
54,PERA,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,Espionage,Vertigo,10 - 13,L
55,PERA,01/04/24,ESL Challenger League Season 47 Europe,RUSH B,Anubis,13 - 5,W
56,PERA,01/04/24,ESL Challenger League Season 47 Europe,RUSH B,Mirage,4 - 13,L
57,PERA,01/04/24,ESL Challenger League Season 47 Europe,RUSH B,Nuke,13 - 9,W
58,PERA,13/03/24,ESL Challenger League Season 47 Europe,Monte,Nuke,9 - 13,L
59,PERA,13/03/24,ESL Challenger League Season 47 Europe,Monte,Mirage,3 - 13,L
60,PERA,13/03/24,ESL Challenger League Season 47 Europe,Monte,Ancient,13 - 11,W
61,PERA,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Preasy,Nuke,1 - 13,L
62,PERA,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Preasy,Vertigo,7 - 13,L
63,PERA,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Preasy,Anubis,13 - 11,W
64,PERA,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Cloud9,Anubis,3 - 13,L
65,PERA,16/02/24,RES Eastern European Masters Spring 2024 - BLAST Premier Qualifier,B8,Anubis,11 - 13,L
66,PERA,24/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Ancient,13 - 6,W
67,PERA,24/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Overpass,13 - 6,W
68,PERA,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,Rebels,Anubis,13 - 8,W
69,PERA,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Sampi,Anubis,8 - 13,L
