,team,data,match,opponent,map_map,result,w_l
0,Permitta,17/12/23,United21 League Season 9,Astralis Talent,Vertigo,10 - 13,L
1,Permitta,05/11/23,United21 League Season 7,Anonymo,Ancient,4 - 13,L
2,Permitta,03/11/23,Polish Esport League 2023 Split 3,PACT,Nuke,13 - 2,W
3,Permitta,31/10/23,CCT Central Europe Series 8,SINNERS,Ancient,13 - 6,W
4,Permitta,30/10/23,CCT East Europe Series 4 Closed Qualifier,JANO,Ancient,13 - 5,W
5,Permitta,29/10/23,CCT East Europe Series 4 Closed Qualifier,Project G,Nuke,5 - 13,L
6,Permitta,22/10/23,CCT North Europe Series 8,Spirit,Anubis,3 - 13,L
7,Permitta,20/10/23,CCT East Europe Series 3,Metizport,Ancient,7 - 13,L
8,Permitta,16/10/23,CCT East Europe Series 3,Nexus,Mirage,13 - 6,W
9,Permitta,14/10/23,CCT East Europe Series 3,Anonymo,Nuke,2 - 13,L
10,Permitta,26/02/23,Polish Pro League AMA PRO Season 4,MCE,Mirage,16 - 10,W
11,Permitta,25/02/23,GAM3RS_X Polish Clash 2023,ThunderFlash,Vertigo,16 - 9,W
12,Permitta,22/02/23,European Pro League Season 6,los kogutos,Nuke,16 - 12,W
13,Permitta,18/02/23,European Pro League Season 6,sYnck,Mirage,19 - 15,W
14,Permitta,02/02/23,IEM Katowice 2023 Play-in,Complexity,Overpass,7 - 16,L
15,Permitta,25/01/23,ESL Challenger League Season 44 Europe,Into the Bin,Vertigo,16 - 19,L
16,Permitta,22/01/23,Thunderpick Bitcoin Series 2,Falcons,Vertigo,7 - 16,L
17,Permitta,18/01/23,ESL Pro League Season 17 Conference Europe,Falcons,Overpass,15 - 19,L
18,Permitta,17/12/23,United21 League Season 9,Astralis Talent,Vertigo,10 - 13,L
19,Permitta,17/12/23,United21 League Season 9,Astralis Talent,Nuke,10 - 13,L
20,Permitta,05/11/23,United21 League Season 7,Anonymo,Ancient,4 - 13,L
21,Permitta,05/11/23,United21 League Season 7,Anonymo,Mirage,13 - 3,W
22,Permitta,05/11/23,United21 League Season 7,Anonymo,Overpass,5 - 13,L
23,Permitta,03/11/23,Polish Esport League 2023 Split 3,PACT,Nuke,13 - 2,W
24,Permitta,03/11/23,Polish Esport League 2023 Split 3,PACT,Mirage,13 - 7,W
25,Permitta,31/10/23,CCT Central Europe Series 8,SINNERS,Ancient,13 - 6,W
26,Permitta,31/10/23,CCT Central Europe Series 8,SINNERS,Anubis,1 - 13,L
27,Permitta,31/10/23,CCT Central Europe Series 8,SINNERS,Nuke,13 - 11,W
28,Permitta,30/10/23,CCT East Europe Series 4 Closed Qualifier,JANO,Ancient,13 - 5,W
29,Permitta,30/10/23,CCT East Europe Series 4 Closed Qualifier,JANO,Nuke,13 - 8,W
30,Permitta,30/10/23,CCT East Europe Series 4 Closed Qualifier,JANO,Mirage,10 - 13,L
31,Permitta,29/10/23,CCT East Europe Series 4 Closed Qualifier,Project G,Nuke,5 - 13,L
32,Permitta,29/10/23,CCT East Europe Series 4 Closed Qualifier,Project G,Anubis,13 - 5,W
33,Permitta,29/10/23,CCT East Europe Series 4 Closed Qualifier,Project G,Vertigo,3 - 13,L
34,Permitta,22/10/23,CCT North Europe Series 8,Spirit,Anubis,3 - 13,L
35,Permitta,22/10/23,CCT North Europe Series 8,Spirit,Mirage,13 - 11,W
36,Permitta,22/10/23,CCT North Europe Series 8,Spirit,Nuke,9 - 13,L
37,Permitta,20/10/23,CCT East Europe Series 3,Metizport,Ancient,7 - 13,L
38,Permitta,20/10/23,CCT East Europe Series 3,Metizport,Overpass,6 - 13,L
39,Permitta,16/10/23,CCT East Europe Series 3,Nexus,Mirage,13 - 6,W
40,Permitta,16/10/23,CCT East Europe Series 3,Nexus,Ancient,13 - 8,W
41,Permitta,14/10/23,CCT East Europe Series 3,Anonymo,Nuke,2 - 13,L
42,Permitta,14/10/23,CCT East Europe Series 3,Anonymo,Ancient,13 - 11,W
43,Permitta,14/10/23,CCT East Europe Series 3,Anonymo,Overpass,5 - 13,L
44,Permitta,26/02/23,Polish Pro League AMA PRO Season 4,MCE,Mirage,16 - 10,W
45,Permitta,26/02/23,Polish Pro League AMA PRO Season 4,MCE,Overpass,10 - 16,L
46,Permitta,26/02/23,Polish Pro League AMA PRO Season 4,MCE,Nuke,19 - 16,W
47,Permitta,25/02/23,GAM3RS_X Polish Clash 2023,ThunderFlash,Vertigo,16 - 9,W
48,Permitta,25/02/23,GAM3RS_X Polish Clash 2023,ThunderFlash,Ancient,16 - 9,W
49,Permitta,22/02/23,European Pro League Season 6,los kogutos,Nuke,16 - 12,W
50,Permitta,22/02/23,European Pro League Season 6,los kogutos,Vertigo,10 - 16,L
51,Permitta,22/02/23,European Pro League Season 6,los kogutos,Ancient,16 - 11,W
52,Permitta,18/02/23,European Pro League Season 6,sYnck,Mirage,19 - 15,W
53,Permitta,18/02/23,European Pro League Season 6,sYnck,Vertigo,8 - 16,L
54,Permitta,18/02/23,European Pro League Season 6,sYnck,Ancient,16 - 8,W
55,Permitta,02/02/23,IEM Katowice 2023 Play-in,Complexity,Overpass,7 - 16,L
56,Permitta,02/02/23,IEM Katowice 2023 Play-in,Complexity,Nuke,8 - 16,L
57,Permitta,25/01/23,ESL Challenger League Season 44 Europe,Into the Bin,Vertigo,16 - 19,L
58,Permitta,25/01/23,ESL Challenger League Season 44 Europe,Into the Bin,Mirage,3 - 16,L
59,Permitta,22/01/23,Thunderpick Bitcoin Series 2,Falcons,Vertigo,7 - 16,L
60,Permitta,22/01/23,Thunderpick Bitcoin Series 2,Falcons,Nuke,9 - 16,L
61,Permitta,18/01/23,ESL Pro League Season 17 Conference Europe,Falcons,Overpass,15 - 19,L
62,Permitta,18/01/23,ESL Pro League Season 17 Conference Europe,Falcons,Ancient,20 - 22,L
63,Permitta,07/11/23,CCT Central Europe Series 8,9 Pandas,Overpass,8 - 13,L
64,Permitta,04/11/23,Polish Esport League 2023 Split 3,Anonymo,Ancient,4 - 13,L
65,Permitta,02/11/23,CCT Central Europe Series 8,EYEBALLERS,Ancient,13 - 6,W
66,Permitta,30/10/23,CCT East Europe Series 4 Closed Qualifier,Project G,Nuke,8 - 13,L
67,Permitta,29/10/23,CCT Central Europe Series 8,ENCE Academy,Mirage,13 - 4,W
68,Permitta,28/10/23,A1 Gaming League Season 7,Passion UA,Ancient,8 - 13,L
69,Permitta,22/10/23,A1 Gaming League Season 7,Gucci Academy,Overpass,4 - 13,L
70,Permitta,19/10/23,CCT East Europe Series 3,00NATION,Ancient,5 - 13,L
71,Permitta,14/10/23,A1 Gaming League Season 7,Zero Tenacity,Vertigo,7 - 13,L
72,Permitta,28/02/23,European Pro League Season 6,Nexus,Nuke,16 - 13,W
73,Permitta,26/02/23,GAM3RS_X Polish Clash 2023,9INE,Mirage,14 - 16,L
74,Permitta,25/02/23,GAM3RS_X Polish Clash 2023,Illuminar,Overpass,16 - 13,W
75,Permitta,21/02/23,ESL Challenger League Season 44 Europe,ECSTATIC,Nuke,16 - 13,W
76,Permitta,14/02/23,BLAST.tv Paris Major 2023 Europe RMR Open Qualifier 1,MASONIC,Vertigo,6 - 16,L
77,Permitta,01/02/23,IEM Katowice 2023 Play-in,FURIA,Mirage,4 - 16,L
78,Permitta,24/01/23,Thunderpick Bitcoin Series 2,MASONIC,Vertigo,7 - 16,L
79,Permitta,19/01/23,Thunderpick Bitcoin Series 2,Spirit Academy,Nuke,16 - 14,W
80,Permitta,16/01/23,ESL Pro League Season 17 Conference Europe,9INE,Overpass,8 - 16,L
81,Permitta,07/11/23,CCT Central Europe Series 8,9 Pandas,Overpass,8 - 13,L
82,Permitta,07/11/23,CCT Central Europe Series 8,9 Pandas,Mirage,15 - 19,L
