,team,data,match,opponent,map_map,result,w_l
0,PGE Turow,07/12/22,ESEA Advanced Season 43 Europe,Partizan,Inferno,7 - 16,L
1,PGE Turow,29/11/22,CCT Central Europe Series 4 Closed Qualifier,LDLC,Vertigo,20 - 22,L
2,PGE Turow,17/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,LDLC,Inferno,5 - 16,L
3,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,Sangal,Ancient,2 - 16,L
4,PGE Turow,12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,Copenhagen Flames,Overpass,10 - 16,L
5,PGE Turow,07/12/22,ESEA Advanced Season 43 Europe,Partizan,Inferno,7 - 16,L
6,PGE Turow,07/12/22,ESEA Advanced Season 43 Europe,Partizan,Nuke,8 - 16,L
7,PGE Turow,29/11/22,CCT Central Europe Series 4 Closed Qualifier,LDLC,Vertigo,20 - 22,L
8,PGE Turow,29/11/22,CCT Central Europe Series 4 Closed Qualifier,LDLC,Nuke,16 - 7,W
9,PGE Turow,29/11/22,CCT Central Europe Series 4 Closed Qualifier,LDLC,Ancient,18 - 22,L
10,PGE Turow,17/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,LDLC,Inferno,5 - 16,L
11,PGE Turow,17/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,LDLC,Vertigo,11 - 16,L
12,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,Sangal,Ancient,2 - 16,L
13,PGE Turow,12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,Copenhagen Flames,Overpass,10 - 16,L
14,PGE Turow,06/12/22,ESEA Advanced Season 43 Europe,1PIN,Inferno,13 - 16,L
15,PGE Turow,28/11/22,CCT Central Europe Series 4 Closed Qualifier,Astralis Talent,Inferno,9 - 16,L
16,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,SC,Vertigo,16 - 14,W
17,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,SC,Inferno,16 - 7,W
18,PGE Turow,12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,Finest,Overpass,16 - 13,W
19,PGE Turow,06/12/22,ESEA Advanced Season 43 Europe,1PIN,Inferno,13 - 16,L
20,PGE Turow,06/12/22,ESEA Advanced Season 43 Europe,1PIN,Ancient,13 - 16,L
21,PGE Turow,28/11/22,CCT Central Europe Series 4 Closed Qualifier,Astralis Talent,Inferno,9 - 16,L
22,PGE Turow,28/11/22,CCT Central Europe Series 4 Closed Qualifier,Astralis Talent,Nuke,7 - 16,L
23,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,SC,Vertigo,16 - 14,W
24,PGE Turow,15/09/22,GAM3RS_X EU Champions Fall 2022 - BLAST Premier Qualifier,SC,Inferno,16 - 7,W
25,PGE Turow,12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,Finest,Overpass,16 - 13,W
