,team,data,match,opponent,map_map,result,w_l
0,Pompa,16/12/23,ESL Challenger League Season 46 Europe Relegation,IKLA,Inferno,4 - 13,L
1,Pompa,21/11/23,European Pro League 2nd Division Season 7,Zero Tenacity,Nuke,8 - 13,L
2,Pompa,16/11/23,ESL Challenger Atlanta 2023 Europe Closed Qualifier,Aurora,Overpass,8 - 13,L
3,Pompa,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,FLuffy Gangsters,Mirage,13 - 3,W
4,Pompa,14/11/23,LEON TEAMPLAY Season 2,Entropiq,Mirage,6 - 13,L
5,Pompa,13/11/23,CCT East Europe Series 4,Sampi,Mirage,13 - 5,W
6,Pompa,12/11/23,ESL Challenger League Season 46 Europe,B8,Ancient,14 - 16,L
7,Pompa,10/11/23,CCT East Europe Series 4,Project G,Anubis,10 - 13,L
8,Pompa,06/11/23,CCT East Europe Series 4,Zero Tenacity,Overpass,13 - 11,W
9,Pompa,27/10/23,European Pro League Season 11,GODSENT,Mirage,8 - 13,L
10,Pompa,25/10/23,CCT Central Europe Series 8 Closed Qualifier,Sashi,Mirage,11 - 13,L
11,Pompa,24/10/23,CCT Central Europe Series 8 Closed Qualifier,The Chosen Few,Ancient,13 - 16,L
12,Pompa,22/10/23,CCT North Europe Series 8,00NATION,Ancient,13 - 10,W
13,Pompa,18/10/23,ESL Challenger League Season 46 Europe,Looking4Org,Vertigo,13 - 7,W
14,Pompa,28/09/23,CCT East Europe Series 2,1WIN,Inferno,12 - 16,L
15,Pompa,22/09/23,CCT North Europe Series 8,B8,Vertigo,16 - 10,W
16,Pompa,19/09/23,CCT East Europe Series 2,ARCRED,Nuke,16 - 6,W
17,Pompa,17/09/23,CCT North Europe Series 8,Anonymo,Mirage,16 - 11,W
18,Pompa,14/09/23,CCT East Europe Series 2,los kogutos,Nuke,16 - 10,W
19,Pompa,12/09/23,CCT East Europe Series 2,Sampi,Mirage,16 - 8,W
20,Pompa,08/09/23,Thunderpick World Championship 2023 Europe Series 2,Anonymo,Inferno,16 - 14,W
21,Pompa,26/08/23,PGE Polish Esport League Supercup 2023,ECLOT,Ancient,16 - 11,W
22,Pompa,22/08/23,CCT North Europe Series 7,9 Pandas,Overpass,8 - 16,L
23,Pompa,19/08/23,European Pro League 2nd Division Season 5,KS,Inferno,13 - 16,L
24,Pompa,18/08/23,European Pro League 2nd Division Season 5,Zero Tenacity,Overpass,16 - 14,W
25,Pompa,17/08/23,European Pro League 2nd Division Season 5,Singularity,Overpass,9 - 16,L
26,Pompa,16/12/23,ESL Challenger League Season 46 Europe Relegation,IKLA,Inferno,4 - 13,L
27,Pompa,16/12/23,ESL Challenger League Season 46 Europe Relegation,IKLA,Ancient,5 - 13,L
28,Pompa,21/11/23,European Pro League 2nd Division Season 7,Zero Tenacity,Nuke,8 - 13,L
29,Pompa,21/11/23,European Pro League 2nd Division Season 7,Zero Tenacity,Mirage,13 - 9,W
30,Pompa,21/11/23,European Pro League 2nd Division Season 7,Zero Tenacity,Anubis,5 - 13,L
31,Pompa,16/11/23,ESL Challenger Atlanta 2023 Europe Closed Qualifier,Aurora,Overpass,8 - 13,L
32,Pompa,16/11/23,ESL Challenger Atlanta 2023 Europe Closed Qualifier,Aurora,Mirage,10 - 13,L
33,Pompa,15/11/23,ESL Challenger Atlanta 2023 Europe Open Qualifier,FLuffy Gangsters,Mirage,13 - 3,W
34,Pompa,14/11/23,LEON TEAMPLAY Season 2,Entropiq,Mirage,6 - 13,L
35,Pompa,14/11/23,LEON TEAMPLAY Season 2,Entropiq,Inferno,8 - 13,L
36,Pompa,13/11/23,CCT East Europe Series 4,Sampi,Mirage,13 - 5,W
37,Pompa,13/11/23,CCT East Europe Series 4,Sampi,Inferno,13 - 10,W
38,Pompa,13/11/23,CCT East Europe Series 4,Sampi,Ancient,7 - 13,L
39,Pompa,12/11/23,ESL Challenger League Season 46 Europe,B8,Ancient,14 - 16,L
40,Pompa,12/11/23,ESL Challenger League Season 46 Europe,B8,Mirage,8 - 13,L
41,Pompa,10/11/23,CCT East Europe Series 4,Project G,Anubis,10 - 13,L
42,Pompa,10/11/23,CCT East Europe Series 4,Project G,Nuke,11 - 13,L
43,Pompa,06/11/23,CCT East Europe Series 4,Zero Tenacity,Overpass,13 - 11,W
44,Pompa,06/11/23,CCT East Europe Series 4,Zero Tenacity,Nuke,13 - 7,W
45,Pompa,06/11/23,CCT East Europe Series 4,Zero Tenacity,Inferno,11 - 13,L
46,Pompa,27/10/23,European Pro League Season 11,GODSENT,Mirage,8 - 13,L
47,Pompa,27/10/23,European Pro League Season 11,GODSENT,Ancient,10 - 13,L
48,Pompa,27/10/23,European Pro League Season 11,GODSENT,Inferno,13 - 9,W
49,Pompa,25/10/23,CCT Central Europe Series 8 Closed Qualifier,Sashi,Mirage,11 - 13,L
50,Pompa,25/10/23,CCT Central Europe Series 8 Closed Qualifier,Sashi,Nuke,4 - 13,L
51,Pompa,24/10/23,CCT Central Europe Series 8 Closed Qualifier,The Chosen Few,Ancient,13 - 16,L
52,Pompa,24/10/23,CCT Central Europe Series 8 Closed Qualifier,The Chosen Few,Mirage,10 - 13,L
53,Pompa,24/10/23,CCT Central Europe Series 8 Closed Qualifier,The Chosen Few,Anubis,13 - 7,W
54,Pompa,22/10/23,CCT North Europe Series 8,00NATION,Ancient,13 - 10,W
55,Pompa,22/10/23,CCT North Europe Series 8,00NATION,Mirage,13 - 5,W
56,Pompa,22/10/23,CCT North Europe Series 8,00NATION,Anubis,13 - 16,L
57,Pompa,18/10/23,ESL Challenger League Season 46 Europe,Looking4Org,Vertigo,13 - 7,W
58,Pompa,18/10/23,ESL Challenger League Season 46 Europe,Looking4Org,Ancient,5 - 13,L
59,Pompa,18/10/23,ESL Challenger League Season 46 Europe,Looking4Org,Inferno,3 - 13,L
60,Pompa,28/09/23,CCT East Europe Series 2,1WIN,Inferno,12 - 16,L
61,Pompa,28/09/23,CCT East Europe Series 2,1WIN,Nuke,11 - 16,L
62,Pompa,22/09/23,CCT North Europe Series 8,B8,Vertigo,16 - 10,W
63,Pompa,22/09/23,CCT North Europe Series 8,B8,Inferno,19 - 16,W
64,Pompa,19/09/23,CCT East Europe Series 2,ARCRED,Nuke,16 - 6,W
65,Pompa,19/09/23,CCT East Europe Series 2,ARCRED,Ancient,16 - 3,W
66,Pompa,17/09/23,CCT North Europe Series 8,Anonymo,Mirage,16 - 11,W
67,Pompa,17/09/23,CCT North Europe Series 8,Anonymo,Inferno,16 - 14,W
68,Pompa,17/09/23,CCT North Europe Series 8,Anonymo,Vertigo,8 - 16,L
69,Pompa,14/09/23,CCT East Europe Series 2,los kogutos,Nuke,16 - 10,W
70,Pompa,14/09/23,CCT East Europe Series 2,los kogutos,Overpass,16 - 9,W
71,Pompa,12/09/23,CCT East Europe Series 2,Sampi,Mirage,16 - 8,W
72,Pompa,12/09/23,CCT East Europe Series 2,Sampi,Overpass,16 - 12,W
73,Pompa,08/09/23,Thunderpick World Championship 2023 Europe Series 2,Anonymo,Inferno,16 - 14,W
74,Pompa,08/09/23,Thunderpick World Championship 2023 Europe Series 2,Anonymo,Vertigo,22 - 20,W
75,Pompa,26/08/23,PGE Polish Esport League Supercup 2023,ECLOT,Ancient,16 - 11,W
76,Pompa,26/08/23,PGE Polish Esport League Supercup 2023,ECLOT,Mirage,11 - 16,L
77,Pompa,26/08/23,PGE Polish Esport League Supercup 2023,ECLOT,Vertigo,16 - 14,W
78,Pompa,22/08/23,CCT North Europe Series 7,9 Pandas,Overpass,8 - 16,L
79,Pompa,22/08/23,CCT North Europe Series 7,9 Pandas,Ancient,6 - 16,L
80,Pompa,19/08/23,European Pro League 2nd Division Season 5,KS,Inferno,13 - 16,L
81,Pompa,19/08/23,European Pro League 2nd Division Season 5,KS,Ancient,9 - 16,L
82,Pompa,19/08/23,European Pro League 2nd Division Season 5,KS,Overpass,16 - 11,W
83,Pompa,18/08/23,European Pro League 2nd Division Season 5,Zero Tenacity,Overpass,16 - 14,W
84,Pompa,18/08/23,European Pro League 2nd Division Season 5,Zero Tenacity,Mirage,16 - 10,W
85,Pompa,17/08/23,European Pro League 2nd Division Season 5,Singularity,Overpass,9 - 16,L
