,team,data,match,opponent,map_map,result,w_l
0,Preasy,22/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Inferno,9 - 13,L
1,Preasy,16/03/24,European Pro League Season 14,Passion UA,Inferno,13 - 8,W
2,Preasy,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Metizport,Ancient,5 - 13,L
3,Preasy,11/03/24,European Pro League Season 14,Permitta,Anubis,19 - 16,W
4,Preasy,07/03/24,European Pro League Season 14,Secret,Ancient,13 - 5,W
5,Preasy,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,BetBoom,Ancient,13 - 7,W
6,Preasy,03/03/24,RES Regional Series 1 Europe,fnatic,Vertigo,4 - 13,L
7,Preasy,01/03/24,RES Regional Series 1 Europe,BetBoom,Vertigo,9 - 13,L
8,Preasy,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Guild Eagles,Overpass,9 - 13,L
9,Preasy,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,OG,Vertigo,9 - 13,L
10,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Nuke,13 - 11,W
11,Preasy,07/02/24,European Pro League Season 13,Into the Breach,Vertigo,13 - 9,W
12,Preasy,05/02/24,European Pro League Season 13,ECSTATIC,Vertigo,14 - 16,L
13,Preasy,02/02/24,European Pro League Season 13,SINNERS,Nuke,13 - 2,W
14,Preasy,30/01/24,European Pro League Season 13,Entropiq,Inferno,13 - 8,W
15,Preasy,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Nuke,13 - 7,W
16,Preasy,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,FORZE,Anubis,13 - 11,W
17,Preasy,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Astralis,Nuke,6 - 13,L
18,Preasy,22/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Inferno,9 - 13,L
19,Preasy,22/03/24,Skyesports Masters 2024 Europe Closed Qualifier,FORZE,Nuke,5 - 13,L
20,Preasy,16/03/24,European Pro League Season 14,Passion UA,Inferno,13 - 8,W
21,Preasy,16/03/24,European Pro League Season 14,Passion UA,Ancient,13 - 3,W
22,Preasy,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Metizport,Ancient,5 - 13,L
23,Preasy,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Metizport,Inferno,14 - 16,L
24,Preasy,11/03/24,IEM Dallas 2024 Europe Closed Qualifier,Metizport,Vertigo,16 - 14,W
25,Preasy,11/03/24,European Pro League Season 14,Permitta,Anubis,19 - 16,W
26,Preasy,11/03/24,European Pro League Season 14,Permitta,Nuke,13 - 11,W
27,Preasy,07/03/24,European Pro League Season 14,Secret,Ancient,13 - 5,W
28,Preasy,07/03/24,European Pro League Season 14,Secret,Anubis,13 - 10,W
29,Preasy,07/03/24,European Pro League Season 14,Secret,Inferno,10 - 13,L
30,Preasy,03/03/24,IEM Dallas 2024 Europe Open Qualifier 1,BetBoom,Ancient,13 - 7,W
31,Preasy,03/03/24,RES Regional Series 1 Europe,fnatic,Vertigo,4 - 13,L
32,Preasy,03/03/24,RES Regional Series 1 Europe,fnatic,Ancient,9 - 13,L
33,Preasy,03/03/24,RES Regional Series 1 Europe,fnatic,Inferno,13 - 9,W
34,Preasy,01/03/24,RES Regional Series 1 Europe,BetBoom,Vertigo,9 - 13,L
35,Preasy,01/03/24,RES Regional Series 1 Europe,BetBoom,Anubis,10 - 13,L
36,Preasy,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Guild Eagles,Overpass,9 - 13,L
37,Preasy,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Guild Eagles,Ancient,7 - 13,L
38,Preasy,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Guild Eagles,Inferno,13 - 6,W
39,Preasy,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,OG,Vertigo,9 - 13,L
40,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Nuke,13 - 11,W
41,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Inferno,13 - 11,W
42,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Ancient,10 - 13,L
43,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Overpass,13 - 11,W
44,Preasy,09/02/24,European Pro League Season 13,ECSTATIC,Vertigo,6 - 13,L
45,Preasy,07/02/24,European Pro League Season 13,Into the Breach,Vertigo,13 - 9,W
46,Preasy,07/02/24,European Pro League Season 13,Into the Breach,Inferno,13 - 6,W
47,Preasy,05/02/24,European Pro League Season 13,ECSTATIC,Vertigo,14 - 16,L
48,Preasy,05/02/24,European Pro League Season 13,ECSTATIC,Ancient,13 - 7,W
49,Preasy,05/02/24,European Pro League Season 13,ECSTATIC,Anubis,8 - 13,L
50,Preasy,02/02/24,European Pro League Season 13,SINNERS,Nuke,13 - 2,W
51,Preasy,02/02/24,European Pro League Season 13,SINNERS,Ancient,1 - 13,L
52,Preasy,02/02/24,European Pro League Season 13,SINNERS,Anubis,13 - 8,W
53,Preasy,30/01/24,European Pro League Season 13,Entropiq,Inferno,13 - 8,W
54,Preasy,30/01/24,European Pro League Season 13,Entropiq,Nuke,13 - 6,W
55,Preasy,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Nuke,13 - 7,W
56,Preasy,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Inferno,5 - 13,L
57,Preasy,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Vertigo,13 - 11,W
