,team,data,match,opponent,map_map,result,w_l
0,Rebels,09/04/24,ESL Challenger League Season 47 Europe,B8,Nuke,16 - 14,W
1,Rebels,03/04/24,ESL Challenger League Season 47 Europe,SINNERS,Ancient,14 - 16,L
2,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,B8,Mirage,7 - 13,L
3,Rebels,25/03/24,ESL Challenger League Season 47 Europe,Aurora,Nuke,10 - 13,L
4,Rebels,04/03/24,RES Regional Series 1 Europe,BLEED,Ancient,3 - 13,L
5,Rebels,02/03/24,RES Regional Series 1 Europe,Aurora,Nuke,11 - 13,L
6,Rebels,04/02/24,IEM Katowice 2024,Falcons,Nuke,10 - 13,L
7,Rebels,02/02/24,IEM Katowice 2024 Play-in,M80,Vertigo,13 - 7,W
8,Rebels,31/01/24,IEM Katowice 2024 Play-in,Cloud9,Mirage,13 - 10,W
9,Rebels,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Anubis,4 - 13,L
10,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Sampi,Ancient,7 - 13,L
11,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,9 - 13,L
12,Rebels,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Gucci Academy,Mirage,13 - 9,W
13,Rebels,09/04/24,ESL Challenger League Season 47 Europe,B8,Nuke,16 - 14,W
14,Rebels,09/04/24,ESL Challenger League Season 47 Europe,B8,Ancient,13 - 7,W
15,Rebels,09/04/24,ESL Challenger League Season 47 Europe,B8,Anubis,11 - 13,L
16,Rebels,03/04/24,ESL Challenger League Season 47 Europe,SINNERS,Ancient,14 - 16,L
17,Rebels,03/04/24,ESL Challenger League Season 47 Europe,SINNERS,Nuke,11 - 13,L
18,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,B8,Mirage,7 - 13,L
19,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,B8,Ancient,11 - 13,L
20,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,B8,Anubis,13 - 11,W
21,Rebels,25/03/24,ESL Challenger League Season 47 Europe,Aurora,Nuke,10 - 13,L
22,Rebels,25/03/24,ESL Challenger League Season 47 Europe,Aurora,Ancient,13 - 11,W
23,Rebels,25/03/24,ESL Challenger League Season 47 Europe,Aurora,Mirage,9 - 13,L
24,Rebels,04/03/24,RES Regional Series 1 Europe,BLEED,Ancient,3 - 13,L
25,Rebels,04/03/24,RES Regional Series 1 Europe,BLEED,Inferno,9 - 13,L
26,Rebels,02/03/24,RES Regional Series 1 Europe,Aurora,Nuke,11 - 13,L
27,Rebels,02/03/24,RES Regional Series 1 Europe,Aurora,Mirage,5 - 13,L
28,Rebels,02/03/24,RES Regional Series 1 Europe,Aurora,Ancient,13 - 8,W
29,Rebels,04/02/24,IEM Katowice 2024,Falcons,Nuke,10 - 13,L
30,Rebels,04/02/24,IEM Katowice 2024,Falcons,Anubis,13 - 9,W
31,Rebels,04/02/24,IEM Katowice 2024,Falcons,Vertigo,9 - 13,L
32,Rebels,02/02/24,IEM Katowice 2024 Play-in,M80,Vertigo,13 - 7,W
33,Rebels,02/02/24,IEM Katowice 2024 Play-in,M80,Nuke,13 - 9,W
34,Rebels,31/01/24,IEM Katowice 2024 Play-in,Cloud9,Mirage,13 - 10,W
35,Rebels,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,Viperio,Anubis,4 - 13,L
36,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Sampi,Ancient,7 - 13,L
37,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,Guild Eagles,Ancient,9 - 13,L
38,Rebels,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Gucci Academy,Mirage,13 - 9,W
39,Rebels,04/04/24,ESL Challenger League Season 47 Europe,ALTERNATE aTTaX,Vertigo,13 - 10,W
40,Rebels,28/03/24,ESL Challenger League Season 47 Europe,ex-Sprout,Anubis,13 - 9,W
41,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Espionage,Mirage,13 - 6,W
42,Rebels,14/03/24,ESL Challenger League Season 47 Europe,brazylijski luz,Nuke,11 - 13,L
43,Rebels,03/03/24,RES Regional Series 1 Europe,Sangal,Vertigo,13 - 5,W
44,Rebels,29/02/24,RES Regional Series 1 Europe,Sangal,Anubis,13 - 10,W
45,Rebels,03/02/24,IEM Katowice 2024,FaZe,Ancient,7 - 13,L
46,Rebels,31/01/24,IEM Katowice 2024 Play-in,Eternal Fire,Mirage,9 - 13,L
47,Rebels,28/01/24,ESL Challenger League Season 46 Europe Relegation,9 Pandas,Mirage,6 - 13,L
48,Rebels,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,PERA,Anubis,8 - 13,L
49,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,ALTERNATE aTTaX,Ancient,13 - 5,W
50,Rebels,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Passion UA,Ancient,9 - 13,L
51,Rebels,04/04/24,ESL Challenger League Season 47 Europe,ALTERNATE aTTaX,Vertigo,13 - 10,W
52,Rebels,04/04/24,ESL Challenger League Season 47 Europe,ALTERNATE aTTaX,Ancient,16 - 12,W
53,Rebels,04/04/24,ESL Challenger League Season 47 Europe,ALTERNATE aTTaX,Inferno,2 - 13,L
54,Rebels,28/03/24,ESL Challenger League Season 47 Europe,ex-Sprout,Anubis,13 - 9,W
55,Rebels,28/03/24,ESL Challenger League Season 47 Europe,ex-Sprout,Ancient,13 - 9,W
56,Rebels,28/03/24,ESL Challenger League Season 47 Europe,ex-Sprout,Mirage,11 - 13,L
57,Rebels,27/03/24,ESL Challenger Jönköping 2024 Europe Open Qualifier,Espionage,Mirage,13 - 6,W
58,Rebels,14/03/24,ESL Challenger League Season 47 Europe,brazylijski luz,Nuke,11 - 13,L
59,Rebels,14/03/24,ESL Challenger League Season 47 Europe,brazylijski luz,Ancient,13 - 10,W
60,Rebels,14/03/24,ESL Challenger League Season 47 Europe,brazylijski luz,Mirage,21 - 25,L
61,Rebels,03/03/24,RES Regional Series 1 Europe,Sangal,Vertigo,13 - 5,W
62,Rebels,03/03/24,RES Regional Series 1 Europe,Sangal,Ancient,13 - 11,W
63,Rebels,29/02/24,RES Regional Series 1 Europe,Sangal,Anubis,13 - 10,W
64,Rebels,29/02/24,RES Regional Series 1 Europe,Sangal,Nuke,11 - 13,L
65,Rebels,29/02/24,RES Regional Series 1 Europe,Sangal,Ancient,13 - 7,W
66,Rebels,03/02/24,IEM Katowice 2024,FaZe,Ancient,7 - 13,L
67,Rebels,03/02/24,IEM Katowice 2024,FaZe,Nuke,9 - 13,L
68,Rebels,31/01/24,IEM Katowice 2024 Play-in,Eternal Fire,Mirage,9 - 13,L
69,Rebels,31/01/24,IEM Katowice 2024 Play-in,Eternal Fire,Inferno,4 - 13,L
70,Rebels,28/01/24,ESL Challenger League Season 46 Europe Relegation,9 Pandas,Mirage,6 - 13,L
71,Rebels,28/01/24,ESL Challenger League Season 46 Europe Relegation,9 Pandas,Ancient,6 - 13,L
72,Rebels,28/01/24,ESL Challenger League Season 46 Europe Relegation,9 Pandas,Vertigo,13 - 9,W
73,Rebels,23/01/24,ESL Pro League Season 19 NC Europe Qualifier,PERA,Anubis,8 - 13,L
74,Rebels,22/01/24,ESL Pro League Season 19 NC Europe Qualifier,ALTERNATE aTTaX,Ancient,13 - 5,W
75,Rebels,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,Passion UA,Ancient,9 - 13,L
