,team,data,match,opponent,map_map,result,w_l
0,RED Canids,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,paiN,Vertigo,11 - 13,L
1,RED Canids,09/04/24,ESL Challenger League Season 47 South America,W7M,Mirage,13 - 6,W
2,RED Canids,09/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,MIBR,Anubis,9 - 13,L
3,RED Canids,08/04/24,RES Regional Series 3 LATAM,Bounty Hunters,Vertigo,13 - 7,W
4,RED Canids,06/04/24,RES Regional Series 3 LATAM,W7M,Mirage,9 - 13,L
5,RED Canids,04/04/24,ESL Challenger League Season 47 South America,Case,Mirage,13 - 10,W
6,RED Canids,03/04/24,ESL Challenger League Season 47 South America,ODDIK,Vertigo,13 - 10,W
7,RED Canids,18/03/24,EPL World Series Americas Season 7,ODDIK,Overpass,13 - 8,W
8,RED Canids,15/03/24,EPL World Series Americas Season 7,Case,Mirage,16 - 14,W
9,RED Canids,14/03/24,EPL World Series Americas Season 7,Flamengo,Overpass,13 - 9,W
10,RED Canids,13/03/24,ESL Challenger Jönköping 2024 South America Open Qualifier,Galorys,Ancient,13 - 4,W
11,RED Canids,11/03/24,EPL World Series Americas Season 7,Corinthians,Ancient,13 - 6,W
12,RED Canids,07/03/24,RES Regional Series 2 LATAM,VELOX,Nuke,13 - 8,W
13,RED Canids,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,paiN,Overpass,10 - 13,L
14,RED Canids,14/02/24,ESL Challenger League Season 47 South America,Imperial,Mirage,10 - 13,L
15,RED Canids,02/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,W7M,Ancient,3 - 13,L
16,RED Canids,23/01/24,ESL Pro League Season 19 South America Open Qualifier,W7M,Anubis,11 - 13,L
17,RED Canids,22/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Flamengo,Mirage,13 - 5,W
18,RED Canids,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Legacy,Ancient,6 - 13,L
19,RED Canids,19/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,Case,Ancient,13 - 9,W
20,RED Canids,17/01/24,IEM Chengdu 2024 South America Closed Qualifier,9z,Ancient,8 - 13,L
21,RED Canids,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,Case,Ancient,13 - 1,W
22,RED Canids,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,AJF,Vertigo,13 - 8,W
23,RED Canids,14/01/24,IEM Chengdu 2024 South America Open Qualifier 1,Legacy,Nuke,13 - 9,W
24,RED Canids,10/04/24,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,paiN,Vertigo,11 - 13,L
25,RED Canids,09/04/24,ESL Challenger League Season 47 South America,W7M,Mirage,13 - 6,W
