,team,data,match,opponent,map_map,result,w_l
0,Rooster,29/11/23,ESL Challenger League Season 47 Oceania Open Qualifier 1,MANTRA,Mirage,13 - 3,W
1,Rooster,20/11/23,ESL Australia & NZ Championship Season 17,Grayhound,Vertigo,3 - 13,L
2,Rooster,17/11/23,CCT Oceania Series 4,VERTEX,Overpass,13 - 9,W
3,Rooster,12/11/23,CCT Oceania Series 4,Mindfreak,Mirage,13 - 3,W
4,Rooster,05/11/23,CCT Oceania Series 3,VERTEX,Mirage,13 - 3,W
5,Rooster,29/10/23,CCT Oceania Series 3,Vantage,Anubis,13 - 3,W
6,Rooster,21/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Vertigo,16 - 14,W
7,Rooster,14/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Nuke,11 - 16,L
8,Rooster,07/09/23,ESL Pro League Season 18,Monte,Mirage,10 - 16,L
9,Rooster,23/08/23,IEM Sydney 2023 Oceania Closed Qualifier,Looking For Org,Overpass,14 - 16,L
10,Rooster,22/08/23,IEM Sydney 2023 Oceania Closed Qualifier,John Industries,Inferno,16 - 12,W
11,Rooster,11/07/23,ESL Pro League Season 18 Oceania Open Qualifier,e-LEMON-ators,Vertigo,19 - 16,W
12,Rooster,10/06/23,ESL Australia & NZ Championship Season 16,VERTEX,Nuke,15 - 19,L
13,Rooster,08/06/23,ESL Australia & NZ Championship Season 16,sunday school,Mirage,16 - 10,W
14,Rooster,23/05/23,ESL Australia & NZ Championship Season 16,Stirlzs Angels,Vertigo,16 - 1,W
15,Rooster,28/03/23,ESL Australia & NZ Championship Season 16,e-LEMON-ators,Vertigo,10 - 16,L
16,Rooster,24/03/23,IEM Dallas 2023 Oceania Closed Qualifier,Encore,Inferno,16 - 9,W
17,Rooster,19/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Nuke,6 - 16,L
18,Rooster,18/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Mirage,5 - 16,L
19,Rooster,11/03/23,ESL Pro League Season 17,00NATION,Mirage,12 - 16,L
20,Rooster,08/03/23,ESL Pro League Season 17,FaZe,Inferno,7 - 16,L
21,Rooster,19/01/23,ESL Pro League Season 17 Conference Oceania,Grayhound,Nuke,15 - 19,L
22,Rooster,29/11/23,ESL Challenger League Season 47 Oceania Open Qualifier 1,MANTRA,Mirage,13 - 3,W
23,Rooster,29/11/23,ESL Challenger League Season 47 Oceania Open Qualifier 1,MANTRA,Vertigo,13 - 7,W
24,Rooster,20/11/23,ESL Australia & NZ Championship Season 17,Grayhound,Vertigo,3 - 13,L
25,Rooster,20/11/23,ESL Australia & NZ Championship Season 17,Grayhound,Anubis,13 - 10,W
26,Rooster,20/11/23,ESL Australia & NZ Championship Season 17,Grayhound,Mirage,4 - 13,L
27,Rooster,17/11/23,CCT Oceania Series 4,VERTEX,Overpass,13 - 9,W
28,Rooster,17/11/23,CCT Oceania Series 4,VERTEX,Vertigo,13 - 7,W
29,Rooster,12/11/23,CCT Oceania Series 4,Mindfreak,Mirage,13 - 3,W
30,Rooster,12/11/23,CCT Oceania Series 4,Mindfreak,Nuke,13 - 4,W
31,Rooster,05/11/23,CCT Oceania Series 3,VERTEX,Mirage,13 - 3,W
32,Rooster,05/11/23,CCT Oceania Series 3,VERTEX,Nuke,16 - 14,W
33,Rooster,29/10/23,CCT Oceania Series 3,Vantage,Anubis,13 - 3,W
34,Rooster,29/10/23,CCT Oceania Series 3,Vantage,Overpass,13 - 3,W
35,Rooster,21/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Vertigo,16 - 14,W
36,Rooster,21/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Overpass,16 - 11,W
37,Rooster,14/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Nuke,11 - 16,L
38,Rooster,14/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Overpass,16 - 13,W
39,Rooster,14/09/23,ESL Australia & NZ Championship Season 17,VERTEX,Vertigo,13 - 16,L
40,Rooster,07/09/23,ESL Pro League Season 18,Monte,Mirage,10 - 16,L
41,Rooster,07/09/23,ESL Pro League Season 18,Monte,Anubis,10 - 16,L
42,Rooster,07/09/23,ESL Pro League Season 18,Monte,Nuke,16 - 8,W
43,Rooster,23/08/23,IEM Sydney 2023 Oceania Closed Qualifier,Looking For Org,Overpass,14 - 16,L
44,Rooster,23/08/23,IEM Sydney 2023 Oceania Closed Qualifier,Looking For Org,Inferno,16 - 10,W
45,Rooster,23/08/23,IEM Sydney 2023 Oceania Closed Qualifier,Looking For Org,Mirage,14 - 16,L
46,Rooster,22/08/23,IEM Sydney 2023 Oceania Closed Qualifier,John Industries,Inferno,16 - 12,W
47,Rooster,22/08/23,IEM Sydney 2023 Oceania Closed Qualifier,John Industries,Mirage,16 - 14,W
48,Rooster,11/07/23,ESL Pro League Season 18 Oceania Open Qualifier,e-LEMON-ators,Vertigo,19 - 16,W
49,Rooster,11/07/23,ESL Pro League Season 18 Oceania Open Qualifier,e-LEMON-ators,Inferno,16 - 2,W
50,Rooster,10/06/23,ESL Australia & NZ Championship Season 16,VERTEX,Nuke,15 - 19,L
51,Rooster,10/06/23,ESL Australia & NZ Championship Season 16,VERTEX,Anubis,6 - 16,L
52,Rooster,08/06/23,ESL Australia & NZ Championship Season 16,sunday school,Mirage,16 - 10,W
53,Rooster,08/06/23,ESL Australia & NZ Championship Season 16,sunday school,Nuke,19 - 16,W
54,Rooster,23/05/23,ESL Australia & NZ Championship Season 16,Stirlzs Angels,Vertigo,16 - 1,W
55,Rooster,23/05/23,ESL Australia & NZ Championship Season 16,Stirlzs Angels,Inferno,16 - 3,W
56,Rooster,28/03/23,ESL Australia & NZ Championship Season 16,e-LEMON-ators,Vertigo,10 - 16,L
57,Rooster,28/03/23,ESL Australia & NZ Championship Season 16,e-LEMON-ators,Inferno,12 - 16,L
58,Rooster,28/03/23,ESL Australia & NZ Championship Season 16,e-LEMON-ators,Nuke,16 - 10,W
59,Rooster,24/03/23,IEM Dallas 2023 Oceania Closed Qualifier,Encore,Inferno,16 - 9,W
60,Rooster,24/03/23,IEM Dallas 2023 Oceania Closed Qualifier,Encore,Nuke,16 - 14,W
61,Rooster,19/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Nuke,6 - 16,L
62,Rooster,19/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Vertigo,9 - 16,L
63,Rooster,18/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Mirage,5 - 16,L
64,Rooster,18/03/23,ESL Challenger Melbourne 2023 Oceania Closed Qualifier,VERTEX,Vertigo,5 - 16,L
65,Rooster,11/03/23,ESL Pro League Season 17,00NATION,Mirage,12 - 16,L
66,Rooster,11/03/23,ESL Pro League Season 17,00NATION,Inferno,14 - 16,L
67,Rooster,11/03/23,ESL Pro League Season 17,00NATION,Anubis,16 - 3,W
68,Rooster,08/03/23,ESL Pro League Season 17,FaZe,Inferno,7 - 16,L
69,Rooster,08/03/23,ESL Pro League Season 17,FaZe,Nuke,6 - 16,L
70,Rooster,19/01/23,ESL Pro League Season 17 Conference Oceania,Grayhound,Nuke,15 - 19,L
71,Rooster,19/01/23,ESL Pro League Season 17 Conference Oceania,Grayhound,Inferno,2 - 16,L
72,Rooster,19/01/23,ESL Pro League Season 17 Conference Oceania,Grayhound,Anubis,19 - 17,W
73,Rooster,21/11/23,ESL Australia & NZ Championship Season 17,VERTEX,Nuke,11 - 13,L
74,Rooster,19/11/23,CCT Oceania Series 4,VERTEX,Overpass,13 - 11,W
75,Rooster,13/11/23,ESL Australia & NZ Championship Season 17,VERTEX,Anubis,13 - 11,W
76,Rooster,11/11/23,CCT Oceania Series 4,Cobro's Cobros,Overpass,13 - 6,W
77,Rooster,03/11/23,CCT Oceania Series 3,VERTEX,Vertigo,13 - 11,W
78,Rooster,28/10/23,CCT Oceania Series 3,sunday school,Inferno,13 - 4,W
79,Rooster,19/09/23,ESL Australia & NZ Championship Season 17,DXA,Inferno,16 - 6,W
80,Rooster,09/09/23,ESL Pro League Season 18,Evil Geniuses,Nuke,10 - 16,L
