,team,data,match,opponent,map_map,result,w_l
0,Sampi,22/11/22,Sazka eCUP Fall 2022,SINNERS,Nuke,12 - 16,L
1,Sampi,13/10/22,Slovak National Championship 2022,eSuba,Mirage,10 - 16,L
2,Sampi,03/09/22,Tipsport Prague Cup 2022,Entropiq Prague,Mirage,11 - 16,L
3,Sampi,27/08/22,IEM Road to Rio 2022 Europe Open Qualifier 4,xDDDD,Dust2,20 - 22,L
4,Sampi,24/08/22, CCT Central Europe Series 1,Beyond Possible,Dust2,14 - 16,L
5,Sampi,16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,ECSTATIC,Overpass,11 - 16,L
6,Sampi,12/06/22,Tipsport Cup 2022,ECLOT,Inferno,5 - 16,L
7,Sampi,29/05/22,REPUBLEAGUE Season 3 Closed Qualifier,Sprout,Ancient,7 - 16,L
8,Sampi,01/04/22,Tipsport Bratislava Cup 2022,eSuba,Ancient,12 - 16,L
9,Sampi,31/03/22,Tipsport Bratislava Cup 2022,Budapest Five,Inferno,16 - 12,W
10,Sampi,02/03/22,Pinnacle Winter Series 3 Regionals,EC Brugge,Vertigo,14 - 16,L
11,Sampi,28/02/22,Pinnacle Winter Series 3 Regionals,KOVA,Vertigo,19 - 16,W
12,Sampi,07/02/22,REPUBLEAGUE Season 3 V4 Open Qualifier 1,ECLOT,Vertigo,16 - 13,W
13,Sampi,22/11/22,Sazka eCUP Fall 2022,SINNERS,Nuke,12 - 16,L
14,Sampi,22/11/22,Sazka eCUP Fall 2022,SINNERS,Inferno,9 - 16,L
15,Sampi,13/10/22,Slovak National Championship 2022,eSuba,Mirage,10 - 16,L
16,Sampi,13/10/22,Slovak National Championship 2022,eSuba,Ancient,17 - 19,L
17,Sampi,03/09/22,Tipsport Prague Cup 2022,Entropiq Prague,Mirage,11 - 16,L
18,Sampi,03/09/22,Tipsport Prague Cup 2022,Entropiq Prague,Dust2,14 - 16,L
19,Sampi,27/08/22,IEM Road to Rio 2022 Europe Open Qualifier 4,xDDDD,Dust2,20 - 22,L
20,Sampi,24/08/22, CCT Central Europe Series 1,Beyond Possible,Dust2,14 - 16,L
21,Sampi,24/08/22, CCT Central Europe Series 1,Beyond Possible,Overpass,16 - 9,W
22,Sampi,24/08/22, CCT Central Europe Series 1,Beyond Possible,Inferno,20 - 22,L
23,Sampi,16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,ECSTATIC,Overpass,11 - 16,L
24,Sampi,12/06/22,Tipsport Cup 2022,ECLOT,Inferno,5 - 16,L
