,team,data,match,opponent,map_map,result,w_l
0,Sangal,04/04/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Overpass,13 - 9,W
1,Sangal,13/03/24,ESL Challenger League Season 47 Europe,KOI,Nuke,11 - 13,L
2,Sangal,07/03/24,YaLLa Compass Spring 2024 Contenders,500,Ancient,10 - 13,L
3,Sangal,04/03/24,YaLLa Compass Spring 2024 Contenders,Sampi,Mirage,16 - 14,W
4,Sangal,02/03/24,RES Regional Series 1 Europe,HAVU,Ancient,13 - 3,W
5,Sangal,28/02/24,YaLLa Compass Spring 2024 Contenders,Alliance,Anubis,1 - 13,L
6,Sangal,25/02/24,A1 Gaming League Season 8,Espionage,Overpass,13 - 11,W
7,Sangal,08/02/24,YaLLa Compass Spring 2024 Contenders,GODSENT,Vertigo,9 - 13,L
8,Sangal,04/02/24,European Pro League Season 13,ALTERNATE aTTaX,Overpass,13 - 7,W
9,Sangal,03/02/24,European Pro League Season 13,Metizport,Vertigo,14 - 16,L
10,Sangal,01/02/24,YaLLa Compass Spring 2024 Contenders,ALTERNATE aTTaX,Vertigo,13 - 6,W
11,Sangal,24/01/24,European Pro League Season 13,Spirit Academy,Ancient,13 - 7,W
12,Sangal,04/04/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Overpass,13 - 9,W
13,Sangal,04/04/24,ESL Challenger League Season 47 Europe,EYEBALLERS,Vertigo,13 - 5,W
14,Sangal,13/03/24,ESL Challenger League Season 47 Europe,KOI,Nuke,11 - 13,L
15,Sangal,13/03/24,ESL Challenger League Season 47 Europe,KOI,Overpass,17 - 19,L
16,Sangal,07/03/24,YaLLa Compass Spring 2024 Contenders,500,Ancient,10 - 13,L
17,Sangal,07/03/24,YaLLa Compass Spring 2024 Contenders,500,Overpass,13 - 5,W
18,Sangal,07/03/24,YaLLa Compass Spring 2024 Contenders,500,Nuke,6 - 13,L
19,Sangal,04/03/24,YaLLa Compass Spring 2024 Contenders,Sampi,Mirage,16 - 14,W
20,Sangal,04/03/24,YaLLa Compass Spring 2024 Contenders,Sampi,Nuke,13 - 6,W
21,Sangal,02/03/24,RES Regional Series 1 Europe,HAVU,Ancient,13 - 3,W
22,Sangal,02/03/24,RES Regional Series 1 Europe,HAVU,Nuke,13 - 11,W
23,Sangal,28/02/24,YaLLa Compass Spring 2024 Contenders,Alliance,Anubis,1 - 13,L
24,Sangal,28/02/24,YaLLa Compass Spring 2024 Contenders,Alliance,Vertigo,13 - 6,W
