,team,data,match,opponent,map_map,result,w_l
0,SINNERS,09/12/23,ESL Challenger League Season 46 Europe,FORZE,Inferno,4 - 13,L
1,SINNERS,06/12/23,ESL Challenger League Season 46 Europe,Spirit,Nuke,13 - 9,W
2,SINNERS,25/11/23,Tipsport MCR 2023 Finals,UNiTY,Ancient,10 - 13,L
3,SINNERS,18/11/23,CCT 2023 Online Finals 4,BIG,Anubis,3 - 13,L
4,SINNERS,16/11/23,CCT 2023 Online Finals 4,Legacy,Inferno,13 - 8,W
5,SINNERS,13/11/23,CCT 2023 Online Finals 4,ALTERNATE aTTaX,Anubis,13 - 10,W
6,SINNERS,11/11/23,Tipsport MCR 2023,UNiTY,Ancient,14 - 16,L
7,SINNERS,09/11/23,CCT Central Europe Series 8,BetBoom,Overpass,7 - 13,L
8,SINNERS,08/11/23,ESL Challenger League Season 46 Europe,Monte,Anubis,13 - 5,W
9,SINNERS,07/11/23,ESL Challenger League Season 46 Europe,9INE,Nuke,9 - 13,L
10,SINNERS,05/11/23,CCT Central Europe Series 8,The Chosen Few,Anubis,13 - 8,W
11,SINNERS,02/11/23,CCT Central Europe Series 8,ENCE Academy,Overpass,22 - 20,W
12,SINNERS,31/10/23,ESL Challenger League Season 46 Europe,The Prodigies,Mirage,13 - 3,W
13,SINNERS,29/10/23,CCT Central Europe Series 8,ALTERNATE aTTaX,Anubis,13 - 7,W
14,SINNERS,19/10/23,ESL Challenger League Season 46 Europe,Aurora,Ancient,13 - 5,W
15,SINNERS,15/10/23,Tipsport Prague Cup Fall 2023 Finals,ECLOT,Overpass,3 - 13,L
16,SINNERS,13/10/23,Tipsport Prague Cup Fall 2023 Finals,Entropiq Prague,Ancient,13 - 0,W
17,SINNERS,01/10/23,Slovak National Championship 2023,UNiTY,Overpass,23 - 25,L
18,SINNERS,29/09/23,Slovak National Championship 2023,Sampi,Anubis,19 - 16,W
19,SINNERS,23/09/23,CCT 2023 Online Finals 3,Preasy,Overpass,12 - 16,L
20,SINNERS,20/09/23,CCT 2023 Online Finals 3,SELVA,Vertigo,19 - 16,W
21,SINNERS,10/09/23,Thunderpick World Championship 2023 Europe Series 2,Pompa,Inferno,12 - 16,L
22,SINNERS,26/08/23,CCT North Europe Series 7,los kogutos,Mirage,7 - 16,L
23,SINNERS,21/08/23,CCT North Europe Series 7,Pompa,Ancient,16 - 11,W
24,SINNERS,17/08/23,CCT North Europe Series 7,B8,Mirage,15 - 19,L
25,SINNERS,14/08/23,CCT Central Europe Series 7,Eternal Fire,Overpass,14 - 16,L
26,SINNERS,07/08/23,CCT 2023 Online Finals 2,Aurora,Inferno,10 - 16,L
27,SINNERS,05/08/23,CCT Central Europe Series 7,9 Pandas,Mirage,16 - 9,W
28,SINNERS,03/08/23,CCT Central Europe Series 7,500,Mirage,16 - 6,W
29,SINNERS,02/08/23,CCT 2023 Online Finals 2,Bad News Eagles,Overpass,3 - 16,L
30,SINNERS,30/07/23,CCT North Europe Series 6,SAW,Vertigo,16 - 19,L
31,SINNERS,27/07/23,Thunderpick World Championship 2023 Europe Series 1,Nexus,Mirage,16 - 14,W
32,SINNERS,22/07/23,European Pro League Season 9,ThunderFlash,Vertigo,9 - 16,L
33,SINNERS,21/07/23,European Pro League Season 9,Anonymo,Vertigo,8 - 16,L
34,SINNERS,17/07/23,European Pro League Season 9,Enterprise,Vertigo,16 - 12,W
35,SINNERS,11/07/23,Gamers8 2023 Europe Open Qualifier 2,Eternal Fire,Vertigo,14 - 16,L
36,SINNERS,06/06/23,ESEA Advanced Season 45 Europe,Aurora,Nuke,19 - 15,W
