,team,data,match,opponent,map_map,result,w_l
0,Solid,09/04/24,ESL Challenger League Season 47 South America,Imperial,Inferno,3 - 13,L
1,Solid,08/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Vertigo,13 - 4,W
2,Solid,04/04/24,ESL Challenger League Season 47 South America,MIBR,Ancient,4 - 13,L
3,Solid,20/03/24,ESL Challenger League Season 47 South America,2GAME,Vertigo,6 - 13,L
4,Solid,14/03/24,RES Regional Series 2 LATAM,RED Canids,Ancient,13 - 11,W
5,Solid,12/03/24,RES Regional Series 2 LATAM,adalYamigos,Ancient,13 - 9,W
6,Solid,11/03/24,RES Regional Series 2 LATAM,W7M,Ancient,13 - 6,W
7,Solid,09/03/24,RES Regional Series 2 LATAM,VELOX,Overpass,19 - 17,W
8,Solid,07/03/24,ESL Challenger League Season 47 South America,Fluxo,Mirage,16 - 13,W
9,Solid,05/03/24,ESL Challenger League Season 47 South America,Sharks,Ancient,11 - 13,L
10,Solid,22/02/24,ESL Challenger League Season 47 South America,Case,Ancient,14 - 16,L
11,Solid,21/02/24,RES Regional Series 1 LATAM,Fluxo,Vertigo,1 - 13,L
12,Solid,20/02/24,IEM Dallas 2024 South America Open Qualifier 2,Flamengo,Ancient,13 - 9,W
13,Solid,19/02/24,EPL World Series Americas Season 6,Sharks,Anubis,8 - 13,L
14,Solid,17/02/24,EPL World Series Americas Season 6,Case,Mirage,9 - 13,L
15,Solid,16/02/24,EPL World Series Americas Season 6,W7M,Inferno,13 - 6,W
16,Solid,14/02/24,IEM Dallas 2024 South America Open Qualifier 1,Galorys,Ancient,13 - 10,W
17,Solid,14/02/24,ESL Challenger League Season 47 South America,adalYamigos,Ancient,11 - 13,L
18,Solid,13/02/24,RES Regional Series 1 LATAM,Imperial,Anubis,8 - 13,L
19,Solid,13/01/24,IEM Chengdu 2024 South America Open Qualifier 1,ODDIK,Ancient,11 - 13,L
20,Solid,09/04/24,ESL Challenger League Season 47 South America,Imperial,Inferno,3 - 13,L
21,Solid,08/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Vertigo,13 - 4,W
22,Solid,08/04/24,RES Regional Series 3 LATAM,LA RUGONETA,Overpass,13 - 5,W
23,Solid,04/04/24,ESL Challenger League Season 47 South America,MIBR,Ancient,4 - 13,L
24,Solid,20/03/24,ESL Challenger League Season 47 South America,2GAME,Vertigo,6 - 13,L
25,Solid,14/03/24,RES Regional Series 2 LATAM,RED Canids,Ancient,13 - 11,W
26,Solid,14/03/24,RES Regional Series 2 LATAM,RED Canids,Vertigo,13 - 11,W
