,team,data,match,opponent,map_map,result,w_l
0,Space,04/04/24,ESL Challenger League Season 47 Europe,3DMAX,Ancient,5 - 13,L
1,Space,29/03/24,ESL Challenger League Season 47 Europe,B8,Mirage,13 - 11,W
2,Space,07/03/24,ESL Challenger League Season 47 Europe,Apeks,Anubis,5 - 13,L
3,Space,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ARCRED,Mirage,13 - 6,W
4,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Gucci Academy,Anubis,13 - 10,W
5,Space,04/04/24,ESL Challenger League Season 47 Europe,3DMAX,Ancient,5 - 13,L
6,Space,04/04/24,ESL Challenger League Season 47 Europe,3DMAX,Nuke,9 - 13,L
7,Space,29/03/24,ESL Challenger League Season 47 Europe,B8,Mirage,13 - 11,W
8,Space,29/03/24,ESL Challenger League Season 47 Europe,B8,Anubis,13 - 11,W
9,Space,07/03/24,ESL Challenger League Season 47 Europe,Apeks,Anubis,5 - 13,L
10,Space,07/03/24,ESL Challenger League Season 47 Europe,Apeks,Ancient,9 - 13,L
11,Space,07/03/24,ESL Challenger League Season 47 Europe,Apeks,Mirage,13 - 11,W
12,Space,12/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ARCRED,Mirage,13 - 6,W
13,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Gucci Academy,Anubis,13 - 10,W
14,Space,03/04/24,ESL Challenger League Season 47 Europe,PARIVISION,Nuke,10 - 13,L
15,Space,28/03/24,ESL Challenger League Season 47 Europe,FORZE,Anubis,4 - 13,L
16,Space,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,500,Nuke,8 - 13,L
17,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Mirage,8 - 13,L
18,Space,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,ThunderFlash,Anubis,13 - 5,W
19,Space,03/04/24,ESL Challenger League Season 47 Europe,PARIVISION,Nuke,10 - 13,L
20,Space,03/04/24,ESL Challenger League Season 47 Europe,PARIVISION,Mirage,9 - 13,L
21,Space,28/03/24,ESL Challenger League Season 47 Europe,FORZE,Anubis,4 - 13,L
22,Space,28/03/24,ESL Challenger League Season 47 Europe,FORZE,Nuke,11 - 13,L
23,Space,28/03/24,ESL Challenger League Season 47 Europe,FORZE,Mirage,13 - 10,W
24,Space,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,500,Nuke,8 - 13,L
25,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Mirage,8 - 13,L
26,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Overpass,2 - 13,L
27,Space,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,IKLA,Anubis,13 - 6,W
28,Space,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,ThunderFlash,Anubis,13 - 5,W
