,team,data,match,opponent,map_map,result,w_l
0,Spirit,28/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Vertigo,14 - 16,L
1,Spirit,21/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Mirage,13 - 2,W
2,Spirit,10/03/24,BLAST Premier Spring Showdown 2024,Metizport,Nuke,13 - 8,W
3,Spirit,08/03/24,BLAST Premier Spring Showdown 2024,Elevate,Mirage,13 - 6,W
4,Spirit,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,MOUZ,Mirage,11 - 13,L
5,Spirit,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,ENCE,Overpass,13 - 0,W
6,Spirit,10/02/24,IEM Katowice 2024,Falcons,Ancient,13 - 3,W
7,Spirit,04/02/24,IEM Katowice 2024,Complexity,Overpass,13 - 5,W
8,Spirit,01/02/24,IEM Katowice 2024 Play-in,TheMongolz,Ancient,16 - 14,W
9,Spirit,25/01/24,BLAST Premier Spring Groups 2024,FaZe,Nuke,4 - 13,L
10,Spirit,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,MOUZ,Ancient,13 - 6,W
11,Spirit,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Mirage,16 - 14,W
12,Spirit,22/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,13 - 7,W
13,Spirit,22/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Ancient,13 - 9,W
14,Spirit,22/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Nuke,13 - 16,L
15,Spirit,21/03/24,PGL CS2 Major Copenhagen 2024,Cloud9,Ancient,13 - 7,W
16,Spirit,09/03/24,BLAST Premier Spring Showdown 2024,BIG,Vertigo,13 - 3,W
17,Spirit,09/03/24,BLAST Premier Spring Showdown 2024,BIG,Anubis,13 - 11,W
18,Spirit,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Nuke,13 - 11,W
19,Spirit,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Anubis,13 - 8,W
20,Spirit,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Vertigo,13 - 11,W
21,Spirit,11/02/24,IEM Katowice 2024,FaZe,Overpass,13 - 3,W
22,Spirit,11/02/24,IEM Katowice 2024,FaZe,Mirage,13 - 11,W
23,Spirit,11/02/24,IEM Katowice 2024,FaZe,Nuke,13 - 9,W
24,Spirit,06/02/24,IEM Katowice 2024,FaZe,Nuke,13 - 5,W
25,Spirit,06/02/24,IEM Katowice 2024,FaZe,Mirage,13 - 10,W
26,Spirit,03/02/24,IEM Katowice 2024,Natus Vincere,Mirage,13 - 4,W
27,Spirit,03/02/24,IEM Katowice 2024,Natus Vincere,Anubis,11 - 13,L
28,Spirit,03/02/24,IEM Katowice 2024,Natus Vincere,Ancient,13 - 7,W
29,Spirit,31/01/24,IEM Katowice 2024 Play-in,Apeks,Ancient,13 - 0,W
30,Spirit,24/01/24,BLAST Premier Spring Groups 2024,Liquid,Ancient,10 - 13,L
31,Spirit,24/01/24,BLAST Premier Spring Groups 2024,Liquid,Anubis,13 - 10,W
32,Spirit,24/01/24,BLAST Premier Spring Groups 2024,Liquid,Nuke,14 - 16,L
33,Spirit,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Preasy,Nuke,16 - 14,W
34,Spirit,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,KOI,Ancient,9 - 13,L
35,Spirit,28/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Vertigo,14 - 16,L
36,Spirit,28/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Nuke,19 - 16,W
37,Spirit,28/03/24,PGL CS2 Major Copenhagen 2024,FaZe,Mirage,7 - 13,L
38,Spirit,21/03/24,PGL CS2 Major Copenhagen 2024,Imperial,Mirage,13 - 2,W
39,Spirit,10/03/24,BLAST Premier Spring Showdown 2024,Metizport,Nuke,13 - 8,W
40,Spirit,10/03/24,BLAST Premier Spring Showdown 2024,Metizport,Mirage,13 - 4,W
41,Spirit,10/03/24,BLAST Premier Spring Showdown 2024,Metizport,Vertigo,8 - 13,L
42,Spirit,08/03/24,BLAST Premier Spring Showdown 2024,Elevate,Mirage,13 - 6,W
43,Spirit,08/03/24,BLAST Premier Spring Showdown 2024,Elevate,Vertigo,13 - 9,W
44,Spirit,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,MOUZ,Mirage,11 - 13,L
45,Spirit,20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,MOUZ,Vertigo,10 - 13,L
46,Spirit,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,ENCE,Overpass,13 - 0,W
47,Spirit,10/02/24,IEM Katowice 2024,Falcons,Ancient,13 - 3,W
48,Spirit,10/02/24,IEM Katowice 2024,Falcons,Anubis,13 - 8,W
49,Spirit,04/02/24,IEM Katowice 2024,Complexity,Overpass,13 - 5,W
50,Spirit,04/02/24,IEM Katowice 2024,Complexity,Ancient,13 - 3,W
51,Spirit,01/02/24,IEM Katowice 2024 Play-in,TheMongolz,Ancient,16 - 14,W
52,Spirit,01/02/24,IEM Katowice 2024 Play-in,TheMongolz,Mirage,13 - 2,W
53,Spirit,25/01/24,BLAST Premier Spring Groups 2024,FaZe,Nuke,4 - 13,L
54,Spirit,25/01/24,BLAST Premier Spring Groups 2024,FaZe,Anubis,4 - 13,L
55,Spirit,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,MOUZ,Ancient,13 - 6,W
56,Spirit,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,MOUZ,Mirage,13 - 2,W
57,Spirit,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Mirage,16 - 14,W
58,Spirit,22/03/24,PGL CS2 Major Copenhagen 2024,Natus Vincere,Mirage,13 - 7,W
59,Spirit,21/03/24,PGL CS2 Major Copenhagen 2024,Cloud9,Ancient,13 - 7,W
60,Spirit,09/03/24,BLAST Premier Spring Showdown 2024,BIG,Vertigo,13 - 3,W
61,Spirit,21/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,HEROIC,Nuke,13 - 11,W
62,Spirit,19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Astralis,Vertigo,13 - 11,W
63,Spirit,11/02/24,IEM Katowice 2024,FaZe,Overpass,13 - 3,W
