,team,data,match,opponent,map_map,result,w_l
0,Sprout,20/12/23,22BET Christmas Cup 2023,PERA,Anubis,8 - 13,L
1,Sprout,18/12/23,22BET Christmas Cup 2023,showmakerz,Ancient,13 - 6,W
2,Sprout,11/12/23,YaLLa Compass Fall 2023,Alliance,Inferno,13 - 11,W
3,Sprout,08/12/23,European Pro League Season 12,ALTERNATE aTTaX,Overpass,4 - 13,L
4,Sprout,06/12/23,YaLLa Compass Fall 2023,Alliance,Overpass,6 - 13,L
5,Sprout,04/12/23,CCT 2023 Online Finals 5,RED Canids,Vertigo,9 - 13,L
6,Sprout,01/12/23,CCT 2023 Online Finals 5,Anonymo,Inferno,13 - 11,W
7,Sprout,29/11/23,YaLLa Compass Fall 2023,ALTERNATE aTTaX,Inferno,13 - 8,W
8,Sprout,21/11/23,ESL Challenger League Season 46 Europe,PERA,Overpass,13 - 4,W
9,Sprout,19/11/23,A1 Gaming League Season 7,Metizport,Inferno,10 - 13,L
10,Sprout,18/11/23,CCT East Europe Series 4,Metizport,Ancient,13 - 7,W
11,Sprout,15/11/23,CCT East Europe Series 4,MOUZ NXT,Inferno,13 - 7,W
12,Sprout,14/11/23,YaLLa Compass Fall 2023,Espionage,Vertigo,3 - 13,L
13,Sprout,12/11/23,ESL Challenger League Season 46 Europe,ORKS,Overpass,13 - 11,W
14,Sprout,04/11/23,CCT Central Europe Series 8,EYEBALLERS,Overpass,16 - 13,W
15,Sprout,02/11/23,CCT Central Europe Series 8,B8,Ancient,11 - 13,L
16,Sprout,31/10/23,ESL Challenger League Season 46 Europe,Sangal,Ancient,13 - 8,W
17,Sprout,30/10/23,European Pro League Season 11,BIG Academy,Ancient,13 - 10,W
18,Sprout,29/10/23,European Pro League Season 11,ECLOT,Vertigo,19 - 17,W
19,Sprout,27/10/23,European Pro League Season 11,Sashi,Vertigo,13 - 5,W
20,Sprout,24/10/23,CCT North Europe Series 8,BIG,Ancient,10 - 13,L
21,Sprout,22/10/23,CCT East Europe Series 3,Falcons,Nuke,11 - 13,L
22,Sprout,21/10/23,CCT East Europe Series 3,MOUZ NXT,Nuke,8 - 13,L
23,Sprout,17/10/23,CCT East Europe Series 3,ECSTATIC,Inferno,9 - 13,L
24,Sprout,12/10/23,ESL Challenger League Season 46 Europe,The Prodigies,Nuke,11 - 13,L
25,Sprout,30/09/23,CCT East Europe Series 2,1WIN,Vertigo,12 - 16,L
26,Sprout,28/09/23,CCT East Europe Series 2,Bad News Eagles,Inferno,16 - 3,W
27,Sprout,22/09/23,CCT North Europe Series 8,9 Pandas,Mirage,16 - 11,W
28,Sprout,21/09/23,CCT 2023 Online Finals 3,Fake Natty,Ancient,5 - 16,L
29,Sprout,19/09/23,CCT 2023 Online Finals 3,00NATION,Anubis,16 - 14,W
30,Sprout,18/09/23,European Pro League Season 10,Entropiq,Mirage,16 - 13,W
31,Sprout,16/09/23,CCT East Europe Series 2,ALTERNATE aTTaX,Inferno,7 - 16,L
32,Sprout,15/09/23,CCT North Europe Series 8 Closed Qualifier,Wu-Tang,Vertigo,16 - 1,W
33,Sprout,14/09/23,CCT East Europe Series 2,BetBoom,Vertigo,16 - 7,W
34,Sprout,13/09/23,CCT North Europe Series 8 Closed Qualifier,Metizport,Overpass,14 - 16,L
35,Sprout,12/09/23,Thunderpick World Championship 2023 Europe Series 2,Spirit,Ancient,13 - 16,L
36,Sprout,11/09/23,European Pro League Season 10,Entropiq,Ancient,19 - 16,W
37,Sprout,09/09/23,Thunderpick World Championship 2023 Europe Series 2,9 Pandas,Ancient,16 - 10,W
38,Sprout,08/09/23,RES Western European Masters Fall 2023 - BLAST Premier Qualifier,Looking4Org,Anubis,19 - 17,W
39,Sprout,07/09/23,European Pro League Season 10,los kogutos,Overpass,16 - 2,W
40,Sprout,03/09/23,European Pro League Season 10,Enterprise,Anubis,16 - 19,L
41,Sprout,12/08/23,IEM Sydney 2023 Europe Open Qualifier 2,Zen,Mirage,14 - 16,L
42,Sprout,10/08/23,IEM Sydney 2023 Europe Open Qualifier 1,Space,Overpass,16 - 13,W
43,Sprout,08/08/23,Thunderpick World Championship 2023 Europe Series 1,BIG,Inferno,12 - 16,L
44,Sprout,29/07/23,Thunderpick World Championship 2023 Europe Series 1,B8,Anubis,16 - 0,W
45,Sprout,10/06/23,CCT North Europe Series 5,9 Pandas,Mirage,16 - 12,W
46,Sprout,09/06/23,CCT West Europe Series 4,Astralis Talent,Nuke,7 - 16,L
47,Sprout,01/06/23,CCT West Europe Series 4,PORTUGAL,Anubis,16 - 5,W
48,Sprout,25/05/23,ESL Challenger League Season 45 Europe,Monte,Ancient,8 - 16,L
49,Sprout,24/05/23,ESL Challenger League Season 45 Europe,9INE,Anubis,16 - 5,W
50,Sprout,22/05/23,ESL Challenger League Season 45 Europe,FORZE,Ancient,16 - 6,W
51,Sprout,17/05/23,Gamers8 2023 Europe Open Qualifier 1,fnatic,Ancient,14 - 16,L
52,Sprout,12/05/23,BetBoom Playlist Freedom 2023,00NATION,Overpass,16 - 14,W
53,Sprout,05/05/23,BetBoom Playlist Freedom 2023,Insilio,Overpass,16 - 11,W
54,Sprout,02/05/23,BetBoom Playlist Freedom 2023,Websterz,Mirage,12 - 16,L
55,Sprout,29/04/23,Brazy Party 2023,Imperial,Inferno,16 - 11,W
56,Sprout,26/04/23,Elisa Invitational Spring 2023,iNation,Anubis,16 - 8,W
57,Sprout,08/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Apeks,Overpass,11 - 16,L
58,Sprout,06/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Into the Breach,Vertigo,7 - 16,L
59,Sprout,24/03/23,ESL Challenger League Season 44 Europe Relegation,PROSPECTS,Anubis,16 - 6,W
