,team,data,match,opponent,map_map,result,w_l
0,sYnck,27/02/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Mirage,14 - 16,L
1,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Anubis,4 - 13,L
2,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,Nexus,Mirage,4 - 13,L
3,sYnck,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Inferno,13 - 8,W
4,sYnck,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,FORZE,Inferno,13 - 6,W
5,sYnck,17/01/24,IEM Chengdu 2024 Europe Open Qualifier 1,FreeESPI,Anubis,9 - 13,L
6,sYnck,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ECSTATIC,Anubis,5 - 13,L
7,sYnck,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,LOADING,Ancient,13 - 5,W
8,sYnck,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,HEROIC,Ancient,7 - 13,L
9,sYnck,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,XI,Ancient,13 - 8,W
10,sYnck,27/02/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Mirage,14 - 16,L
11,sYnck,27/02/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Inferno,13 - 4,W
12,sYnck,27/02/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Nuke,5 - 13,L
13,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Anubis,4 - 13,L
14,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,3DMAX,Ancient,8 - 13,L
15,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,Nexus,Mirage,4 - 13,L
16,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,Nexus,Anubis,10 - 13,L
17,sYnck,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Inferno,13 - 8,W
18,sYnck,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Entropiq,Ancient,13 - 11,W
19,sYnck,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,FORZE,Inferno,13 - 6,W
20,sYnck,17/01/24,IEM Chengdu 2024 Europe Open Qualifier 1,FreeESPI,Anubis,9 - 13,L
21,sYnck,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,ECSTATIC,Anubis,5 - 13,L
22,sYnck,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,LOADING,Ancient,13 - 5,W
23,sYnck,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,HEROIC,Ancient,7 - 13,L
24,sYnck,11/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,HEROIC,Anubis,1 - 13,L
25,sYnck,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,XI,Ancient,13 - 8,W
26,sYnck,24/02/24,RAJU Assembly Winter Showdown 2024,ENCE Academy,Overpass,10 - 13,L
27,sYnck,21/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Decider Qualifier,PERA,Mirage,6 - 13,L
28,sYnck,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,HEROIC,Mirage,9 - 13,L
29,sYnck,19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,ex-ThunderFlash,Anubis,11 - 13,L
30,sYnck,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,AMKAL,Inferno,3 - 13,L
31,sYnck,13/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 3,Permitta,Mirage,10 - 13,L
