,team,data,match,opponent,map_map,result,w_l
0,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,ARAVT,Overpass,14 - 16,L
1,TheMongolz,21/08/22,IEM Road to Rio 2022 Asia Open Qualifier 2,D13,Mirage,16 - 9,W
2,TheMongolz,10/08/22,5E Arena Asia Cup 2022 Closed Qualifier,Lord Rabbit,Vertigo,6 - 16,L
3,TheMongolz,20/07/22,Perfect World Arena Premier League Season 2,YK,Mirage,8 - 16,L
4,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,YK,Nuke,7 - 16,L
5,TheMongolz,09/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,NSN,Mirage,16 - 7,W
6,TheMongolz,22/06/22,MESA Pro Series Summer 2022 Finals,IHC,Mirage,3 - 16,L
7,TheMongolz,31/03/22,ESL Challenger League Season 40 Asia-Pacific,CatEvil,Inferno,16 - 1,W
8,TheMongolz,29/03/22,ESL Challenger League Season 40 Asia-Pacific,NKT,Nuke,16 - 14,W
9,TheMongolz,22/03/22,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,FyR,Ancient,16 - 7,W
10,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,ARAVT,Overpass,14 - 16,L
11,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,ARAVT,Ancient,11 - 16,L
12,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,ARAVT,Dust2,16 - 13,W
13,TheMongolz,21/08/22,IEM Road to Rio 2022 Asia Open Qualifier 2,D13,Mirage,16 - 9,W
14,TheMongolz,21/08/22,IEM Road to Rio 2022 Asia Open Qualifier 2,D13,Nuke,16 - 13,W
15,TheMongolz,10/08/22,5E Arena Asia Cup 2022 Closed Qualifier,Lord Rabbit,Vertigo,6 - 16,L
16,TheMongolz,10/08/22,5E Arena Asia Cup 2022 Closed Qualifier,Lord Rabbit,Inferno,7 - 16,L
17,TheMongolz,20/07/22,Perfect World Arena Premier League Season 2,YK,Mirage,8 - 16,L
18,TheMongolz,20/07/22,Perfect World Arena Premier League Season 2,YK,Inferno,13 - 16,L
19,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,YK,Nuke,7 - 16,L
20,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,YK,Mirage,19 - 16,W
21,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,YK,Inferno,13 - 16,L
22,TheMongolz,09/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,NSN,Mirage,16 - 7,W
23,TheMongolz,22/06/22,MESA Pro Series Summer 2022 Finals,IHC,Mirage,3 - 16,L
24,TheMongolz,22/06/22,MESA Pro Series Summer 2022 Finals,IHC,Inferno,10 - 16,L
25,TheMongolz,31/03/22,ESL Challenger League Season 40 Asia-Pacific,CatEvil,Inferno,16 - 1,W
26,TheMongolz,31/03/22,ESL Challenger League Season 40 Asia-Pacific,CatEvil,Nuke,16 - 1,W
27,TheMongolz,29/03/22,ESL Challenger League Season 40 Asia-Pacific,NKT,Nuke,16 - 14,W
28,TheMongolz,29/03/22,ESL Challenger League Season 40 Asia-Pacific,NKT,Dust2,16 - 13,W
29,TheMongolz,22/03/22,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,FyR,Ancient,16 - 7,W
30,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,IHC,Nuke,5 - 16,L
31,TheMongolz,20/08/22,IEM Road to Rio 2022 Asia Open Qualifier 2,maGic,Inferno,16 - 6,W
32,TheMongolz,21/07/22,Perfect World Arena Premier League Season 2,Wings Up,Mirage,6 - 16,L
33,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,Wings Up,Dust2,9 - 16,L
34,TheMongolz,10/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,Lynn Vision,Nuke,16 - 10,W
35,TheMongolz,07/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 1,CatEvil,Nuke,14 - 16,L
36,TheMongolz,01/04/22,ESL Challenger League Season 40 Asia-Pacific,IHC,Nuke,11 - 16,L
37,TheMongolz,30/03/22,ESL Challenger League Season 40 Asia-Pacific,Rare Atom,Nuke,4 - 16,L
38,TheMongolz,22/03/22,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,D13,Nuke,6 - 16,L
39,TheMongolz,22/03/22,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,NKT,Inferno,13 - 16,L
40,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,IHC,Nuke,5 - 16,L
41,TheMongolz,27/08/22,IEM Road to Rio 2022 Asia Closed Qualifier,IHC,Ancient,14 - 16,L
42,TheMongolz,20/08/22,IEM Road to Rio 2022 Asia Open Qualifier 2,maGic,Inferno,16 - 6,W
43,TheMongolz,21/07/22,Perfect World Arena Premier League Season 2,Wings Up,Mirage,6 - 16,L
44,TheMongolz,21/07/22,Perfect World Arena Premier League Season 2,Wings Up,Dust2,13 - 16,L
45,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,Wings Up,Dust2,9 - 16,L
46,TheMongolz,13/07/22,ESL Challenger Melbourne 2022 Asia Closed Qualifier,Wings Up,Nuke,12 - 16,L
47,TheMongolz,10/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,Lynn Vision,Nuke,16 - 10,W
48,TheMongolz,10/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,Lynn Vision,Dust2,22 - 19,W
49,TheMongolz,10/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 2,Lynn Vision,Inferno,4 - 16,L
50,TheMongolz,07/07/22,ESL Challenger Melbourne 2022 Asia Open Qualifier 1,CatEvil,Nuke,14 - 16,L
