,team,data,match,opponent,map_map,result,w_l
0,ThunderFlash,07/12/23,ESEA Advanced Season 47 Europe,eHawks,Mirage,5 - 13,L
1,ThunderFlash,05/12/23,ESEA Advanced Season 47 Europe,Endpoint,Ancient,3 - 13,L
2,ThunderFlash,25/11/23,ESL Polish Championship Autumn 2023,PALOMA,Ancient,7 - 13,L
3,ThunderFlash,18/11/23,Polish Esport League 2023 Split 4,AGO,Ancient,13 - 4,W
4,ThunderFlash,15/11/23,Polish Esport League 2023 Split 4,Illuminar,Anubis,4 - 13,L
5,ThunderFlash,06/11/23,CCT Central Europe Series 8,Aurora,Anubis,7 - 13,L
6,ThunderFlash,04/11/23,CCT Central Europe Series 8,Nexus,Ancient,13 - 10,W
7,ThunderFlash,02/11/23,CCT East Europe Series 4 Closed Qualifier,Project G,Ancient,16 - 19,L
8,ThunderFlash,31/10/23,CCT East Europe Series 4 Closed Qualifier,Illuminar,Anubis,13 - 6,W
9,ThunderFlash,30/10/23,CCT Central Europe Series 8,PGE Turow,Vertigo,13 - 9,W
10,ThunderFlash,05/10/23,CCT East Europe Series 3 Closed Qualifier,Nexus,Vertigo,9 - 16,L
11,ThunderFlash,03/10/23,CCT East Europe Series 3 Closed Qualifier,CYBERSHOKE,Nuke,16 - 7,W
12,ThunderFlash,26/09/23,ESEA Advanced Season 46 Europe,Wu-Tang,Inferno,14 - 16,L
13,ThunderFlash,24/09/23,HardPlay Cup 7,Websterz,Mirage,16 - 14,W
14,ThunderFlash,15/09/23,CCT North Europe Series 8 Closed Qualifier,Aurora Young Blud,Inferno,10 - 16,L
15,ThunderFlash,11/09/23,CCT North Europe Series 8 Closed Qualifier,STORMZz,Ancient,16 - 14,W
16,ThunderFlash,22/08/23,CCT North Europe Series 7,Space,Nuke,2 - 16,L
17,ThunderFlash,18/08/23,CCT East Europe Series 1,Monte,Anubis,11 - 16,L
18,ThunderFlash,15/08/23,CCT East Europe Series 1,ARCRED,Nuke,16 - 10,W
19,ThunderFlash,14/08/23,CCT North Europe Series 7,Endpoint,Mirage,14 - 16,L
20,ThunderFlash,12/08/23,IEM Sydney 2023 Europe Open Qualifier 2,knasigT,Ancient,6 - 16,L
21,ThunderFlash,12/08/23,IEM Sydney 2023 Europe Open Qualifier 2,Looking4Org,Ancient,16 - 6,W
22,ThunderFlash,09/08/23,CCT East Europe Series 1,Nexus,Inferno,16 - 11,W
23,ThunderFlash,02/08/23,Pinnacle Cup V,Los Alpacas,Vertigo,16 - 19,L
24,ThunderFlash,27/07/23,Thunderpick World Championship 2023 Europe Series 1,EYEBALLERS,Inferno,14 - 16,L
25,ThunderFlash,25/07/23,CCT North Europe Series 6,ARCRED,Ancient,11 - 16,L
26,ThunderFlash,23/07/23,CCT North Europe Series 6,9 Pandas,Nuke,7 - 16,L
27,ThunderFlash,21/07/23,CCT North Europe Series 6,Espionage,Ancient,16 - 13,W
28,ThunderFlash,21/07/23,European Pro League Season 9,los kogutos,Mirage,5 - 16,L
29,ThunderFlash,19/07/23,CCT Central Europe Series 7 Closed Qualifier,The Prodigies,Anubis,7 - 16,L
30,ThunderFlash,18/07/23,CCT North Europe Series 6,HAVU,Nuke,16 - 7,W
31,ThunderFlash,16/07/23,European Pro League Season 9,Lazer Cats,Nuke,28 - 26,W
32,ThunderFlash,12/07/23,CCT North Europe Series 6 Closed Qualifier,AVANGAR,Anubis,16 - 8,W
33,ThunderFlash,18/06/23,Polish Esport League 2023 Split 2,PGE Turow,Mirage,17 - 19,L
34,ThunderFlash,14/06/23,Polish Esport League 2023 Split 2,LODIS,Vertigo,16 - 13,W
35,ThunderFlash,24/02/23,GAM3RS_X Polish Clash 2023,9INE,Vertigo,10 - 16,L
36,ThunderFlash,07/12/23,ESEA Advanced Season 47 Europe,eHawks,Mirage,5 - 13,L
