,team,data,match,opponent,map_map,result,w_l
0,TYLOO,18/12/21,JBL Quantum Cup 2021,ViCi,Inferno,9 - 16,L
1,TYLOO,02/12/21,IEM Winter 2021,G2,Mirage,13 - 16,L
2,TYLOO,17/11/21,William Hill Cup 2021,SKADE,Overpass,16 - 19,L
3,TYLOO,15/11/21,Funspark ULTI 2021 Europe Regional Series 4 Closed Qualifier,Run or Die,Inferno,16 - 8,W
4,TYLOO,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Spirit,Overpass,3 - 16,L
5,TYLOO,26/10/21,PGL Major Stockholm 2021 Challengers Stage,HEROIC,Inferno,12 - 16,L
6,TYLOO,07/10/21,IEM Fall 2021 Asia,ViCi,Mirage,16 - 8,W
7,TYLOO,04/10/21,IEM Winter 2021 Asia Closed Qualifier,NKT,Vertigo,16 - 8,W
8,TYLOO,03/10/21,IEM Winter 2021 Asia Closed Qualifier,Wings Up,Inferno,16 - 7,W
9,TYLOO,29/08/21,Douyu Fall Cup 2021 - BLAST Premier Qualifier,ViCi,Mirage,12 - 16,L
10,TYLOO,27/08/21,Douyu Fall Cup 2021 - BLAST Premier Qualifier,Lynn Vision,Dust2,15 - 19,L
11,TYLOO,23/08/21,Funspark ULTI 2021 Asia Playoffs 1,Invictus,Ancient,12 - 16,L
12,TYLOO,20/08/21,Funspark ULTI 2021 Asia Playoffs 1,Checkmate,Mirage,16 - 7,W
13,TYLOO,06/05/21,ProHouse Wuxi Villa Cup 2,Reece,Mirage,16 - 7,W
14,TYLOO,05/05/21,ProHouse Wuxi Villa Cup 2,After,Overpass,16 - 5,W
15,TYLOO,03/05/21,Perfect World League Season 1 2021,ViCi,Vertigo,14 - 16,L
16,TYLOO,29/04/21,Perfect World League Season 1 2021,Invictus,Inferno,16 - 13,W
17,TYLOO,26/04/21,Funspark ULTI 2020 Asia Final,Wings Up,Train,16 - 9,W
18,TYLOO,22/04/21,Perfect World League Season 1 2021,Invictus,Overpass,16 - 9,W
19,TYLOO,11/04/21,Funspark ULTI 2021 Asia Regional Series 1,Lynn Vision,Inferno,16 - 6,W
20,TYLOO,09/04/21,Funspark ULTI 2021 Asia Regional Series 1,Renewal,Dust2,16 - 4,W
21,TYLOO,01/04/21,Funspark ULTI 2021 Asia Regional Series 1,Lynn Vision,Inferno,7 - 16,L
22,TYLOO,18/12/21,JBL Quantum Cup 2021,ViCi,Inferno,9 - 16,L
23,TYLOO,18/12/21,JBL Quantum Cup 2021,ViCi,Mirage,9 - 16,L
24,TYLOO,18/12/21,JBL Quantum Cup 2021,ViCi,Vertigo,19 - 16,W
25,TYLOO,02/12/21,IEM Winter 2021,G2,Mirage,13 - 16,L
26,TYLOO,17/11/21,William Hill Cup 2021,SKADE,Overpass,16 - 19,L
27,TYLOO,17/11/21,William Hill Cup 2021,SKADE,Mirage,16 - 19,L
28,TYLOO,15/11/21,Funspark ULTI 2021 Europe Regional Series 4 Closed Qualifier,Run or Die,Inferno,16 - 8,W
29,TYLOO,15/11/21,Funspark ULTI 2021 Europe Regional Series 4 Closed Qualifier,Run or Die,Overpass,16 - 19,L
30,TYLOO,15/11/21,Funspark ULTI 2021 Europe Regional Series 4 Closed Qualifier,Run or Die,Mirage,16 - 4,W
31,TYLOO,27/10/21,PGL Major Stockholm 2021 Challengers Stage,Spirit,Overpass,3 - 16,L
32,TYLOO,26/10/21,PGL Major Stockholm 2021 Challengers Stage,HEROIC,Inferno,12 - 16,L
33,TYLOO,07/10/21,IEM Fall 2021 Asia,ViCi,Mirage,16 - 8,W
34,TYLOO,07/10/21,IEM Fall 2021 Asia,ViCi,Ancient,16 - 2,W
35,TYLOO,04/10/21,IEM Winter 2021 Asia Closed Qualifier,NKT,Vertigo,16 - 8,W
36,TYLOO,04/10/21,IEM Winter 2021 Asia Closed Qualifier,NKT,Overpass,16 - 8,W
37,TYLOO,03/10/21,IEM Winter 2021 Asia Closed Qualifier,Wings Up,Inferno,16 - 7,W
38,TYLOO,03/10/21,IEM Winter 2021 Asia Closed Qualifier,Wings Up,Overpass,16 - 10,W
39,TYLOO,29/08/21,Douyu Fall Cup 2021 - BLAST Premier Qualifier,ViCi,Mirage,12 - 16,L
40,TYLOO,29/08/21,Douyu Fall Cup 2021 - BLAST Premier Qualifier,ViCi,Overpass,12 - 16,L
41,TYLOO,27/08/21,Douyu Fall Cup 2021 - BLAST Premier Qualifier,Lynn Vision,Dust2,15 - 19,L
42,TYLOO,23/08/21,Funspark ULTI 2021 Asia Playoffs 1,Invictus,Ancient,12 - 16,L
43,TYLOO,23/08/21,Funspark ULTI 2021 Asia Playoffs 1,Invictus,Nuke,8 - 16,L
44,TYLOO,23/08/21,Funspark ULTI 2021 Asia Playoffs 1,Invictus,Overpass,16 - 8,W
45,TYLOO,20/08/21,Funspark ULTI 2021 Asia Playoffs 1,Checkmate,Mirage,16 - 7,W
46,TYLOO,20/08/21,Funspark ULTI 2021 Asia Playoffs 1,Checkmate,Dust2,16 - 14,W
47,TYLOO,06/05/21,ProHouse Wuxi Villa Cup 2,Reece,Mirage,16 - 7,W
48,TYLOO,05/05/21,ProHouse Wuxi Villa Cup 2,After,Overpass,16 - 5,W
49,TYLOO,03/05/21,Perfect World League Season 1 2021,ViCi,Vertigo,14 - 16,L
50,TYLOO,03/05/21,Perfect World League Season 1 2021,ViCi,Inferno,16 - 13,W
51,TYLOO,03/05/21,Perfect World League Season 1 2021,ViCi,Mirage,9 - 16,L
52,TYLOO,03/05/21,Perfect World League Season 1 2021,ViCi,Overpass,12 - 16,L
53,TYLOO,29/04/21,Perfect World League Season 1 2021,Invictus,Inferno,16 - 13,W
54,TYLOO,29/04/21,Perfect World League Season 1 2021,Invictus,Overpass,16 - 12,W
55,TYLOO,26/04/21,Funspark ULTI 2020 Asia Final,Wings Up,Train,16 - 9,W
56,TYLOO,26/04/21,Funspark ULTI 2020 Asia Final,Wings Up,Dust2,16 - 14,W
57,TYLOO,26/04/21,Funspark ULTI 2020 Asia Final,Wings Up,Overpass,16 - 12,W
58,TYLOO,22/04/21,Perfect World League Season 1 2021,Invictus,Overpass,16 - 9,W
59,TYLOO,22/04/21,Perfect World League Season 1 2021,Invictus,Train,16 - 7,W
60,TYLOO,11/04/21,Funspark ULTI 2021 Asia Regional Series 1,Lynn Vision,Inferno,16 - 6,W
61,TYLOO,11/04/21,Funspark ULTI 2021 Asia Regional Series 1,Lynn Vision,Overpass,19 - 17,W
62,TYLOO,09/04/21,Funspark ULTI 2021 Asia Regional Series 1,Renewal,Dust2,16 - 4,W
