,team,data,match,opponent,map_map,result,w_l
0,Vantage,10/04/24,ESL Challenger League Season 47 Oceania,VexX,Anubis,13 - 6,W
1,Vantage,03/04/24,ESL Challenger League Season 47 Oceania,KZG,Nuke,13 - 9,W
2,Vantage,27/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Vertigo,13 - 2,W
3,Vantage,13/03/24,ESL Challenger League Season 47 Oceania,DXA,Nuke,12 - 16,L
4,Vantage,06/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Vertigo,5 - 13,L
5,Vantage,27/02/24,ESL Challenger League Season 47 Oceania,RKON,Nuke,13 - 10,W
6,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Bad News Kangaroos,Vertigo,3 - 13,L
7,Vantage,21/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,MAKING HISTORY,Vertigo,13 - 9,W
8,Vantage,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,101EST,Mirage,13 - 3,W
9,Vantage,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,LE-LUX,Mirage,13 - 9,W
10,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,DXA,Vertigo,13 - 11,W
11,Vantage,25/01/24,ESL Pro League Season 19 Oceania Open Qualifier,Bad News Kangaroos,Anubis,16 - 19,L
12,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Grayhound,Nuke,4 - 13,L
13,Vantage,19/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Mindfreak,Anubis,13 - 16,L
14,Vantage,17/01/24,IEM Chengdu 2024 Oceania Open Qualifier 2,FARMism,Overpass,13 - 8,W
15,Vantage,10/04/24,ESL Challenger League Season 47 Oceania,VexX,Anubis,13 - 6,W
16,Vantage,03/04/24,ESL Challenger League Season 47 Oceania,KZG,Nuke,13 - 9,W
17,Vantage,27/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Vertigo,13 - 2,W
18,Vantage,13/03/24,ESL Challenger League Season 47 Oceania,DXA,Nuke,12 - 16,L
19,Vantage,06/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Vertigo,5 - 13,L
20,Vantage,27/02/24,ESL Challenger League Season 47 Oceania,RKON,Nuke,13 - 10,W
21,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Bad News Kangaroos,Vertigo,3 - 13,L
22,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Bad News Kangaroos,Mirage,2 - 13,L
23,Vantage,21/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,MAKING HISTORY,Vertigo,13 - 9,W
24,Vantage,21/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,MAKING HISTORY,Anubis,13 - 8,W
25,Vantage,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,101EST,Mirage,13 - 3,W
26,Vantage,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,LE-LUX,Mirage,13 - 9,W
27,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,DXA,Vertigo,13 - 11,W
28,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,DXA,Nuke,13 - 3,W
29,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,DXA,Mirage,8 - 13,L
30,Vantage,25/01/24,ESL Pro League Season 19 Oceania Open Qualifier,Bad News Kangaroos,Anubis,16 - 19,L
31,Vantage,25/01/24,ESL Pro League Season 19 Oceania Open Qualifier,Bad News Kangaroos,Vertigo,4 - 13,L
32,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Grayhound,Nuke,4 - 13,L
33,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Grayhound,Ancient,3 - 13,L
34,Vantage,19/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,Mindfreak,Anubis,13 - 16,L
35,Vantage,17/01/24,IEM Chengdu 2024 Oceania Open Qualifier 2,FARMism,Overpass,13 - 8,W
36,Vantage,10/04/24,ESL Challenger League Season 47 Oceania,VexX,Nuke,13 - 11,W
37,Vantage,03/04/24,ESL Challenger League Season 47 Oceania,KZG,Vertigo,22 - 20,W
38,Vantage,27/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Anubis,13 - 6,W
39,Vantage,13/03/24,ESL Challenger League Season 47 Oceania,DXA,Overpass,13 - 10,W
40,Vantage,06/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Mirage,7 - 13,L
41,Vantage,27/02/24,ESL Challenger League Season 47 Oceania,RKON,Mirage,9 - 13,L
42,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Rooster,Nuke,3 - 13,L
43,Vantage,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,Mindfreak,Mirage,13 - 11,W
44,Vantage,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,Mindfreak,Nuke,8 - 13,L
45,Vantage,16/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,sunday school,Nuke,7 - 13,L
46,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,KZG,Anubis,10 - 13,L
47,Vantage,24/01/24,ESL Pro League Season 19 Oceania Open Qualifier,KZG,Overpass,13 - 11,W
48,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,iM Apartments,Mirage,13 - 6,W
49,Vantage,18/01/24,IEM Chengdu 2024 Oceania Open Qualifier 2,Mindfreak,Anubis,7 - 13,L
50,Vantage,15/01/24,IEM Chengdu 2024 Oceania Open Qualifier 1,DXA,Vertigo,9 - 13,L
51,Vantage,10/04/24,ESL Challenger League Season 47 Oceania,VexX,Nuke,13 - 11,W
52,Vantage,03/04/24,ESL Challenger League Season 47 Oceania,KZG,Vertigo,22 - 20,W
53,Vantage,27/03/24,ESL Challenger League Season 47 Oceania,Canon Event,Anubis,13 - 6,W
54,Vantage,13/03/24,ESL Challenger League Season 47 Oceania,DXA,Overpass,13 - 10,W
55,Vantage,06/03/24,ESL Challenger League Season 47 Oceania,Bad News Kangaroos,Mirage,7 - 13,L
56,Vantage,27/02/24,ESL Challenger League Season 47 Oceania,RKON,Mirage,9 - 13,L
57,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Rooster,Nuke,3 - 13,L
58,Vantage,22/02/24,IEM Dallas 2024 Oceania Closed Qualifier,Rooster,Anubis,14 - 16,L
59,Vantage,20/02/24,IEM Dallas 2024 Oceania Open Qualifier 2,Mindfreak,Mirage,13 - 11,W
60,Vantage,18/02/24,IEM Dallas 2024 Oceania Open Qualifier 1,Mindfreak,Nuke,8 - 13,L
61,Vantage,16/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,sunday school,Nuke,7 - 13,L
62,Vantage,16/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,sunday school,Mirage,13 - 9,W
63,Vantage,16/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,sunday school,Ancient,27 - 31,L
64,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,KZG,Anubis,10 - 13,L
65,Vantage,15/02/24,ESL Challenger Melbourne 2024 Oceania Closed Qualifier,KZG,Overpass,7 - 13,L
66,Vantage,24/01/24,ESL Pro League Season 19 Oceania Open Qualifier,KZG,Overpass,13 - 11,W
67,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,iM Apartments,Mirage,13 - 6,W
68,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,iM Apartments,Anubis,11 - 13,L
69,Vantage,20/01/24,PGL CS2 Major Copenhagen 2024 Oceania RMR Closed Qualifier,iM Apartments,Ancient,13 - 6,W
70,Vantage,18/01/24,IEM Chengdu 2024 Oceania Open Qualifier 2,Mindfreak,Anubis,7 - 13,L
71,Vantage,15/01/24,IEM Chengdu 2024 Oceania Open Qualifier 1,DXA,Vertigo,9 - 13,L
