,team,data,match,opponent,map_map,result,w_l
0,Vitality,17/12/23,BLAST Premier World Final 2023,FaZe,Nuke,13 - 7,W
1,Vitality,14/12/23,BLAST Premier World Final 2023,Cloud9,Inferno,13 - 8,W
2,Vitality,26/11/23,BLAST Premier Fall Final 2023,FaZe,Nuke,13 - 11,W
3,Vitality,23/11/23,BLAST Premier Fall Final 2023,Complexity,Inferno,13 - 7,W
4,Vitality,16/10/23,IEM Sydney 2023,FaZe,Nuke,9 - 13,L
5,Vitality,28/09/23,ESL Pro League Season 18,Monte,Nuke,14 - 16,L
6,Vitality,31/08/23,ESL Pro League Season 18,Ninjas in Pyjamas,Nuke,16 - 9,W
7,Vitality,20/08/23,Gamers8 2023,ENCE,Nuke,16 - 9,W
8,Vitality,17/08/23,Gamers8 2023,Natus Vincere,Nuke,16 - 11,W
9,Vitality,05/08/23,IEM Cologne 2023,ENCE,Vertigo,7 - 16,L
10,Vitality,01/08/23,IEM Cologne 2023,G2,Mirage,8 - 16,L
11,Vitality,30/07/23,IEM Cologne 2023,OG,Anubis,16 - 13,W
12,Vitality,19/07/23,BLAST Premier Fall Groups 2023,Ninjas in Pyjamas,Overpass,14 - 16,L
13,Vitality,13/07/23,BLAST Premier Fall Groups 2023,Evil Geniuses,Vertigo,16 - 3,W
14,Vitality,08/07/23,Showmatch CS,Natus Vincere,Inferno,8 - 16,L
15,Vitality,10/06/23,BLAST Premier Spring Final 2023,G2,Nuke,16 - 12,W
16,Vitality,08/06/23,BLAST Premier Spring Final 2023,Cloud9,Anubis,19 - 17,W
17,Vitality,21/05/23,BLAST.tv Paris Major 2023,GamerLegion,Nuke,16 - 13,W
18,Vitality,18/05/23,BLAST.tv Paris Major 2023,Into the Breach,Anubis,16 - 12,W
19,Vitality,13/05/23,BLAST.tv Paris Major 2023,ENCE,Vertigo,16 - 13,W
20,Vitality,23/04/23,IEM Rio 2023,HEROIC,Inferno,16 - 12,W
21,Vitality,21/04/23,IEM Rio 2023,BIG,Mirage,16 - 12,W
22,Vitality,19/04/23,IEM Rio 2023,FaZe,Overpass,16 - 9,W
23,Vitality,17/04/23,IEM Rio 2023,OG,Overpass,17 - 19,L
24,Vitality,14/04/23,BLAST.tv Paris Major 2023 Europe RMR B,G2,Anubis,16 - 6,W
25,Vitality,12/04/23,BLAST.tv Paris Major 2023 Europe RMR B,9INE,Anubis,11 - 16,L
26,Vitality,11/04/23,BLAST.tv Paris Major 2023 Europe RMR B,Astralis,Vertigo,16 - 14,W
27,Vitality,12/03/23,ESL Pro League Season 17,FaZe,Nuke,19 - 15,W
28,Vitality,08/03/23,ESL Pro League Season 17,Grayhound,Vertigo,16 - 5,W
29,Vitality,07/02/23,IEM Katowice 2023,HEROIC,Overpass,4 - 16,L
30,Vitality,04/02/23,IEM Katowice 2023,Ninjas in Pyjamas,Inferno,16 - 9,W
31,Vitality,21/01/23,BLAST Premier Spring Groups 2023,Evil Geniuses,Inferno,16 - 1,W
32,Vitality,17/12/23,BLAST Premier World Final 2023,FaZe,Nuke,13 - 7,W
33,Vitality,17/12/23,BLAST Premier World Final 2023,FaZe,Inferno,13 - 5,W
34,Vitality,14/12/23,BLAST Premier World Final 2023,Cloud9,Inferno,13 - 8,W
35,Vitality,14/12/23,BLAST Premier World Final 2023,Cloud9,Anubis,13 - 11,W
36,Vitality,26/11/23,BLAST Premier Fall Final 2023,FaZe,Nuke,13 - 11,W
37,Vitality,26/11/23,BLAST Premier Fall Final 2023,FaZe,Vertigo,13 - 3,W
38,Vitality,23/11/23,BLAST Premier Fall Final 2023,Complexity,Inferno,13 - 7,W
39,Vitality,23/11/23,BLAST Premier Fall Final 2023,Complexity,Nuke,13 - 16,L
40,Vitality,23/11/23,BLAST Premier Fall Final 2023,Complexity,Anubis,13 - 2,W
41,Vitality,16/10/23,IEM Sydney 2023,FaZe,Nuke,9 - 13,L
42,Vitality,16/10/23,IEM Sydney 2023,FaZe,Inferno,10 - 13,L
43,Vitality,16/10/23,IEM Sydney 2023,FaZe,Overpass,16 - 14,W
44,Vitality,28/09/23,ESL Pro League Season 18,Monte,Nuke,14 - 16,L
45,Vitality,28/09/23,ESL Pro League Season 18,Monte,Anubis,11 - 16,L
