,team,data,match,opponent,map_map,result,w_l
0,Virtus.pro,25/02/22,IEM Katowice 2022,G2,Ancient,5 - 16,L
1,Virtus.pro,18/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Ancient,16 - 8,W
2,Virtus.pro,13/02/22,ESL Challenger February 2022,FURIA,Overpass,16 - 7,W
3,Virtus.pro,11/02/22,ESL Challenger February 2022,Movistar Riders,Ancient,16 - 3,W
4,Virtus.pro,20/02/22,IEM Katowice 2022,HEROIC,Vertigo,10 - 16,L
5,Virtus.pro,20/02/22,IEM Katowice 2022,HEROIC,Mirage,5 - 16,L
6,Virtus.pro,17/02/22,IEM Katowice 2022,Copenhagen Flames,Inferno,16 - 10,W
7,Virtus.pro,17/02/22,IEM Katowice 2022,Copenhagen Flames,Vertigo,16 - 9,W
8,Virtus.pro,13/02/22,ESL Challenger February 2022,Complexity,Dust2,16 - 6,W
9,Virtus.pro,13/02/22,ESL Challenger February 2022,Complexity,Overpass,16 - 8,W
10,Virtus.pro,11/02/22,ESL Challenger February 2022,9z,Mirage,16 - 14,W
11,Virtus.pro,25/02/22,IEM Katowice 2022,G2,Ancient,5 - 16,L
12,Virtus.pro,25/02/22,IEM Katowice 2022,G2,Mirage,22 - 25,L
13,Virtus.pro,18/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Ancient,16 - 8,W
14,Virtus.pro,18/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Vertigo,12 - 16,L
15,Virtus.pro,18/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Overpass,16 - 9,W
16,Virtus.pro,13/02/22,ESL Challenger February 2022,FURIA,Overpass,16 - 7,W
17,Virtus.pro,13/02/22,ESL Challenger February 2022,FURIA,Inferno,16 - 5,W
18,Virtus.pro,11/02/22,ESL Challenger February 2022,Movistar Riders,Ancient,16 - 3,W
19,Virtus.pro,20/02/22,IEM Katowice 2022,HEROIC,Vertigo,10 - 16,L
20,Virtus.pro,17/02/22,IEM Katowice 2022,Copenhagen Flames,Inferno,16 - 10,W
21,Virtus.pro,13/02/22,ESL Challenger February 2022,Complexity,Dust2,16 - 6,W
22,Virtus.pro,11/02/22,ESL Challenger February 2022,9z,Mirage,16 - 14,W
