,team,data,match,opponent,map_map,result,w_l
0,W7M,09/04/24,ESL Challenger League Season 47 South America,RED Canids,Mirage,6 - 13,L
1,W7M,08/04/24,RES Regional Series 3 LATAM,MIBR,Anubis,7 - 13,L
2,W7M,27/03/24,ESL Challenger League Season 47 South America,BESTIA,Ancient,13 - 8,W
3,W7M,15/03/24,ESL Challenger League Season 47 South America,Galorys,Anubis,5 - 13,L
4,W7M,11/03/24,RES Regional Series 2 LATAM,Solid,Ancient,6 - 13,L
5,W7M,07/03/24,RES Regional Series 2 LATAM,Solid,Ancient,13 - 9,W
6,W7M,05/03/24,ESL Challenger League Season 47 South America,2GAME,Ancient,6 - 13,L
7,W7M,24/02/24,ESL Challenger League Season 47 South America,Corinthians,Anubis,13 - 1,W
8,W7M,21/02/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,10 - 13,L
9,W7M,20/02/24,IEM Dallas 2024 South America Open Qualifier 2,Case,Nuke,5 - 13,L
10,W7M,16/02/24,EPL World Series Americas Season 6,Solid,Inferno,6 - 13,L
11,W7M,15/02/24,IEM Dallas 2024 South America Open Qualifier 1,Fluxo,Nuke,8 - 13,L
12,W7M,14/02/24,ESL Challenger League Season 47 South America,Case,Mirage,10 - 13,L
13,W7M,13/02/24,RES Regional Series 1 LATAM,Corinthians,Ancient,13 - 6,W
14,W7M,04/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Ancient,11 - 13,L
15,W7M,02/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,RED Canids,Ancient,13 - 3,W
16,W7M,23/01/24,ESL Pro League Season 19 South America Open Qualifier,paiN,Nuke,17 - 19,L
17,W7M,22/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,9z,Overpass,7 - 13,L
18,W7M,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,TIMACETA,Ancient,13 - 8,W
19,W7M,19/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,paiN,Anubis,10 - 13,L
20,W7M,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,TIMACETA,Ancient,13 - 6,W
21,W7M,14/01/24,IEM Chengdu 2024 South America Open Qualifier 1,BESTIA,Anubis,11 - 13,L
22,W7M,10/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,ODDIK,Overpass,11 - 13,L
23,W7M,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Dusty Roots,Mirage,13 - 7,W
24,W7M,09/04/24,ESL Challenger League Season 47 South America,RED Canids,Mirage,6 - 13,L
25,W7M,08/04/24,RES Regional Series 3 LATAM,MIBR,Anubis,7 - 13,L
26,W7M,08/04/24,RES Regional Series 3 LATAM,MIBR,Mirage,10 - 13,L
27,W7M,27/03/24,ESL Challenger League Season 47 South America,BESTIA,Ancient,13 - 8,W
28,W7M,15/03/24,ESL Challenger League Season 47 South America,Galorys,Anubis,5 - 13,L
29,W7M,11/03/24,RES Regional Series 2 LATAM,Solid,Ancient,6 - 13,L
30,W7M,11/03/24,RES Regional Series 2 LATAM,Solid,Inferno,11 - 13,L
31,W7M,07/03/24,RES Regional Series 2 LATAM,Solid,Ancient,13 - 9,W
32,W7M,07/03/24,RES Regional Series 2 LATAM,Solid,Anubis,13 - 9,W
33,W7M,07/03/24,RES Regional Series 2 LATAM,Solid,Inferno,3 - 13,L
34,W7M,05/03/24,ESL Challenger League Season 47 South America,2GAME,Ancient,6 - 13,L
35,W7M,24/02/24,ESL Challenger League Season 47 South America,Corinthians,Anubis,13 - 1,W
36,W7M,21/02/24,ESL Challenger League Season 47 South America,Fluxo,Ancient,10 - 13,L
37,W7M,20/02/24,IEM Dallas 2024 South America Open Qualifier 2,Case,Nuke,5 - 13,L
38,W7M,16/02/24,EPL World Series Americas Season 6,Solid,Inferno,6 - 13,L
39,W7M,16/02/24,EPL World Series Americas Season 6,Solid,Ancient,6 - 13,L
40,W7M,15/02/24,IEM Dallas 2024 South America Open Qualifier 1,Fluxo,Nuke,8 - 13,L
41,W7M,14/02/24,ESL Challenger League Season 47 South America,Case,Mirage,10 - 13,L
42,W7M,13/02/24,RES Regional Series 1 LATAM,Corinthians,Ancient,13 - 6,W
43,W7M,13/02/24,RES Regional Series 1 LATAM,Corinthians,Nuke,13 - 1,W
44,W7M,04/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Ancient,11 - 13,L
45,W7M,04/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Overpass,16 - 12,W
46,W7M,04/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,9z,Anubis,9 - 13,L
47,W7M,02/02/24,Ace South American Masters Spring 2024 - BLAST Premier Qualifier,RED Canids,Ancient,13 - 3,W
48,W7M,23/01/24,ESL Pro League Season 19 South America Open Qualifier,paiN,Nuke,17 - 19,L
49,W7M,23/01/24,ESL Pro League Season 19 South America Open Qualifier,paiN,Inferno,9 - 13,L
50,W7M,22/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,9z,Overpass,7 - 13,L
51,W7M,22/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,9z,Ancient,11 - 13,L
52,W7M,20/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,TIMACETA,Ancient,13 - 8,W
53,W7M,19/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Closed Qualifier,paiN,Anubis,10 - 13,L
54,W7M,16/01/24,IEM Chengdu 2024 South America Open Qualifier 2,TIMACETA,Ancient,13 - 6,W
55,W7M,14/01/24,IEM Chengdu 2024 South America Open Qualifier 1,BESTIA,Anubis,11 - 13,L
56,W7M,10/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,ODDIK,Overpass,11 - 13,L
57,W7M,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Dusty Roots,Mirage,13 - 7,W
58,W7M,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Dusty Roots,Overpass,10 - 13,L
59,W7M,09/01/24,PGL CS2 Major Copenhagen 2024 SA RMR Open Qualifier 1,Dusty Roots,Anubis,13 - 3,W
60,W7M,09/04/24,ESL Challenger League Season 47 South America,RED Canids,Overpass,9 - 13,L
61,W7M,06/04/24,RES Regional Series 3 LATAM,RED Canids,Mirage,13 - 9,W
62,W7M,27/03/24,ESL Challenger League Season 47 South America,BESTIA,Overpass,4 - 13,L
63,W7M,14/03/24,ESL Challenger League Season 47 South America,Galorys,Ancient,9 - 13,L
