,team,data,match,opponent,map_map,result,w_l
0,Wildcard,09/04/24,IEM Chengdu 2024,Cloud9,Overpass,5 - 13,L
1,Wildcard,28/03/24,ESL Challenger League Season 47 North America,Mythic,Mirage,13 - 4,W
2,Wildcard,27/03/24,ESL Challenger League Season 47 North America,LAG,Anubis,13 - 4,W
3,Wildcard,15/03/24,ESL Challenger League Season 47 North America,Take Flyte,Overpass,13 - 3,W
4,Wildcard,14/03/24,ESL Challenger League Season 47 North America,M80,Inferno,13 - 8,W
5,Wildcard,13/03/24,ESL Challenger Jönköping 2024 North America Open Qualifier,Mythic,Anubis,9 - 13,L
6,Wildcard,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,BESTIA,Anubis,13 - 4,W
7,Wildcard,26/02/24,IEM Dallas 2024 North America Closed Qualifier,Liquid,Inferno,10 - 13,L
8,Wildcard,25/02/24,IEM Dallas 2024 North America Open Qualifier 2,NRG,Inferno,13 - 10,W
9,Wildcard,24/02/24,IEM Dallas 2024 North America Open Qualifier 2,G3,Anubis,13 - 5,W
10,Wildcard,04/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,timbermen,Overpass,6 - 13,L
11,Wildcard,02/02/24,Ace North American Masters Spring 2024 - BLAST Premier Qualifier,NRG,Overpass,13 - 8,W
12,Wildcard,20/01/24,IEM Chengdu 2024 North America Closed Qualifier,M80,Vertigo,7 - 13,L
13,Wildcard,19/01/24,IEM Chengdu 2024 North America Closed Qualifier,M80,Anubis,13 - 5,W
14,Wildcard,19/01/24,IEM Chengdu 2024 North America Open Qualifier 2,NRG,Anubis,13 - 4,W
15,Wildcard,18/01/24,IEM Chengdu 2024 North America Open Qualifier 2,Mythic,Anubis,13 - 11,W
16,Wildcard,16/01/24,IEM Chengdu 2024 North America Open Qualifier 1,CatEvil,Vertigo,13 - 7,W
17,Wildcard,13/01/24,PGL CS2 Major Copenhagen 2024 NA RMR Closed Qualifier,BOSS,Inferno,13 - 8,W
18,Wildcard,09/04/24,IEM Chengdu 2024,Cloud9,Overpass,5 - 13,L
19,Wildcard,09/04/24,IEM Chengdu 2024,Cloud9,Mirage,1 - 13,L
20,Wildcard,28/03/24,ESL Challenger League Season 47 North America,Mythic,Mirage,13 - 4,W
21,Wildcard,27/03/24,ESL Challenger League Season 47 North America,LAG,Anubis,13 - 4,W
22,Wildcard,15/03/24,ESL Challenger League Season 47 North America,Take Flyte,Overpass,13 - 3,W
23,Wildcard,14/03/24,ESL Challenger League Season 47 North America,M80,Inferno,13 - 8,W
24,Wildcard,13/03/24,ESL Challenger Jönköping 2024 North America Open Qualifier,Mythic,Anubis,9 - 13,L
25,Wildcard,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,BESTIA,Anubis,13 - 4,W
26,Wildcard,02/03/24,PGL CS2 Major Copenhagen 2024 Americas RMR,BESTIA,Mirage,13 - 9,W
27,Wildcard,26/02/24,IEM Dallas 2024 North America Closed Qualifier,Liquid,Inferno,10 - 13,L
