,team,data,match,opponent,map_map,result,w_l
0,Zero Tenacity,09/04/24,European Pro League Season 15,MOUZ NXT,Vertigo,5 - 13,L
1,Zero Tenacity,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Nemiga,Anubis,2 - 13,L
2,Zero Tenacity,10/03/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Vertigo,13 - 3,W
3,Zero Tenacity,07/03/24,ESEA Advanced Season 48 Europe,Nemiga,Nuke,10 - 13,L
4,Zero Tenacity,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,AMKAL,Inferno,17 - 19,L
5,Zero Tenacity,02/03/24,A1 Gaming League Season 8,Secret,Inferno,13 - 8,W
6,Zero Tenacity,17/02/24,A1 Gaming League Season 8,Espionage,Vertigo,8 - 13,L
7,Zero Tenacity,04/02/24,RES Season 6,500,Mirage,8 - 13,L
8,Zero Tenacity,02/02/24,RES Season 6,NAVI Junior,Anubis,13 - 5,W
9,Zero Tenacity,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,3DMAX,Inferno,7 - 13,L
10,Zero Tenacity,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Permitta,Vertigo,13 - 4,W
11,Zero Tenacity,18/01/24,European Pro League 2nd Division Season 9,Aurora Young Blud,Overpass,6 - 13,L
12,Zero Tenacity,16/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 4,samaloyod,Overpass,16 - 14,W
13,Zero Tenacity,16/01/24,European Pro League 2nd Division Season 9,ECLOT,Anubis,13 - 6,W
14,Zero Tenacity,10/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 2,Gucci Academy,Anubis,10 - 13,L
15,Zero Tenacity,09/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1,REAL MADRID,Nuke,13 - 8,W
16,Zero Tenacity,09/04/24,European Pro League Season 15,MOUZ NXT,Vertigo,5 - 13,L
17,Zero Tenacity,09/04/24,European Pro League Season 15,MOUZ NXT,Anubis,7 - 13,L
18,Zero Tenacity,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Nemiga,Anubis,2 - 13,L
19,Zero Tenacity,01/04/24,Thunderpick World Championship 2024 EU Closed Qualifier 1,Nemiga,Vertigo,9 - 13,L
20,Zero Tenacity,10/03/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Vertigo,13 - 3,W
21,Zero Tenacity,10/03/24,Elisa Invitational Spring 2024 Contenders,ECLOT,Overpass,13 - 5,W
22,Zero Tenacity,07/03/24,ESEA Advanced Season 48 Europe,Nemiga,Nuke,10 - 13,L
23,Zero Tenacity,07/03/24,ESEA Advanced Season 48 Europe,Nemiga,Vertigo,8 - 13,L
24,Zero Tenacity,07/03/24,ESEA Advanced Season 48 Europe,Nemiga,Anubis,13 - 6,W
25,Zero Tenacity,05/03/24,IEM Dallas 2024 Europe Open Qualifier 2,AMKAL,Inferno,17 - 19,L
26,Zero Tenacity,02/03/24,A1 Gaming League Season 8,Secret,Inferno,13 - 8,W
27,Zero Tenacity,02/03/24,A1 Gaming League Season 8,Secret,Anubis,13 - 2,W
28,Zero Tenacity,17/02/24,A1 Gaming League Season 8,Espionage,Vertigo,8 - 13,L
29,Zero Tenacity,17/02/24,A1 Gaming League Season 8,Espionage,Nuke,20 - 22,L
30,Zero Tenacity,04/02/24,RES Season 6,500,Mirage,8 - 13,L
31,Zero Tenacity,04/02/24,RES Season 6,500,Overpass,6 - 13,L
32,Zero Tenacity,04/02/24,RES Season 6,500,Nuke,13 - 6,W
33,Zero Tenacity,02/02/24,RES Season 6,NAVI Junior,Anubis,13 - 5,W
34,Zero Tenacity,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,3DMAX,Inferno,7 - 13,L
35,Zero Tenacity,20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,3DMAX,Anubis,10 - 13,L
36,Zero Tenacity,18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier A,Permitta,Vertigo,13 - 4,W
37,Zero Tenacity,18/01/24,European Pro League 2nd Division Season 9,Aurora Young Blud,Overpass,6 - 13,L
38,Zero Tenacity,18/01/24,European Pro League 2nd Division Season 9,Aurora Young Blud,Anubis,13 - 9,W
39,Zero Tenacity,18/01/24,European Pro League 2nd Division Season 9,Aurora Young Blud,Vertigo,5 - 13,L
